date,open,high,low,close,volume
1594022400000,1.0,1.0001,0.9999,0.9999,117176.69
1594018800000,1.0001,1.0003,1.0,1.0002,418119.78
1594015200000,0.9998,1.0004,0.9998,1.0,673111.09
1594011600000,1.0,1.0,0.9997,1.0,131054.77
1594008000000,1.0,1.0,0.9998,0.9998,253488.63
1594004400000,0.9999,1.0,0.9997,0.9998,181490.41
1594000800000,1.0,1.0,0.9997,0.9997,94833.11
1593997200000,0.9999,1.0,0.9997,1.0,234388.78
1593993600000,0.9996,0.9999,0.9996,0.9997,113515.32
1593990000000,0.9999,0.9999,0.9995,0.9998,170019.06
1593986400000,0.9999,1.0001,0.9996,0.9996,278981.87
1593982800000,0.9998,1.0001,0.9997,0.9999,262315.67
1593979200000,1.0001,1.0001,0.9998,1.0,195073.41
1593975600000,1.0001,1.0001,0.9999,0.9999,68476.91
1593972000000,1.0001,1.0001,0.9999,0.9999,78488.88
1593968400000,1.0001,1.0001,0.9993,0.9999,237874.19
1593964800000,1.0,1.0001,0.9998,0.9999,80812.21
1593961200000,0.9998,1.0,0.9998,0.9998,47574.32
1593957600000,0.9999,1.0001,0.9998,1.0,64012.19
1593954000000,1.0001,1.0001,0.9998,1.0001,119157.97
1593950400000,1.0,1.0003,0.9997,1.0001,258843.5
1593946800000,1.0002,1.0002,0.9999,0.9999,147655.74
1593943200000,1.0,1.0003,1.0,1.0002,205262.66
1593939600000,0.9998,1.0001,0.9998,1.0001,156649.35
1593936000000,1.0,1.0002,0.9997,1.0,252427.53
1593932400000,1.0002,1.0002,0.9999,1.0001,120976.61
1593928800000,1.0001,1.0003,1.0,1.0,92960.84
1593925200000,1.0,1.0003,0.9998,1.0001,120438.44
1593921600000,0.9999,1.0,0.9998,0.9999,54626.14
1593918000000,0.9999,0.9999,0.9997,0.9997,51674.18
1593914400000,0.9999,1.0,0.9997,0.9999,96633.1
1593910800000,0.9999,1.0,0.9999,0.9999,28585.32
1593907200000,0.9999,1.0,0.9998,1.0,50911.86
1593903600000,0.9999,1.0001,0.9999,0.9999,18335.03
1593900000000,0.9998,1.0001,0.9998,0.9999,30998.71
1593896400000,0.9999,1.0,0.9998,1.0,54976.58
1593892800000,1.0,1.0,0.9997,0.9999,81644.88
1593889200000,0.9999,1.0,0.9997,0.9998,53649.37
1593885600000,0.9997,0.9999,0.9995,0.9997,363355.45
1593882000000,0.9998,1.0001,0.9995,0.9998,307101.21
1593878400000,1.0001,1.0001,0.9998,0.9998,78374.5
1593874800000,0.9998,1.0001,0.9998,1.0001,60099.08
1593871200000,0.9999,1.0001,0.9998,1.0,114585.19
1593867600000,0.9999,0.9999,0.9996,0.9998,88022.73
1593864000000,0.9999,0.9999,0.9996,0.9999,135219.77
1593860400000,0.9998,1.0,0.9996,0.9997,62268.73
1593856800000,1.0,1.0,0.9998,1.0,84051.76
1593853200000,0.9998,1.0001,0.9992,0.9998,308684.07
1593849600000,1.0002,1.0002,0.9998,0.9998,185236.59
1593846000000,1.0002,1.0003,1.0,1.0002,128692.12
1593842400000,1.0003,1.0003,0.9999,1.0,78187.39
1593838800000,1.0001,1.0003,1.0001,1.0001,18089.45
1593835200000,1.0001,1.0003,1.0001,1.0001,24768.68
1593831600000,1.0003,1.0003,1.0001,1.0001,21335.9
1593828000000,1.0,1.0003,1.0,1.0003,141463.1
1593824400000,1.0,1.0002,0.9999,1.0002,53495.72
1593820800000,1.0001,1.0001,0.9999,1.0001,59941.11
1593817200000,0.9999,1.0001,0.9997,0.9999,195911.11
1593813600000,0.9999,1.0,0.9994,0.9999,265628.0
1593810000000,1.0,1.0,0.9997,0.9997,83175.18
1593806400000,0.9998,1.0,0.9998,0.9998,155692.07
1593802800000,0.9998,1.0001,0.9998,1.0,242373.74
1593799200000,0.9999,1.0,0.9998,1.0,69412.39
1593795600000,0.9999,1.0,0.9997,0.9999,52498.6
1593792000000,1.0002,1.0002,0.9998,0.9998,87859.02
1593788400000,1.0002,1.0002,0.9999,1.0002,139960.76
1593784800000,1.0002,1.0002,0.9999,1.0002,117766.31
1593781200000,1.0001,1.0001,1.0,1.0001,17774.21
1593777600000,1.0002,1.0002,1.0,1.0002,81435.59
1593774000000,1.0003,1.0003,1.0,1.0002,40694.29
1593770400000,1.0002,1.0004,1.0001,1.0001,63553.52
1593766800000,1.0001,1.0029,0.9999,1.0003,395388.84
1593763200000,1.0002,1.0005,0.9999,1.0002,288751.2
1593759600000,1.0003,1.0004,0.9993,1.0003,363761.03
1593756000000,1.0002,1.0015,1.0,1.0002,233579.43
1593752400000,1.0003,1.0004,1.0,1.0,92638.53
1593748800000,1.0003,1.0004,1.0001,1.0001,151756.37
1593745200000,1.0003,1.0003,1.0,1.0003,20973.33
1593741600000,1.0003,1.0003,1.0001,1.0001,106189.84
1593738000000,1.0004,1.0004,1.0001,1.0003,44317.67
1593734400000,1.0,1.0004,0.9997,1.0002,123112.29
1593730800000,0.9998,1.0001,0.9998,1.0,58025.51
1593727200000,1.0002,1.0002,0.9997,1.0001,147370.6
1593723600000,1.0001,1.0002,0.9998,0.9999,137844.97
1593720000000,1.0002,1.0004,1.0,1.0,115494.09
1593716400000,1.0,1.0004,0.9999,1.0004,143069.28
1593712800000,1.0004,1.0004,1.0,1.0002,180809.99
1593709200000,1.0005,1.0007,1.0002,1.0002,178806.04
1593705600000,1.0004,1.0008,1.0004,1.0005,394062.53
1593702000000,1.0004,1.0009,1.0002,1.0006,421013.19
1593698400000,1.0005,1.0005,1.0,1.0004,149879.79
1593694800000,1.0002,1.0006,1.0002,1.0005,140168.56
1593691200000,1.0003,1.0006,1.0002,1.0004,177354.86
1593687600000,1.0005,1.0007,1.0003,1.0005,80436.57
1593684000000,1.0004,1.0007,1.0004,1.0005,135299.45
1593680400000,1.0004,1.0006,1.0002,1.0004,122616.39
1593676800000,1.0003,1.0005,1.0,1.0002,153596.88
1593673200000,1.0006,1.0008,1.0003,1.0003,101826.1
1593669600000,0.9998,1.0008,0.9998,1.0006,322104.18
1593666000000,0.9996,1.0,0.9996,1.0,377793.13
1593662400000,0.9997,0.9998,0.9995,0.9998,130586.16
1593658800000,0.9995,0.9997,0.9995,0.9997,113675.63
1593655200000,0.9995,0.9997,0.9994,0.9995,147043.74
1593651600000,0.9995,0.9997,0.9995,0.9997,84454.11
1593648000000,0.9997,0.9999,0.9995,0.9997,198022.5
1593644400000,0.9996,0.9999,0.9996,0.9997,116569.46
1593640800000,0.9995,0.9998,0.9994,0.9996,189666.58
1593637200000,0.9997,0.9997,0.9993,0.9994,138534.89
1593633600000,0.9997,0.9998,0.9995,0.9997,152616.35
1593630000000,0.9996,0.9998,0.9995,0.9997,120952.29
1593626400000,0.9997,0.9998,0.9996,0.9998,65302.76
1593622800000,0.9998,0.9998,0.9996,0.9998,80534.88
1593619200000,0.9998,0.9998,0.9995,0.9998,301233.09
1593615600000,0.9999,0.9999,0.9996,0.9996,153170.13
1593612000000,0.9999,1.0,0.9997,0.9998,414941.67
1593608400000,1.0002,1.0004,0.9997,1.0,753851.05
1593604800000,1.0004,1.0005,1.0002,1.0004,111174.33
1593601200000,1.0002,1.0005,1.0002,1.0005,49972.07
