date,open,high,low,close,volume
1594022400000,0.6402,0.6493,0.6402,0.641,9658.11
1594018800000,0.645,0.6484,0.633,0.642,58222.75
1594015200000,0.6352,0.6495,0.6352,0.645,25752.3
1594011600000,0.6349,0.635,0.6348,0.6348,13233.98
1594008000000,0.6349,0.6413,0.6349,0.6401,1026.66
1594004400000,0.6379,0.6394,0.6348,0.6394,10261.27
1594000800000,0.6447,0.6454,0.6447,0.6449,24.23
1593997200000,0.6384,0.645,0.6354,0.6443,1554.85
1593993600000,0.6444,0.6454,0.6416,0.6452,1406.37
1593990000000,0.6404,0.6451,0.6351,0.6448,490.43
1593986400000,0.636,0.65,0.6349,0.6349,24280.22
1593982800000,0.6332,0.6358,0.6312,0.633,21929.37
1593979200000,0.6335,0.6337,0.633,0.6332,20191.09
1593975600000,0.6338,0.6376,0.6311,0.633,18598.35
1593972000000,0.6324,0.6344,0.6286,0.6339,2819.32
1593968400000,0.6291,0.6389,0.629,0.6376,7732.5
1593964800000,0.6331,0.6348,0.6205,0.6281,43301.34
1593961200000,0.6385,0.6389,0.6268,0.6331,17842.19
1593957600000,0.6341,0.6386,0.6269,0.6386,20584.86
1593954000000,0.6424,0.6429,0.6292,0.6341,34364.64
1593950400000,0.6375,0.6425,0.6375,0.6424,5922.16
1593946800000,0.6425,0.6435,0.6375,0.6375,5976.41
1593943200000,0.6409,0.6453,0.639,0.6444,14247.74
1593939600000,0.6485,0.6487,0.6412,0.6412,8220.38
1593936000000,0.6417,0.6488,0.6409,0.6488,12878.75
1593932400000,0.6477,0.6488,0.6426,0.6466,4403.77
1593928800000,0.6454,0.6486,0.64,0.6486,17883.77
1593925200000,0.65,0.65,0.6454,0.6454,17507.48
1593921600000,0.654,0.6565,0.65,0.6507,1559.73
1593918000000,0.655,0.6624,0.655,0.6556,6901.22
1593914400000,0.6511,0.6565,0.6503,0.6503,353.5
1593910800000,0.6548,0.6564,0.65,0.6564,487.07
1593907200000,0.6507,0.651,0.65,0.651,4309.21
1593903600000,0.6528,0.655,0.65,0.6532,5982.99
1593900000000,0.6593,0.6599,0.6503,0.6549,5631.87
1593896400000,0.6591,0.6646,0.6582,0.6642,22438.17
1593892800000,0.6634,0.6634,0.6582,0.6631,8860.06
1593889200000,0.663,0.6649,0.6587,0.6633,15496.82
1593885600000,0.6638,0.6646,0.6503,0.6642,23106.67
1593882000000,0.6579,0.6647,0.652,0.6639,13550.49
1593878400000,0.6477,0.665,0.6477,0.6575,44561.23
1593874800000,0.6455,0.6483,0.6401,0.648,11996.16
1593871200000,0.6477,0.648,0.6406,0.6468,5481.86
1593867600000,0.6479,0.6479,0.6355,0.6479,24329.62
1593864000000,0.6457,0.6494,0.6351,0.6479,32197.49
1593860400000,0.6458,0.6475,0.6435,0.6468,7496.57
1593856800000,0.6465,0.6525,0.6451,0.6477,16821.09
1593853200000,0.6551,0.6551,0.6459,0.6465,7220.07
1593849600000,0.6566,0.6566,0.6483,0.6547,4829.55
1593846000000,0.6488,0.6578,0.646,0.6565,13289.96
1593842400000,0.6581,0.6581,0.6489,0.6489,5667.28
1593838800000,0.6528,0.6582,0.6528,0.6581,7178.26
1593835200000,0.651,0.6528,0.651,0.6527,417.38
1593831600000,0.6473,0.651,0.6473,0.651,1246.07
1593828000000,0.6528,0.6528,0.6468,0.6473,3366.66
1593824400000,0.6637,0.6674,0.6495,0.6517,46112.07
1593820800000,0.6602,0.6607,0.6602,0.6606,2780.57
1593817200000,0.6522,0.6711,0.6522,0.6602,46421.54
1593813600000,0.6608,0.6608,0.6457,0.653,10024.89
1593810000000,0.66,0.6644,0.6544,0.6608,17448.45
1593806400000,0.655,0.67,0.6481,0.661,46644.4
1593802800000,0.654,0.6578,0.6456,0.6558,16327.68
1593799200000,0.6493,0.6581,0.6455,0.658,12060.3
1593795600000,0.6518,0.6518,0.645,0.6451,6034.49
1593792000000,0.6462,0.654,0.6401,0.6518,10509.88
1593788400000,0.6498,0.6566,0.6455,0.6462,21831.14
1593784800000,0.651,0.6528,0.6403,0.6464,11242.58
1593781200000,0.6528,0.6528,0.6464,0.6527,7709.91
1593777600000,0.65,0.6626,0.644,0.6523,21767.9
1593774000000,0.6539,0.6646,0.6488,0.65,31032.67
1593770400000,0.6625,0.6682,0.65,0.65,20852.7
1593766800000,0.6667,0.67,0.6583,0.6618,14078.87
1593763200000,0.6567,0.67,0.65,0.6666,43255.66
1593759600000,0.67,0.67,0.6519,0.6565,25873.26
1593756000000,0.6734,0.6799,0.6668,0.6698,28233.22
1593752400000,0.6666,0.6782,0.6666,0.6734,20872.96
1593748800000,0.66,0.6666,0.66,0.6666,7198.77
1593745200000,0.658,0.6633,0.6567,0.661,4349.31
1593741600000,0.6627,0.6633,0.658,0.658,1384.02
1593738000000,0.6615,0.6661,0.6581,0.6581,8633.17
1593734400000,0.6611,0.6666,0.6611,0.6632,6776.21
1593730800000,0.6626,0.6665,0.66,0.661,18339.86
1593727200000,0.66,0.6668,0.66,0.664,7302.79
1593723600000,0.6683,0.6683,0.6553,0.6625,18635.19
1593720000000,0.6691,0.6697,0.6538,0.6684,33351.52
1593716400000,0.6704,0.6778,0.6589,0.6691,52286.04
1593712800000,0.6391,0.68,0.6391,0.6658,178473.89
1593709200000,0.6225,0.6391,0.617,0.6391,61166.87
1593705600000,0.6345,0.6362,0.6105,0.617,100535.25
1593702000000,0.6685,0.6685,0.6345,0.6345,69910.74
1593698400000,0.6591,0.6713,0.6577,0.6712,19430.4
1593694800000,0.6525,0.6623,0.6525,0.6591,12685.96
1593691200000,0.6507,0.6578,0.6484,0.6521,24173.57
1593687600000,0.6615,0.6622,0.6493,0.6509,34542.55
1593684000000,0.668,0.6712,0.654,0.6611,16742.29
1593680400000,0.6617,0.6695,0.658,0.669,38148.31
1593676800000,0.681,0.6815,0.6593,0.6623,65694.22
1593673200000,0.6786,0.69,0.6746,0.681,102970.1
1593669600000,0.6585,0.6786,0.6553,0.6786,64018.93
1593666000000,0.6524,0.6585,0.6523,0.6585,7778.37
1593662400000,0.656,0.656,0.6525,0.6539,1913.73
1593658800000,0.6569,0.6569,0.654,0.6561,214.15
1593655200000,0.6526,0.6569,0.6475,0.6532,1227.76
1593651600000,0.6462,0.653,0.6455,0.6527,2173.09
1593648000000,0.6565,0.657,0.6461,0.648,4940.01
1593644400000,0.6534,0.6569,0.6488,0.6565,8265.72
1593640800000,0.6446,0.657,0.6446,0.6534,5309.0
1593637200000,0.645,0.6582,0.6446,0.6446,53274.78
1593633600000,0.6389,0.645,0.6374,0.6418,11745.98
1593630000000,0.6356,0.6414,0.6333,0.6407,7418.84
1593626400000,0.6435,0.6454,0.635,0.6378,23691.9
1593622800000,0.6388,0.6438,0.6273,0.6425,47149.28
1593619200000,0.6391,0.6429,0.6338,0.6388,11300.42
1593615600000,0.6324,0.6387,0.6324,0.6379,3182.28
1593612000000,0.6336,0.6359,0.6324,0.6324,6099.02
1593608400000,0.629,0.6384,0.6272,0.6315,18428.03
1593604800000,0.6334,0.637,0.6268,0.6272,7245.16
1593601200000,0.6338,0.6371,0.6332,0.6334,5548.81
1593597600000,0.632,0.6385,0.632,0.6369,5441.88
1593594000000,0.636,0.6372,0.6283,0.632,19433.25
1593590400000,0.6335,0.6391,0.6267,0.6366,28977.36
1593586800000,0.64,0.64,0.6328,0.6335,7856.34
1593583200000,0.6378,0.64,0.636,0.64,13640.72
1593579600000,0.6398,0.6398,0.6372,0.6378,3616.12
1593576000000,0.64,0.6442,0.6385,0.6437,4179.5
1593572400000,0.6433,0.6434,0.64,0.64,1910.16
1593568800000,0.639,0.6429,0.6389,0.6429,5966.4
1593565200000,0.6395,0.6395,0.639,0.639,20.92
1593561600000,0.6396,0.6396,0.6364,0.6395,6018.94
1593558000000,0.6423,0.6449,0.6397,0.6397,2733.24
1593554400000,0.6443,0.6491,0.6363,0.6407,11328.52
1593550800000,0.645,0.6514,0.6432,0.65,11782.54
1593547200000,0.6497,0.6512,0.6454,0.6454,2691.44
1593543600000,0.6534,0.6551,0.6484,0.652,8634.38
1593540000000,0.6437,0.6551,0.6437,0.6534,31807.66
1593536400000,0.6398,0.644,0.6312,0.644,15278.11
1593532800000,0.6456,0.6468,0.6396,0.6444,17484.49
1593529200000,0.6412,0.6469,0.641,0.6456,7472.52
1593525600000,0.6422,0.6491,0.6393,0.6448,17175.73
1593522000000,0.6417,0.6434,0.6353,0.6422,9078.66
1593518400000,0.6437,0.6442,0.6361,0.6401,12561.33
1593514800000,0.6446,0.6447,0.6361,0.6437,23522.41
1593511200000,0.6452,0.6461,0.6444,0.6444,5271.72
1593507600000,0.6385,0.6465,0.6385,0.6452,11287.55
1593504000000,0.6431,0.6435,0.6363,0.6386,24277.29
1593500400000,0.6478,0.6496,0.643,0.643,7983.26
1593496800000,0.6485,0.6496,0.6472,0.6472,7452.71
1593493200000,0.65,0.6519,0.6488,0.6488,17892.67
1593489600000,0.6505,0.6534,0.65,0.65,4991.31
1593486000000,0.6472,0.6522,0.6472,0.6501,2504.65
1593482400000,0.6545,0.6546,0.6472,0.6509,4509.53
1593478800000,0.6571,0.6571,0.6491,0.6541,5527.57
1593475200000,0.6529,0.6572,0.6522,0.6572,1282.27
1593471600000,0.6544,0.6572,0.6521,0.653,4837.75
1593468000000,0.6609,0.6609,0.6541,0.6543,6887.35
1593464400000,0.6585,0.6652,0.6556,0.6556,23569.5
1593460800000,0.652,0.6695,0.6485,0.6582,28061.03
1593457200000,0.663,0.663,0.6405,0.652,45357.66
1593453600000,0.6624,0.6965,0.6624,0.663,94404.63
1593450000000,0.6611,0.6647,0.6528,0.6626,13780.64
1593446400000,0.6546,0.6614,0.6546,0.661,8510.75
1593442800000,0.6606,0.6607,0.6522,0.6546,8700.84
1593439200000,0.6409,0.6615,0.638,0.6604,21552.31
1593435600000,0.6499,0.6517,0.6362,0.6415,28590.96
1593432000000,0.644,0.6499,0.642,0.6499,28191.3
1593428400000,0.6463,0.6511,0.6436,0.6437,20548.29
1593424800000,0.642,0.6504,0.6395,0.6501,27102.6
1593421200000,0.6415,0.6453,0.6376,0.6418,10632.81
1593417600000,0.6449,0.6483,0.6353,0.6415,45388.7
1593414000000,0.6461,0.6488,0.6433,0.6449,7672.37
1593410400000,0.6499,0.6514,0.6461,0.6461,15401.05
1593406800000,0.6533,0.6575,0.6499,0.6499,7539.69
1593403200000,0.6661,0.6675,0.6517,0.6524,33864.85
1593399600000,0.6602,0.6653,0.6602,0.6653,7841.81
1593396000000,0.6581,0.6607,0.6541,0.6602,3249.74
1593392400000,0.6525,0.6577,0.6511,0.6577,4830.67
1593388800000,0.6592,0.6592,0.651,0.6511,9168.19
1593385200000,0.6583,0.6628,0.6565,0.6565,16438.51
1593381600000,0.656,0.6599,0.6521,0.6544,6742.83
1593378000000,0.655,0.656,0.6513,0.656,11117.04
1593374400000,0.6603,0.6692,0.6534,0.6556,41574.77
1593370800000,0.6701,0.6728,0.6628,0.6628,9077.38
1593367200000,0.6677,0.6739,0.6639,0.6729,9752.82
1593363600000,0.674,0.674,0.6628,0.666,5098.1
1593360000000,0.6671,0.6747,0.6612,0.6744,18441.54
1593356400000,0.6777,0.6777,0.6641,0.6671,21287.0
1593352800000,0.6526,0.68,0.6452,0.6777,52474.22
1593349200000,0.6529,0.6529,0.6482,0.6482,4565.67
1593345600000,0.6588,0.67,0.6516,0.6529,13523.99
1593342000000,0.6585,0.6614,0.6557,0.6575,7299.51
