date,open,high,low,close,volume
1593993600000,1.774,1.785,1.748,1.772,656106.545
1593907200000,1.695,1.785,1.651,1.774,1887432.18
1593820800000,1.635,1.696,1.631,1.695,1587983.016
1593734400000,1.649,1.677,1.625,1.636,1895269.79
1593648000000,1.656,1.692,1.598,1.647,3159975.809
1593561600000,1.642,1.683,1.613,1.657,1503721.861
1593475200000,1.671,1.68,1.624,1.643,1156756.048
1593388800000,1.615,1.69,1.593,1.671,2032501.14
1593302400000,1.577,1.652,1.541,1.615,1295504.392
1593216000000,1.677,1.718,1.482,1.577,1961139.638
1593129600000,1.717,1.736,1.655,1.678,1268782.201
1593043200000,1.733,1.737,1.659,1.718,1230820.159
1592956800000,1.796,1.839,1.692,1.736,2037499.195
1592870400000,1.839,1.848,1.773,1.796,1236502.414
1592784000000,1.729,1.84,1.723,1.838,1774780.269
1592697600000,1.68,1.795,1.653,1.729,2000980.01
1592611200000,1.675,1.685,1.63,1.68,673563.118
1592524800000,1.681,1.692,1.638,1.676,882607.192
1592438400000,1.709,1.717,1.648,1.682,955445.645
1592352000000,1.732,1.737,1.66,1.71,887463.271
1592265600000,1.675,1.742,1.655,1.732,1143515.989
1592179200000,1.722,1.722,1.562,1.674,2034736.148
1592092800000,1.781,1.781,1.702,1.72,906631.518
1592006400000,1.746,1.783,1.707,1.778,1075182.468
1591920000000,1.688,1.788,1.665,1.745,1758942.492
1591833600000,1.864,1.946,1.661,1.686,2922324.453
1591747200000,1.805,1.879,1.801,1.863,1451455.453
1591660800000,1.827,1.837,1.793,1.805,1034356.997
1591574400000,1.807,1.837,1.797,1.825,1101220.674
1591488000000,1.848,1.857,1.743,1.807,1230774.497
1591401600000,1.797,1.855,1.77,1.848,1425862.436
1591315200000,1.838,1.855,1.789,1.798,1542859.155
1591228800000,1.832,1.878,1.77,1.838,1466462.941
1591142400000,1.795,1.838,1.752,1.829,1548148.235
1591056000000,1.893,1.924,1.707,1.794,3387304.501
1590969600000,1.748,1.908,1.736,1.89,3879050.202
1590883200000,1.802,1.841,1.726,1.747,3183530.0
1590796800000,1.69,1.811,1.662,1.802,2234549.546
1590710400000,1.688,1.718,1.649,1.687,1326791.27
1590624000000,1.636,1.698,1.617,1.689,1567640.517
1590537600000,1.66,1.685,1.609,1.635,1527648.371
