date,open,high,low,close,volume
1594022400000,1.773,1.774,1.77,1.771,13519.664
1594018800000,1.778,1.781,1.766,1.773,64764.633
1594015200000,1.766,1.785,1.763,1.778,89251.593
1594011600000,1.757,1.765,1.754,1.765,53336.287
1594008000000,1.756,1.761,1.751,1.756,55789.724
1594004400000,1.764,1.765,1.748,1.755,82153.433
1594000800000,1.776,1.781,1.764,1.764,94270.78
1593997200000,1.76,1.778,1.76,1.775,74617.985
1593993600000,1.774,1.784,1.756,1.761,127043.214
1593990000000,1.748,1.785,1.745,1.774,145814.571
1593986400000,1.724,1.755,1.724,1.748,133195.097
1593982800000,1.718,1.73,1.694,1.725,166660.877
1593979200000,1.721,1.73,1.708,1.718,102829.553
1593975600000,1.698,1.721,1.698,1.721,160940.027
1593972000000,1.679,1.707,1.677,1.699,137839.287
1593968400000,1.675,1.682,1.673,1.68,14157.026
1593964800000,1.669,1.687,1.669,1.674,62448.339
1593961200000,1.665,1.676,1.665,1.669,82220.258
1593957600000,1.656,1.665,1.653,1.665,43880.036
1593954000000,1.668,1.668,1.655,1.657,89376.435
1593950400000,1.664,1.669,1.651,1.667,77182.399
1593946800000,1.663,1.67,1.662,1.663,63927.879
1593943200000,1.662,1.669,1.655,1.663,78701.521
1593939600000,1.672,1.675,1.653,1.662,103355.505
1593936000000,1.672,1.675,1.668,1.671,15156.5
1593932400000,1.673,1.676,1.667,1.674,41301.895
1593928800000,1.676,1.686,1.674,1.675,53774.625
1593925200000,1.688,1.696,1.673,1.676,92836.594
1593921600000,1.683,1.689,1.674,1.688,43510.331
1593918000000,1.678,1.685,1.672,1.683,59858.824
1593914400000,1.693,1.695,1.677,1.678,47699.393
1593910800000,1.689,1.693,1.684,1.693,22374.395
1593907200000,1.695,1.697,1.685,1.69,48390.813
1593903600000,1.691,1.695,1.686,1.695,26180.711
1593900000000,1.684,1.692,1.681,1.692,23975.337
1593896400000,1.685,1.686,1.673,1.683,56908.397
1593892800000,1.686,1.692,1.681,1.685,33861.844
1593889200000,1.686,1.688,1.679,1.685,26215.602
1593885600000,1.689,1.694,1.679,1.687,75890.367
1593882000000,1.679,1.696,1.672,1.689,173004.032
1593878400000,1.676,1.68,1.666,1.678,120058.477
1593874800000,1.675,1.682,1.663,1.675,140532.853
