date,open,high,low,close,volume
1594022400000,19.508,19.508,19.25,19.25,599.625
1594018800000,19.567,19.578,19.2,19.49,1789.612
1594015200000,19.45,19.569,19.002,19.565,2156.286
1594011600000,18.953,19.499,18.908,19.449,6849.039
1594008000000,18.774,18.955,18.737,18.954,3317.741
1594004400000,18.602,18.889,18.518,18.761,1533.597
1594000800000,18.892,18.954,18.517,18.594,1302.062
1593997200000,18.758,18.98,18.57,18.796,2215.446
1593993600000,18.291,18.98,18.167,18.765,5894.822
1593990000000,18.203,18.346,18.071,18.191,1595.888
1593986400000,18.459,18.5,18.07,18.187,2321.295
1593982800000,18.036,18.461,17.641,18.461,1202.076
1593979200000,17.87,18.104,17.821,18.083,466.625
1593975600000,17.726,18.089,17.702,17.855,1381.68
1593972000000,17.971,17.976,17.727,17.727,818.493
1593968400000,17.861,17.979,17.774,17.979,640.17
1593964800000,18.093,18.093,17.731,17.866,1771.92
1593961200000,17.866,18.127,17.866,18.093,1309.667
1593957600000,17.6,17.866,17.518,17.866,1285.439
1593954000000,18.134,18.134,17.511,17.511,3850.149
1593950400000,18.359,18.371,18.064,18.103,1558.585
1593946800000,18.262,18.359,18.104,18.31,702.701
1593943200000,18.179,18.52,18.044,18.263,1070.542
1593939600000,18.33,18.702,18.16,18.194,1269.487
1593936000000,18.414,18.766,18.317,18.343,2055.336
1593932400000,18.25,18.477,18.09,18.354,1194.102
1593928800000,18.284,18.353,18.196,18.25,1490.55
1593925200000,18.574,18.574,18.28,18.375,737.971
1593921600000,18.585,18.6,18.316,18.538,648.627
1593918000000,18.749,18.784,18.43,18.593,2597.63
1593914400000,18.669,18.781,18.669,18.742,1003.687
1593910800000,18.64,19.054,18.527,18.582,2602.289
1593907200000,18.9,18.974,18.627,18.627,808.229
1593903600000,18.976,18.978,18.845,18.928,911.648
1593900000000,18.982,19.165,18.803,18.978,964.96
1593896400000,18.967,18.996,18.804,18.98,499.86
1593892800000,18.998,19.1,18.888,18.986,1140.921
1593889200000,18.86,19.1,18.653,19.002,2570.418
1593885600000,18.656,19.079,18.592,18.91,1610.991
1593882000000,18.574,18.974,18.526,18.653,2097.662
1593878400000,18.675,18.837,18.495,18.565,2484.332
1593874800000,18.493,18.676,18.141,18.676,4547.885
1593871200000,18.704,18.891,18.477,18.509,6641.489
1593867600000,19.574,19.574,18.627,18.699,7708.912
1593864000000,19.426,19.603,19.261,19.583,1829.858
1593860400000,19.452,19.668,19.165,19.399,4121.27
1593856800000,19.146,19.5,19.09,19.406,2956.661
1593853200000,19.233,19.287,19.061,19.172,1191.579
1593849600000,19.081,19.355,19.032,19.244,4050.496
1593846000000,19.035,19.081,18.799,19.054,912.3
1593842400000,18.775,19.148,18.775,18.976,1640.528
1593838800000,18.774,19.116,18.626,18.82,1294.138
1593835200000,19.139,19.196,18.626,18.776,1718.227
1593831600000,19.2,19.235,18.724,19.12,4853.282
1593828000000,18.708,19.2,18.572,19.2,7318.881
1593824400000,18.224,18.756,18.188,18.707,3365.633
1593820800000,18.13,18.346,18.13,18.232,1231.441
1593817200000,18.331,18.331,18.109,18.17,925.177
1593813600000,18.103,18.35,18.103,18.291,677.806
1593810000000,18.1,18.19,18.065,18.103,624.254
1593806400000,18.008,18.308,17.862,18.118,631.656
1593802800000,18.033,18.097,17.854,17.949,308.374
1593799200000,18.204,18.288,17.912,17.985,888.662
1593795600000,18.11,18.25,18.046,18.226,1410.617
1593792000000,17.842,18.252,17.763,18.109,1778.965
1593788400000,17.908,18.157,17.816,17.823,1697.747
1593784800000,18.062,18.148,17.752,17.877,3682.214
1593781200000,18.188,18.53,17.881,18.104,4894.156
1593777600000,17.697,18.19,17.633,18.189,4100.072
1593774000000,17.317,17.878,17.24,17.697,4989.946
1593770400000,17.322,17.418,17.279,17.334,3070.338
1593766800000,17.376,17.419,17.161,17.321,454.937
1593763200000,17.314,17.477,17.3,17.428,1047.033
