date,open,high,low,close,volume
1594022400000,0.7324,0.7345,0.7278,0.7317,7944.48
1594018800000,0.7225,0.7324,0.7215,0.7324,10448.1
1594015200000,0.7226,0.7328,0.7196,0.7224,33425.02
1594011600000,0.7279,0.728,0.7181,0.7249,20117.78
1594008000000,0.7354,0.7354,0.7245,0.7267,7749.6
1594004400000,0.7376,0.7409,0.7289,0.734,5702.11
1594000800000,0.7441,0.7464,0.7362,0.7397,6156.95
1593997200000,0.7366,0.7441,0.7355,0.7441,15019.1
1593993600000,0.7357,0.739,0.7319,0.7384,28219.58
1593990000000,0.7203,0.7367,0.7203,0.7357,34917.44
1593986400000,0.6969,0.7248,0.6968,0.7179,21196.68
1593982800000,0.6948,0.702,0.6756,0.7009,59388.0
1593979200000,0.6994,0.6994,0.6934,0.6991,7550.45
1593975600000,0.7002,0.701,0.6933,0.6985,10623.34
1593972000000,0.6964,0.7012,0.6887,0.6998,47204.66
1593968400000,0.7011,0.7021,0.6934,0.6944,6589.96
1593964800000,0.7029,0.7029,0.6976,0.6976,13292.37
1593961200000,0.6993,0.7032,0.6976,0.7027,27546.51
1593957600000,0.6993,0.6997,0.6949,0.6994,16244.48
1593954000000,0.7083,0.71,0.6801,0.6984,125180.72
1593950400000,0.7132,0.7148,0.7035,0.7089,23295.91
1593946800000,0.7124,0.7151,0.7012,0.7134,16243.11
1593943200000,0.7088,0.714,0.7001,0.7129,28448.52
1593939600000,0.7292,0.7304,0.7088,0.7088,28650.65
1593936000000,0.7199,0.7304,0.7179,0.7304,30365.74
1593932400000,0.7028,0.72,0.7025,0.7191,33745.48
1593928800000,0.7192,0.72,0.7028,0.7055,62743.38
1593925200000,0.7348,0.7373,0.7155,0.7192,43930.24
1593921600000,0.7241,0.7422,0.7241,0.7348,49414.23
1593918000000,0.738,0.74,0.7229,0.7241,31742.83
1593914400000,0.7433,0.7434,0.727,0.7375,41884.38
1593910800000,0.7465,0.7465,0.7396,0.7434,12839.95
1593907200000,0.7472,0.7592,0.7389,0.7466,38742.97
1593903600000,0.7368,0.7567,0.7243,0.7474,158522.0
1593900000000,0.744,0.744,0.7372,0.7377,19837.02
1593896400000,0.7429,0.7518,0.7383,0.744,29555.56
1593892800000,0.7528,0.7529,0.74,0.743,16908.25
1593889200000,0.755,0.7624,0.7425,0.7529,49667.09
1593885600000,0.7517,0.77,0.7433,0.7593,83156.82
1593882000000,0.7314,0.759,0.7307,0.7494,115858.25
1593878400000,0.7106,0.74,0.709,0.7314,148106.42
1593874800000,0.7176,0.72,0.7073,0.709,44065.91
1593871200000,0.718,0.7253,0.7131,0.7179,66723.74
1593867600000,0.7231,0.7257,0.714,0.7186,26670.03
1593864000000,0.7212,0.728,0.7135,0.7231,125749.34
1593860400000,0.714,0.7249,0.713,0.7212,52724.92
1593856800000,0.7125,0.7182,0.707,0.7182,56831.34
1593853200000,0.7193,0.72,0.7065,0.7157,66856.19
1593849600000,0.7168,0.7202,0.7024,0.7193,78311.55
1593846000000,0.7243,0.7387,0.7114,0.7168,102546.86
1593842400000,0.7231,0.7448,0.712,0.7243,111365.64
1593838800000,0.7093,0.729,0.7,0.7246,158934.07
1593835200000,0.7123,0.7123,0.6966,0.7093,41224.92
1593831600000,0.7186,0.7186,0.7051,0.7141,32531.27
1593828000000,0.7035,0.7216,0.7035,0.719,127456.64
1593824400000,0.6874,0.7055,0.6832,0.7045,113136.05
1593820800000,0.6684,0.6913,0.6682,0.6872,124866.43
1593817200000,0.665,0.67,0.6607,0.6682,35795.05
1593813600000,0.6652,0.6692,0.6594,0.6684,40734.74
1593810000000,0.6655,0.6691,0.6598,0.6662,24612.86
1593806400000,0.6664,0.6723,0.6535,0.6655,47421.58
1593802800000,0.6568,0.6732,0.6507,0.6685,47790.86
1593799200000,0.665,0.6678,0.651,0.6564,78791.04
1593795600000,0.6598,0.665,0.6558,0.665,13090.6
1593792000000,0.6502,0.6725,0.65,0.6598,91521.74
1593788400000,0.6611,0.6745,0.6454,0.6508,253589.6
1593784800000,0.6135,0.6674,0.6135,0.6646,171497.01
1593781200000,0.6102,0.615,0.6086,0.6136,15832.93
1593777600000,0.6115,0.6149,0.6077,0.6086,13166.04
1593774000000,0.6017,0.615,0.601,0.6115,52723.03
1593770400000,0.595,0.6079,0.5909,0.6017,62932.49
1593766800000,0.5969,0.5973,0.595,0.595,14311.56
1593763200000,0.5952,0.5981,0.595,0.5969,4189.24
1593759600000,0.5936,0.5945,0.5892,0.594,6966.74
1593756000000,0.5958,0.5985,0.5923,0.5941,23386.9
1593752400000,0.596,0.6005,0.591,0.5958,33294.88
1593748800000,0.6,0.6002,0.5945,0.596,3029.99
1593745200000,0.5943,0.5998,0.5943,0.5988,3333.64
1593741600000,0.5965,0.5998,0.5944,0.5975,7054.27
1593738000000,0.5932,0.5965,0.5927,0.5965,3562.03
1593734400000,0.589,0.5957,0.5857,0.593,15648.09
1593730800000,0.5943,0.5945,0.5896,0.5921,9978.31
1593727200000,0.5973,0.5988,0.592,0.5939,6043.13
1593723600000,0.5951,0.5974,0.5905,0.5955,2681.47
1593720000000,0.5917,0.5954,0.59,0.5951,12290.73
1593716400000,0.6002,0.6037,0.5924,0.5924,26695.73
1593712800000,0.597,0.6038,0.5891,0.6016,48598.16
1593709200000,0.5872,0.5966,0.5858,0.5963,44402.67
1593705600000,0.5927,0.5967,0.5805,0.5878,60604.46
1593702000000,0.619,0.6197,0.5937,0.5938,76532.42
1593698400000,0.6181,0.6251,0.617,0.6229,31675.16
1593694800000,0.6172,0.6198,0.6063,0.6187,54531.85
1593691200000,0.6133,0.6174,0.6099,0.6174,15533.89
1593687600000,0.6099,0.6133,0.6071,0.6133,16017.89
1593684000000,0.6105,0.6114,0.6059,0.6098,4035.94
1593680400000,0.6101,0.6114,0.605,0.6105,15106.19
1593676800000,0.609,0.6138,0.6044,0.6101,25129.4
1593673200000,0.6112,0.6132,0.6079,0.609,14593.08
1593669600000,0.61,0.6115,0.6057,0.61,12645.12
1593666000000,0.6148,0.6151,0.61,0.61,20395.17
1593662400000,0.6104,0.6152,0.6103,0.6113,4943.25
1593658800000,0.6118,0.6149,0.61,0.6105,7959.6
1593655200000,0.6116,0.6119,0.61,0.61,6014.82
1593651600000,0.6112,0.6123,0.6068,0.6114,11676.11
1593648000000,0.6087,0.6124,0.6043,0.6112,21861.35
1593644400000,0.6137,0.6139,0.6086,0.6086,1939.3
1593640800000,0.6261,0.6261,0.6102,0.6102,10766.63
1593637200000,0.6234,0.6265,0.6234,0.6263,8678.81
1593633600000,0.6252,0.6265,0.6197,0.6261,8129.77
1593630000000,0.6249,0.63,0.62,0.6256,9458.29
1593626400000,0.6249,0.6278,0.618,0.6249,6164.78
1593622800000,0.618,0.6249,0.6132,0.6249,7778.19
1593619200000,0.6201,0.635,0.6159,0.618,25985.96
1593615600000,0.612,0.6254,0.6104,0.6205,49823.81
1593612000000,0.6093,0.6132,0.6054,0.613,13471.07
1593608400000,0.6067,0.6098,0.6015,0.6065,23296.55
1593604800000,0.6093,0.6093,0.6058,0.6073,15245.27
1593601200000,0.6051,0.6102,0.605,0.6102,2841.89
1593597600000,0.6099,0.6103,0.6051,0.6082,5442.39
1593594000000,0.6128,0.6143,0.6095,0.6134,5992.44
1593590400000,0.6064,0.6121,0.6039,0.6121,4250.04
1593586800000,0.6035,0.6067,0.6007,0.6067,7666.71
1593583200000,0.6144,0.6145,0.573,0.6035,80350.14
1593579600000,0.6139,0.6152,0.6139,0.6146,156.51
1593576000000,0.6165,0.617,0.6101,0.6142,584.91
1593572400000,0.612,0.6165,0.61,0.6165,17317.25
1593568800000,0.6049,0.6151,0.6046,0.6119,10967.56
1593565200000,0.6083,0.6084,0.6041,0.6083,4498.17
1593561600000,0.6134,0.6144,0.5986,0.6049,38372.81
1593558000000,0.61,0.63,0.6081,0.6171,40676.44
1593554400000,0.6147,0.6149,0.6079,0.61,3133.42
1593550800000,0.6098,0.6146,0.6079,0.614,6622.1
