date,open,high,low,close,volume
1594022400000,0.467,0.4672,0.4664,0.4665,3694.4
1594018800000,0.4698,0.4721,0.4661,0.4672,7047.79
1594015200000,0.4673,0.4726,0.4659,0.4697,30943.93
1594011600000,0.4687,0.4688,0.4672,0.4673,26227.57
1594008000000,0.4613,0.4716,0.458,0.4672,34851.46
1594004400000,0.4578,0.4623,0.4578,0.4603,10383.39
1594000800000,0.459,0.4607,0.4557,0.4578,13095.69
1593997200000,0.459,0.461,0.4573,0.459,12952.85
1593993600000,0.4619,0.4623,0.4565,0.4587,13216.55
1593990000000,0.4611,0.462,0.4577,0.462,6441.12
1593986400000,0.4586,0.4625,0.4577,0.4611,10993.14
1593982800000,0.4624,0.4624,0.4437,0.4579,106378.33
1593979200000,0.4617,0.4636,0.459,0.4624,14105.11
1593975600000,0.465,0.4676,0.4615,0.4619,33160.11
1593972000000,0.4617,0.4876,0.4607,0.465,82502.22
1593968400000,0.4525,0.468,0.4493,0.4617,90605.43
1593964800000,0.44,0.4538,0.4386,0.452,44072.71
1593961200000,0.4415,0.4435,0.4373,0.4404,9181.71
1593957600000,0.44,0.4415,0.4367,0.4415,6361.65
1593954000000,0.4424,0.4427,0.4386,0.4421,3141.45
1593950400000,0.4399,0.4426,0.4382,0.4426,7133.67
1593946800000,0.4432,0.4434,0.4382,0.4421,11559.1
1593943200000,0.4424,0.4446,0.4386,0.4409,14865.62
1593939600000,0.4469,0.4495,0.4423,0.4423,12309.09
1593936000000,0.4443,0.4473,0.4443,0.4473,1772.31
1593932400000,0.4482,0.4482,0.4434,0.4461,7666.71
1593928800000,0.4485,0.45,0.447,0.4473,16819.27
1593925200000,0.4512,0.4524,0.4485,0.4497,1487.51
1593921600000,0.4535,0.4535,0.4502,0.4521,2188.14
1593918000000,0.4519,0.4528,0.4493,0.4528,1720.45
1593914400000,0.4499,0.4519,0.4482,0.4519,5018.81
1593910800000,0.4502,0.4507,0.4463,0.448,7673.82
1593907200000,0.4499,0.4507,0.4444,0.4503,11572.3
1593903600000,0.4486,0.45,0.4446,0.4477,16383.33
1593900000000,0.4473,0.45,0.4457,0.45,10649.3
1593896400000,0.4476,0.4497,0.4448,0.4489,9362.46
1593892800000,0.4512,0.4512,0.4472,0.4478,3814.85
1593889200000,0.449,0.4511,0.4475,0.4511,12467.39
1593885600000,0.4478,0.4519,0.4478,0.449,10085.87
1593882000000,0.4455,0.4478,0.4455,0.447,6404.81
1593878400000,0.4446,0.4467,0.4404,0.443,6257.69
1593874800000,0.447,0.4473,0.4426,0.4465,13745.45
1593871200000,0.447,0.448,0.4443,0.4448,9581.95
1593867600000,0.4461,0.4502,0.4449,0.447,9638.11
1593864000000,0.4496,0.4524,0.4469,0.4469,7281.56
1593860400000,0.4479,0.4527,0.4479,0.4496,41511.33
1593856800000,0.4486,0.4486,0.44,0.4479,25490.74
1593853200000,0.449,0.4515,0.4479,0.4503,3984.44
1593849600000,0.4473,0.4511,0.4446,0.4498,25806.99
1593846000000,0.4493,0.4506,0.4473,0.4473,510.48
1593842400000,0.451,0.451,0.4459,0.4505,5899.99
1593838800000,0.4505,0.4512,0.4473,0.4505,5985.42
1593835200000,0.4525,0.4545,0.4458,0.4505,13305.99
1593831600000,0.4525,0.4546,0.45,0.4538,14183.72
1593828000000,0.446,0.4563,0.4449,0.45,44310.87
1593824400000,0.4471,0.449,0.4448,0.4464,9769.51
1593820800000,0.4427,0.448,0.4427,0.446,6458.46
1593817200000,0.4425,0.4461,0.4404,0.4461,5080.27
1593813600000,0.4453,0.4454,0.442,0.4425,4654.48
1593810000000,0.4434,0.4453,0.4409,0.4453,4773.29
1593806400000,0.4425,0.4442,0.4402,0.4434,2636.41
1593802800000,0.4433,0.4437,0.4395,0.4437,8607.11
1593799200000,0.4396,0.4425,0.4395,0.4425,478.32
1593795600000,0.4404,0.4436,0.4391,0.4423,5451.95
1593792000000,0.4418,0.442,0.4391,0.4391,2470.11
1593788400000,0.4406,0.4418,0.4383,0.4418,1592.91
1593784800000,0.44,0.4432,0.437,0.4406,4227.34
1593781200000,0.4426,0.4433,0.4348,0.4432,25996.48
1593777600000,0.4413,0.4432,0.4375,0.4415,7311.47
1593774000000,0.442,0.442,0.4359,0.4413,23730.11
1593770400000,0.4444,0.4444,0.4385,0.4417,12199.61
1593766800000,0.449,0.4497,0.4431,0.4462,8453.43
1593763200000,0.4435,0.4531,0.441,0.4512,21667.16
1593759600000,0.4471,0.4471,0.4395,0.4427,11657.41
1593756000000,0.4415,0.4517,0.4393,0.4439,23902.18
1593752400000,0.4365,0.4415,0.4365,0.4415,2092.71
1593748800000,0.441,0.4444,0.4368,0.4368,18056.11
1593745200000,0.4433,0.4445,0.4366,0.441,15603.71
1593741600000,0.4425,0.4437,0.4388,0.4432,6347.54
1593738000000,0.4437,0.4453,0.4402,0.4435,10446.63
1593734400000,0.4469,0.4475,0.4413,0.4422,5034.69
1593730800000,0.4471,0.449,0.4432,0.4473,4324.04
1593727200000,0.4495,0.4509,0.4462,0.4486,4442.05
1593723600000,0.4486,0.4514,0.446,0.449,8010.9
1593720000000,0.4481,0.4488,0.4468,0.4486,7891.81
1593716400000,0.4481,0.4536,0.4481,0.4481,19490.54
1593712800000,0.4432,0.451,0.4413,0.4494,55344.9
1593709200000,0.4363,0.4415,0.4363,0.4415,30798.99
1593705600000,0.4413,0.4418,0.4362,0.4378,33789.44
1593702000000,0.453,0.453,0.4411,0.4413,25512.89
1593698400000,0.4551,0.457,0.4525,0.4529,17894.07
1593694800000,0.4525,0.4571,0.4525,0.4525,10556.49
1593691200000,0.452,0.4535,0.4467,0.4524,12043.47
1593687600000,0.4512,0.4536,0.448,0.45,13795.71
1593684000000,0.4551,0.4564,0.4466,0.4499,15119.15
1593680400000,0.4599,0.4605,0.4493,0.4547,43856.92
1593676800000,0.4238,0.46,0.4212,0.46,296245.22
1593673200000,0.42,0.4238,0.42,0.4213,6355.99
1593669600000,0.4261,0.4261,0.4186,0.42,19434.19
1593666000000,0.4267,0.4276,0.424,0.424,6495.36
1593662400000,0.4263,0.4267,0.4238,0.4266,1825.89
1593658800000,0.425,0.4263,0.4233,0.4263,4033.83
1593655200000,0.4263,0.4272,0.4234,0.4238,6123.85
1593651600000,0.4251,0.4259,0.423,0.4259,5396.76
1593648000000,0.4235,0.4252,0.4192,0.4251,13393.25
1593644400000,0.4227,0.4259,0.4195,0.4248,7300.74
1593640800000,0.4246,0.4247,0.4196,0.4227,13181.77
1593637200000,0.4237,0.4258,0.4229,0.4246,3279.52
1593633600000,0.4274,0.4276,0.4239,0.4239,3086.19
1593630000000,0.4262,0.4274,0.425,0.426,18291.79
1593626400000,0.4233,0.4266,0.4233,0.4265,17418.14
1593622800000,0.4221,0.4252,0.419,0.4232,10413.37
1593619200000,0.4244,0.4257,0.4172,0.4221,39364.52
1593615600000,0.4258,0.427,0.4224,0.4225,32290.99
1593612000000,0.4249,0.4258,0.4228,0.4258,25843.91
1593608400000,0.4244,0.4258,0.4209,0.4257,13044.69
1593604800000,0.4219,0.4245,0.4204,0.424,16962.45
1593601200000,0.4241,0.4258,0.4221,0.4221,8277.58
1593597600000,0.4258,0.4258,0.4239,0.4239,4257.78
1593594000000,0.4248,0.4258,0.4243,0.4258,14038.2
1593590400000,0.423,0.4258,0.4221,0.4248,10757.64
1593586800000,0.4189,0.423,0.4185,0.4211,17572.94
1593583200000,0.4256,0.4258,0.4145,0.4178,78244.67
1593579600000,0.4247,0.4258,0.42,0.4257,60798.05
1593576000000,0.439,0.4393,0.4196,0.422,88200.13
1593572400000,0.4361,0.4391,0.4361,0.4389,2561.56
1593568800000,0.4361,0.4397,0.4331,0.4385,10645.6
1593565200000,0.4398,0.44,0.4351,0.4389,2812.76
1593561600000,0.443,0.443,0.4353,0.44,10094.19
1593558000000,0.4448,0.4464,0.443,0.4459,1768.06
1593554400000,0.4451,0.447,0.4417,0.4417,3992.25
1593550800000,0.4466,0.4486,0.4426,0.4466,9587.74
1593547200000,0.4486,0.4502,0.4458,0.4473,22915.63
1593543600000,0.442,0.4512,0.4391,0.4486,17712.09
1593540000000,0.4473,0.4482,0.4402,0.442,5440.31
1593536400000,0.452,0.4531,0.4457,0.4473,10660.59
1593532800000,0.4484,0.452,0.4466,0.452,7333.53
1593529200000,0.4466,0.4491,0.4466,0.4466,2610.34
1593525600000,0.443,0.4473,0.4412,0.4466,17410.59
1593522000000,0.4448,0.4458,0.4391,0.4408,19340.71
1593518400000,0.4452,0.4473,0.4437,0.4448,6838.52
1593514800000,0.4427,0.4485,0.4427,0.4473,15591.94
1593511200000,0.4439,0.4452,0.4315,0.4423,26166.81
1593507600000,0.4358,0.4471,0.4341,0.4437,59215.7
1593504000000,0.4363,0.4387,0.4315,0.4358,20749.43
1593500400000,0.4397,0.443,0.4358,0.436,3532.98
1593496800000,0.4443,0.4462,0.437,0.443,14507.24
1593493200000,0.443,0.4441,0.4412,0.4412,1738.95
1593489600000,0.443,0.446,0.4419,0.4457,1728.81
1593486000000,0.445,0.4473,0.4402,0.4428,18876.44
1593482400000,0.4466,0.4481,0.445,0.445,1885.21
1593478800000,0.448,0.4488,0.4432,0.4434,4216.17
1593475200000,0.4473,0.4485,0.4458,0.4461,2307.17
1593471600000,0.4473,0.4491,0.4447,0.4491,1336.18
1593468000000,0.4459,0.4484,0.4435,0.4473,6238.01
1593464400000,0.4446,0.4473,0.4446,0.4455,2384.45
1593460800000,0.4448,0.4498,0.4399,0.4442,19259.5
1593457200000,0.4448,0.4448,0.4395,0.4447,5643.18
1593453600000,0.4448,0.4458,0.4416,0.4418,889.22
1593450000000,0.4415,0.4461,0.44,0.4428,9169.63
1593446400000,0.4407,0.4415,0.4362,0.4415,3623.72
1593442800000,0.4391,0.4408,0.4337,0.4405,32055.4
1593439200000,0.4376,0.4412,0.4333,0.4412,9640.97
1593435600000,0.4448,0.4466,0.4315,0.4361,24803.21
1593432000000,0.4473,0.4485,0.4426,0.4473,4219.97
1593428400000,0.4461,0.4477,0.4448,0.447,3261.38
1593424800000,0.4448,0.4478,0.4448,0.4478,1622.86
1593421200000,0.4448,0.4452,0.4381,0.443,21709.14
1593417600000,0.4433,0.4457,0.4411,0.4435,8644.83
1593414000000,0.4466,0.4481,0.4425,0.4454,14721.19
1593410400000,0.4473,0.4497,0.446,0.4466,6243.07
1593406800000,0.446,0.4499,0.4453,0.4486,174.88
1593403200000,0.4463,0.4484,0.4449,0.4484,362.03
1593399600000,0.4502,0.4524,0.4441,0.4482,11649.82
1593396000000,0.4503,0.4525,0.45,0.4502,1599.21
1593392400000,0.4534,0.4538,0.4494,0.4522,7152.53
1593388800000,0.4525,0.4551,0.4509,0.4538,2241.89
1593385200000,0.452,0.455,0.452,0.455,7712.57
1593381600000,0.4543,0.4561,0.4485,0.452,5583.17
1593378000000,0.4558,0.4577,0.4524,0.4558,11604.57
1593374400000,0.4577,0.4584,0.4551,0.4558,9251.01
1593370800000,0.4577,0.4634,0.4576,0.4577,28564.58
1593367200000,0.4528,0.4574,0.4498,0.4574,6090.52
1593363600000,0.4539,0.4546,0.4519,0.4543,6756.23
1593360000000,0.454,0.4586,0.4538,0.4539,6517.61
1593356400000,0.4562,0.4582,0.4538,0.4557,4502.43
1593352800000,0.4466,0.4562,0.446,0.4562,15790.0
1593349200000,0.4485,0.4486,0.4438,0.4466,6011.18
1593345600000,0.4526,0.4542,0.4466,0.4466,28041.19
1593342000000,0.4486,0.4549,0.4485,0.4526,13823.9
1593338400000,0.4469,0.4493,0.4469,0.4486,8215.1
1593334800000,0.4437,0.4473,0.4426,0.4469,11710.96
1593331200000,0.4414,0.4486,0.4414,0.4447,14232.16
1593327600000,0.4358,0.4525,0.4358,0.4414,38873.02
1593324000000,0.43,0.4357,0.427,0.4357,21474.41
1593320400000,0.4334,0.4334,0.4285,0.4285,7779.79
1593306000000,0.4341,0.4353,0.4277,0.433,16326.66
1593302400000,0.4448,0.4461,0.4301,0.4341,51600.53
1593298800000,0.4417,0.4448,0.4377,0.4448,11788.89
1593295200000,0.446,0.4464,0.4397,0.4447,4091.44
1593291600000,0.4402,0.4449,0.437,0.4434,22614.98
