date,open,high,low,close,volume
1594022400000,0.1248,0.1252,0.124,0.1252,88591.42
1594018800000,0.1247,0.1259,0.1234,0.1248,869027.67
1594015200000,0.1246,0.1259,0.1232,0.1243,580604.75
1594011600000,0.1257,0.1259,0.1237,0.1246,295080.22
1594008000000,0.1266,0.127,0.1257,0.1258,86519.94
1594004400000,0.1273,0.1273,0.1265,0.1266,13586.62
1594000800000,0.127,0.1274,0.127,0.127,5845.85
1593997200000,0.1263,0.1269,0.1263,0.1269,10741.48
1593993600000,0.1274,0.1276,0.1258,0.126,46104.19
1593990000000,0.1268,0.1272,0.1264,0.1272,20547.77
1593986400000,0.1258,0.1274,0.1258,0.1269,48312.89
1593982800000,0.1263,0.1263,0.125,0.1258,130977.7
1593979200000,0.1265,0.1271,0.1264,0.1271,19278.2
1593975600000,0.1274,0.1275,0.1265,0.1271,21916.11
1593972000000,0.1272,0.1278,0.1272,0.1278,9669.05
1593968400000,0.1266,0.1271,0.1266,0.1271,6869.54
1593964800000,0.1266,0.1274,0.1266,0.1266,4724.08
1593961200000,0.1271,0.1274,0.1267,0.1267,10522.18
1593957600000,0.1262,0.1273,0.125,0.1273,85421.5
1593954000000,0.1279,0.1279,0.1256,0.1262,155000.52
1593950400000,0.1288,0.1288,0.1278,0.1279,47805.26
1593946800000,0.1283,0.1288,0.1281,0.1285,36282.43
1593943200000,0.129,0.1304,0.1279,0.1279,198784.45
1593939600000,0.1301,0.1305,0.129,0.129,95648.1
1593936000000,0.1303,0.1308,0.13,0.1301,57009.61
1593932400000,0.131,0.1314,0.1302,0.1308,88495.95
1593928800000,0.131,0.1316,0.131,0.131,26167.02
1593925200000,0.131,0.1316,0.131,0.1312,59666.29
1593921600000,0.1313,0.1315,0.131,0.1312,103101.85
1593918000000,0.1312,0.1319,0.1311,0.1313,39261.35
1593914400000,0.1314,0.1316,0.131,0.1316,76830.68
1593910800000,0.1316,0.132,0.1314,0.1314,26747.53
1593907200000,0.1311,0.1319,0.1309,0.1316,24234.19
1593903600000,0.1313,0.1318,0.1311,0.1313,6134.9
1593900000000,0.1315,0.1315,0.131,0.131,66936.15
1593896400000,0.1302,0.1314,0.1302,0.1314,61353.95
1593892800000,0.131,0.131,0.1303,0.1303,28553.27
1593889200000,0.1321,0.1321,0.1306,0.1312,66741.36
1593885600000,0.1319,0.1323,0.1314,0.1321,37481.84
1593882000000,0.1309,0.132,0.13,0.1314,72838.15
1593878400000,0.1302,0.1309,0.1302,0.1309,3739.87
1593874800000,0.1318,0.1318,0.13,0.1308,76400.39
1593871200000,0.1318,0.1321,0.1318,0.1321,47831.38
1593867600000,0.1311,0.1317,0.1311,0.1317,3782.04
1593864000000,0.1322,0.1326,0.1305,0.1311,72167.27
1593860400000,0.1326,0.1326,0.1319,0.1325,13032.68
1593856800000,0.1315,0.1328,0.1315,0.1326,66959.72
1593853200000,0.1302,0.1315,0.1301,0.1314,48701.3
1593849600000,0.131,0.131,0.1302,0.1304,69093.42
1593846000000,0.1307,0.1315,0.1304,0.131,77264.4
1593842400000,0.1318,0.1319,0.1305,0.1305,49348.79
1593838800000,0.1316,0.132,0.1313,0.1318,51268.38
1593835200000,0.1321,0.1322,0.1316,0.1321,18616.94
1593831600000,0.1327,0.1327,0.1325,0.1326,530.74
1593828000000,0.1322,0.1327,0.1321,0.1327,26201.49
1593824400000,0.1314,0.1325,0.131,0.1325,41706.45
1593820800000,0.1328,0.1329,0.1314,0.1314,42876.87
1593817200000,0.1333,0.1338,0.1328,0.1331,16022.01
1593813600000,0.1342,0.1342,0.1333,0.1335,5084.96
1593810000000,0.1338,0.1345,0.1335,0.1342,24761.04
1593806400000,0.1336,0.1339,0.1331,0.1337,18370.47
1593802800000,0.1349,0.1351,0.132,0.1336,221170.58
1593799200000,0.1363,0.1363,0.132,0.1349,292891.04
1593795600000,0.1319,0.1372,0.1319,0.136,246986.03
1593792000000,0.1315,0.1318,0.131,0.1318,4225.77
1593788400000,0.1315,0.1319,0.13,0.1314,82696.19
1593784800000,0.1315,0.1319,0.1308,0.1314,36669.05
1593781200000,0.1316,0.1319,0.1314,0.1318,16126.03
1593777600000,0.1333,0.1334,0.1315,0.1316,123054.2
1593774000000,0.1334,0.1334,0.1325,0.1328,50382.63
1593770400000,0.1341,0.1346,0.133,0.1335,65446.1
1593766800000,0.1303,0.1341,0.1303,0.1341,361995.9
1593763200000,0.1304,0.1305,0.1296,0.1303,30194.96
1593759600000,0.13,0.1304,0.13,0.1304,26680.53
1593756000000,0.1301,0.1304,0.13,0.13,9171.87
1593752400000,0.1302,0.1307,0.1295,0.13,24016.59
1593748800000,0.1315,0.1316,0.1301,0.1306,18186.98
1593745200000,0.1313,0.1313,0.1308,0.1308,10616.21
1593741600000,0.1313,0.1314,0.1312,0.1313,10066.23
1593738000000,0.1306,0.1313,0.1304,0.1313,16764.19
1593734400000,0.1311,0.1312,0.13,0.13,12439.58
1593730800000,0.1309,0.1313,0.1307,0.1313,2472.76
1593727200000,0.1312,0.1313,0.1307,0.1307,6196.06
1593723600000,0.1336,0.134,0.1304,0.1307,172897.63
1593720000000,0.1342,0.1349,0.1337,0.1337,22856.27
1593716400000,0.134,0.1358,0.134,0.1342,111638.97
1593712800000,0.1301,0.1357,0.1296,0.1341,320870.52
1593709200000,0.1285,0.1303,0.1285,0.1297,99273.6
1593705600000,0.131,0.1322,0.1263,0.1283,214696.19
1593702000000,0.134,0.1342,0.1308,0.1308,114292.38
1593698400000,0.135,0.135,0.1339,0.1341,21858.36
1593694800000,0.1357,0.1357,0.1345,0.135,61613.97
1593691200000,0.1342,0.1368,0.1341,0.1357,96504.19
1593687600000,0.1338,0.1341,0.1323,0.1339,68578.75
1593684000000,0.1342,0.1344,0.1332,0.1338,38242.5
1593680400000,0.1343,0.1355,0.1334,0.1342,54870.33
1593676800000,0.1355,0.1356,0.1343,0.1349,39717.49
1593673200000,0.1362,0.1366,0.1346,0.1352,74115.49
1593669600000,0.1369,0.1369,0.1359,0.1366,53751.3
1593666000000,0.1381,0.1383,0.1369,0.1369,30064.24
1593662400000,0.1373,0.1384,0.1373,0.1384,113459.42
1593658800000,0.1352,0.1374,0.1352,0.1373,167382.19
1593655200000,0.1345,0.1347,0.1345,0.1345,4014.64
1593651600000,0.1346,0.1352,0.1342,0.1347,59603.56
1593648000000,0.1344,0.1348,0.1339,0.1339,44493.39
1593644400000,0.1343,0.1348,0.1342,0.1342,1298.58
1593640800000,0.1344,0.1348,0.134,0.1348,9698.78
1593637200000,0.1344,0.1354,0.1341,0.1344,54046.2
1593633600000,0.1348,0.1354,0.1341,0.1344,46977.84
1593630000000,0.1362,0.1362,0.1342,0.1343,99559.86
1593626400000,0.1349,0.1365,0.1349,0.1362,72467.68
1593622800000,0.135,0.1356,0.1347,0.1348,31705.24
1593619200000,0.1357,0.1361,0.1347,0.135,80194.7
1593615600000,0.1368,0.1385,0.1353,0.1359,329617.27
1593612000000,0.1365,0.1382,0.1361,0.1375,136610.21
1593608400000,0.136,0.1376,0.1355,0.1364,49156.24
1593604800000,0.135,0.1366,0.1345,0.1358,177943.46
1593601200000,0.1342,0.1355,0.1341,0.1355,80208.84
1593597600000,0.1345,0.135,0.1339,0.1342,27440.84
1593594000000,0.1345,0.1352,0.1342,0.1345,52409.32
1593590400000,0.1348,0.1355,0.1343,0.1344,85627.46
1593586800000,0.1348,0.1354,0.1348,0.1354,18235.12
1593583200000,0.1346,0.1347,0.1339,0.1346,8754.92
1593579600000,0.1353,0.1353,0.1339,0.1346,42148.64
1593576000000,0.1353,0.136,0.1351,0.1356,21672.3
1593572400000,0.1352,0.1376,0.1345,0.1353,66205.11
1593568800000,0.1335,0.1353,0.1335,0.1351,25256.32
1593565200000,0.1327,0.1335,0.1327,0.1335,10051.32
1593561600000,0.1332,0.1332,0.1318,0.1327,37785.49
1593558000000,0.1318,0.1337,0.1318,0.1325,67162.63
1593554400000,0.1309,0.132,0.1303,0.1319,50214.95
1593550800000,0.1303,0.1309,0.1303,0.1307,8329.57
1593547200000,0.1305,0.1308,0.13,0.1301,40529.92
1593543600000,0.13,0.1305,0.13,0.1305,17033.93
1593540000000,0.1301,0.1307,0.13,0.13,26277.74
1593536400000,0.1301,0.1311,0.13,0.1307,78641.97
1593532800000,0.1304,0.1308,0.13,0.1302,21920.77
1593529200000,0.1304,0.1312,0.1301,0.1303,25328.19
1593525600000,0.1294,0.1311,0.1294,0.131,39131.05
1593522000000,0.1299,0.1304,0.1288,0.1294,85558.51
1593518400000,0.1299,0.1307,0.1297,0.1303,75518.99
1593514800000,0.1302,0.1309,0.13,0.13,21667.2
1593511200000,0.131,0.1312,0.1298,0.1302,74279.57
1593507600000,0.1304,0.1311,0.1301,0.1306,37782.4
1593504000000,0.1308,0.1311,0.1304,0.1307,30786.07
1593500400000,0.1314,0.1315,0.1301,0.1308,84500.06
1593496800000,0.1309,0.132,0.1304,0.1314,81078.78
1593493200000,0.1334,0.1334,0.1308,0.1308,46542.01
