date,open,high,low,close,volume
1593993600000,0.21645,0.221,0.21594,0.2193,1059558.1
1593907200000,0.22246,0.22305,0.2115,0.21596,3131868.2
1593820800000,0.21605,0.2235,0.21353,0.22307,4456149.5
1593734400000,0.21889,0.21993,0.21,0.21607,3909853.3
1593648000000,0.22181,0.22484,0.21349,0.21889,5611862.7
1593561600000,0.2214,0.22792,0.21721,0.22173,3610492.6
1593475200000,0.22562,0.2279,0.2189,0.22173,3160914.9
1593388800000,0.22424,0.228,0.218,0.226,6051506.9
1593302400000,0.20973,0.225,0.2085,0.22443,6029519.3
1593216000000,0.23127,0.23399,0.1923,0.20986,10032855.3
1593129600000,0.23599,0.2361,0.22572,0.2313,5487471.6
1593043200000,0.24539,0.2463,0.22731,0.23649,7994888.7
1592956800000,0.25747,0.26435,0.23381,0.24508,16344015.9
1592870400000,0.24248,0.25854,0.24,0.25747,23971766.6
1592784000000,0.22057,0.243,0.21926,0.24201,17762972.4
1592697600000,0.22138,0.22612,0.21916,0.22057,4439979.3
1592611200000,0.22406,0.22612,0.216,0.22138,6370596.2
1592524800000,0.22312,0.23478,0.21977,0.22406,14225302.3
1592438400000,0.23431,0.23431,0.21787,0.22312,10294776.4
1592352000000,0.2339,0.24034,0.22321,0.23479,11826808.4
1592265600000,0.2342,0.2385,0.22427,0.23414,10635656.4
1592179200000,0.23165,0.23931,0.21016,0.23446,21768496.4
1592092800000,0.25195,0.25219,0.226,0.23149,21049301.0
1592006400000,0.25255,0.271,0.244,0.25154,48278161.0
1591920000000,0.20441,0.261,0.2,0.25264,55447792.6
1591833600000,0.23921,0.24939,0.2001,0.20451,25622305.3
1591747200000,0.25235,0.25305,0.236,0.2392,13830281.3
1591660800000,0.25467,0.25782,0.24668,0.25235,10451293.2
1591574400000,0.26503,0.26609,0.24999,0.25492,26886459.7
1591488000000,0.27049,0.2708,0.25,0.26517,28395446.8
1591401600000,0.27883,0.28923,0.26999,0.27058,17333335.8
1591315200000,0.28491,0.305,0.27512,0.27883,28796443.7
1591228800000,0.27607,0.294,0.266,0.28491,38015936.3
1591142400000,0.25468,0.27992,0.24958,0.27607,27847753.8
1591056000000,0.27108,0.28293,0.23,0.25468,40130269.0
1590969600000,0.24683,0.29186,0.24343,0.27108,55503120.5
1590883200000,0.28666,0.2899,0.24152,0.24692,59815107.0
1590796800000,0.30952,0.31095,0.28231,0.2865,44649913.8
1590710400000,0.31113,0.33662,0.29,0.30948,73564002.1
1590624000000,0.32492,0.36,0.27272,0.31117,102953059.2
1590537600000,0.40301,0.589,0.30125,0.32402,128330268.1
1590451200000,0.3533,0.472,0.34513,0.40301,55642517.3
1590364800000,0.34235,0.3777,0.33042,0.35327,29775974.5
1590278400000,0.30186,0.384,0.30088,0.34231,52330168.9
1590192000000,0.26897,0.309,0.26076,0.3017,19813784.8
1590105600000,0.2643,0.28121,0.24532,0.26799,20408395.0
1590019200000,0.27922,0.33,0.23827,0.264,74127728.4
1589932800000,0.21731,0.2988,0.21521,0.27895,45079587.6
1589846400000,0.19438,0.23324,0.1885,0.218,17906015.8
1589760000000,0.19153,0.1944,0.1818,0.1944,4063493.6
1589673600000,0.183,0.19594,0.18246,0.19206,5371687.0
1589587200000,0.19186,0.1971,0.18,0.18355,7422784.0
1589500800000,0.16817,0.1971,0.16729,0.19186,19656632.7
1589414400000,0.17178,0.17299,0.1603,0.16809,7050002.6
1589328000000,0.17886,0.18277,0.16503,0.17177,8228082.3
1589241600000,0.14734,0.186,0.14734,0.17894,18912247.7
1589155200000,0.14189,0.1494,0.13231,0.14692,3379330.7
1589068800000,0.15758,0.15758,0.13202,0.14191,6311763.4
1588982400000,0.16306,0.16974,0.1563,0.15758,2083328.3
1588896000000,0.16475,0.16887,0.15721,0.16302,3427147.7
1588809600000,0.15461,0.17099,0.14859,0.16445,5339090.6
1588723200000,0.15591,0.15741,0.14605,0.15461,4137129.2
1588636800000,0.14693,0.161,0.14461,0.15591,7591851.3
1588550400000,0.145,0.14699,0.13108,0.14639,4007349.2
1588464000000,0.13934,0.14928,0.135,0.14434,5047422.7
1588377600000,0.12668,0.14179,0.12655,0.13928,6700563.8
1588291200000,0.12014,0.12886,0.12014,0.12735,3592777.1
1588204800000,0.11622,0.127,0.10819,0.12033,6758581.2
1588118400000,0.10901,0.11916,0.10838,0.11645,3331825.6
1588032000000,0.10775,0.10956,0.10406,0.109,2588469.1
1587945600000,0.11209,0.11562,0.09245,0.10775,6834573.3
1587859200000,0.10724,0.11711,0.10724,0.11209,4261942.9
1587772800000,0.10101,0.10828,0.09968,0.10681,2050744.9
1587686400000,0.10075,0.10336,0.09708,0.10163,2778874.6
1587600000000,0.09174,0.10481,0.08995,0.10075,4084984.7
1587513600000,0.08536,0.0939,0.08513,0.09174,2286126.3
1587427200000,0.08282,0.08702,0.08252,0.08578,2791570.7
1587340800000,0.08207,0.08775,0.08118,0.08323,4851613.5
1587254400000,0.08122,0.084,0.07846,0.08174,2154403.5
1587168000000,0.07798,0.08156,0.07719,0.08125,1896996.2
1587081600000,0.07899,0.079,0.07737,0.07762,1196994.2
1586995200000,0.07441,0.0797,0.07144,0.07888,2941497.2
1586908800000,0.07745,0.0785,0.0744,0.07443,1009236.1
1586822400000,0.07717,0.07991,0.07638,0.07801,1457461.7
1586736000000,0.07894,0.07894,0.07444,0.07716,1706945.1
1586649600000,0.07899,0.08222,0.07747,0.07894,1396033.9
1586563200000,0.07908,0.08217,0.07699,0.07899,1195631.7
1586476800000,0.0869,0.0876,0.07699,0.07962,5148918.2
1586390400000,0.08761,0.08818,0.08403,0.08698,2388671.3
1586304000000,0.08479,0.08927,0.0837,0.08775,2247195.2
1586217600000,0.08792,0.09092,0.08336,0.08479,3108413.4
1586131200000,0.08049,0.08788,0.07968,0.08718,2787652.3
1586044800000,0.0787,0.083,0.0787,0.08015,3993627.4
1585958400000,0.076,0.07937,0.07489,0.0787,1229026.3
1585872000000,0.07764,0.07926,0.07344,0.076,1734851.8
1585785600000,0.07439,0.07867,0.07237,0.07811,3954626.0
1585699200000,0.07426,0.0748,0.06918,0.07407,2081438.4
1585612800000,0.07269,0.07589,0.07185,0.07421,2694298.0
1585526400000,0.06521,0.07388,0.06521,0.07265,2105925.5
1585440000000,0.07,0.0707,0.06528,0.06537,812825.6
1585353600000,0.07137,0.07177,0.0663,0.07,3370518.5
1585267200000,0.07285,0.0785,0.07137,0.0718,3982299.3
1585180800000,0.06967,0.07335,0.06936,0.07231,6080780.2
1585094400000,0.0706,0.07314,0.06682,0.06956,3287489.9
1585008000000,0.06976,0.07174,0.067,0.07122,2683099.1
