date,open,high,low,close,volume
1594022400000,0.6188,0.6291,0.6185,0.6205,60439.8
1594018800000,0.622,0.624,0.5951,0.62,314830.42
1594015200000,0.6167,0.624,0.6027,0.6195,208224.5
1594011600000,0.6071,0.6166,0.5872,0.6158,310290.92
1594008000000,0.578,0.6138,0.5767,0.6055,312427.9
1594004400000,0.5696,0.579,0.5682,0.577,28143.49
1594000800000,0.5702,0.5741,0.5679,0.5696,19387.9
1593997200000,0.5703,0.5751,0.5688,0.5703,50337.06
1593993600000,0.5655,0.5706,0.5655,0.5703,15450.82
1593990000000,0.568,0.5704,0.5634,0.5692,53042.93
1593986400000,0.5637,0.5684,0.5608,0.568,43243.31
1593982800000,0.57,0.57,0.5403,0.5604,219136.93
1593979200000,0.575,0.5765,0.5637,0.57,47358.47
1593975600000,0.5746,0.58,0.5717,0.5728,33788.6
1593972000000,0.5688,0.5746,0.5678,0.5746,17447.6
1593968400000,0.5636,0.5684,0.5615,0.5684,39685.34
1593964800000,0.5645,0.5677,0.5612,0.5636,45143.24
1593961200000,0.5708,0.5738,0.5585,0.5619,109335.5
1593957600000,0.5709,0.5727,0.5681,0.5681,31414.81
1593954000000,0.5762,0.5768,0.5701,0.5709,42370.37
1593950400000,0.5799,0.5826,0.5727,0.5737,69526.52
1593946800000,0.5779,0.5849,0.5779,0.5799,34262.8
1593943200000,0.5795,0.5806,0.5729,0.5776,54086.25
1593939600000,0.5832,0.5849,0.5787,0.5794,48359.97
1593936000000,0.587,0.5878,0.5781,0.5834,64141.72
1593932400000,0.5975,0.6106,0.5857,0.5869,108721.66
1593928800000,0.5877,0.6011,0.585,0.6001,51090.71
1593925200000,0.5953,0.596,0.5861,0.59,41608.49
1593921600000,0.6036,0.6043,0.5904,0.5943,56188.34
1593918000000,0.607,0.6148,0.582,0.6018,163557.38
1593914400000,0.6069,0.62,0.6059,0.607,168467.68
1593910800000,0.5916,0.6069,0.5904,0.6069,58611.87
1593907200000,0.5873,0.5964,0.5873,0.5945,37541.08
1593903600000,0.5765,0.5891,0.575,0.5891,37176.99
1593900000000,0.5793,0.5835,0.5753,0.5766,22304.27
1593896400000,0.582,0.582,0.5764,0.5793,31611.64
1593892800000,0.5792,0.589,0.5772,0.5798,69021.82
1593889200000,0.5837,0.5839,0.5742,0.5793,60162.56
1593885600000,0.5753,0.5929,0.5753,0.5838,158645.85
1593882000000,0.5816,0.5821,0.5665,0.5753,114020.71
1593878400000,0.5839,0.585,0.5779,0.5779,56030.56
1593874800000,0.59,0.5927,0.576,0.5821,116749.02
1593871200000,0.5968,0.5968,0.5879,0.5879,4923.35
1593867600000,0.5846,0.5996,0.5712,0.5948,142643.71
1593864000000,0.5871,0.5873,0.5701,0.5818,78198.35
1593860400000,0.5859,0.5896,0.571,0.5876,145622.23
1593856800000,0.595,0.5998,0.5863,0.5879,118771.44
1593853200000,0.5929,0.595,0.5811,0.595,95916.3
1593849600000,0.605,0.614,0.589,0.5928,332274.21
1593846000000,0.5893,0.605,0.588,0.605,190793.9
1593842400000,0.58,0.5927,0.5774,0.5894,77681.33
1593838800000,0.5886,0.5886,0.575,0.5812,74219.45
1593835200000,0.5884,0.5947,0.585,0.585,64839.67
1593831600000,0.5799,0.5879,0.5767,0.5878,24546.6
1593828000000,0.5827,0.583,0.5725,0.5812,60731.15
1593824400000,0.5828,0.5917,0.58,0.58,72257.12
1593820800000,0.5675,0.5828,0.5675,0.5828,48465.44
1593817200000,0.58,0.58,0.5658,0.5699,66604.23
1593813600000,0.5824,0.5915,0.5789,0.579,128083.44
1593810000000,0.5836,0.5845,0.5745,0.5822,87314.35
1593806400000,0.579,0.5886,0.5673,0.5804,189246.03
1593802800000,0.5692,0.5947,0.5678,0.5788,336998.43
1593799200000,0.5556,0.5693,0.5524,0.5692,110844.47
1593795600000,0.5644,0.5682,0.5511,0.5534,85712.2
1593792000000,0.566,0.568,0.5443,0.5636,351685.62
