date,open,high,low,close,volume
1593993600000,0.9999,1.0003,0.9996,1.0001,850070.65
1593907200000,0.9999,1.0008,0.9995,0.9996,2886771.28
1593820800000,0.9999,1.0003,0.9996,0.9999,1863077.59
1593734400000,0.9999,1.0005,0.9997,1.0001,2290766.52
1593648000000,0.9997,1.0016,0.9994,0.9999,3866783.8
1593561600000,1.0005,1.0007,0.9971,0.9997,2803012.52
1593475200000,1.0005,1.001,1.0,1.0003,4109822.47
1593388800000,1.0006,1.0014,1.0001,1.0003,3175450.36
1593302400000,1.0011,1.0014,1.0003,1.0005,1868852.85
1593216000000,1.001,1.0019,1.0006,1.0011,3414037.87
1593129600000,1.0011,1.0025,1.0004,1.001,3713930.09
1593043200000,1.0014,1.0024,1.0004,1.0011,4806218.58
1592956800000,1.0003,1.003,0.9999,1.0012,5924408.44
1592870400000,1.0,1.0009,0.9997,1.0003,4569375.82
1592784000000,1.0013,1.0014,0.9996,0.9998,5486720.81
1592697600000,1.0006,1.0031,1.0002,1.0014,5028758.73
1592611200000,1.0015,1.0017,1.0004,1.0006,3315664.53
1592524800000,1.0012,1.0019,1.0006,1.0015,4054961.4
1592438400000,1.0012,1.0015,1.0003,1.0012,3858407.59
1592352000000,1.0002,1.0018,1.0,1.0012,3273424.98
1592265600000,0.9997,1.0009,0.9989,1.0002,4198568.62
1592179200000,1.0007,1.0024,0.9995,0.9997,4593778.9
1592092800000,1.0,1.0013,0.9998,1.001,2402767.11
1592006400000,1.0003,1.0007,0.9997,0.9997,2431546.41
1591920000000,1.0014,1.0021,1.0,1.0003,2652061.55
1591833600000,0.9995,1.003,0.9991,1.0014,5524450.58
1591747200000,0.9995,1.0004,0.998,0.9995,3439259.15
1591660800000,0.9996,1.0003,0.9991,0.9995,3721697.02
1591574400000,0.9995,1.0004,0.9993,0.9996,2479433.24
1591488000000,1.0001,1.0009,0.9992,0.9994,3387960.12
1591401600000,1.0005,1.0013,0.9999,1.0002,3447489.75
1591315200000,0.9998,1.0009,0.9996,1.0005,4020808.23
1591228800000,1.0001,1.001,0.999,1.0,3709060.36
1591142400000,1.0,1.0009,0.9995,0.9999,4253835.3
1591056000000,0.9996,1.0019,0.9986,1.0001,8397289.37
1590969600000,1.0007,1.0012,0.9958,0.9995,6692903.08
1590883200000,1.0,1.0015,0.9991,1.0007,4212362.24
1590796800000,1.0005,1.0011,0.9994,1.0,4678674.69
1590710400000,1.0,1.0012,0.9996,1.0006,3192674.58
1590624000000,1.0,1.0007,0.9992,1.0,5110554.09
1590537600000,1.0001,1.0009,0.9995,1.0,3608419.51
1590451200000,1.0004,1.001,0.9998,1.0001,3013224.85
1590364800000,1.0003,1.0013,0.9995,1.0004,3538086.96
1590278400000,0.9997,1.0009,0.9994,1.0003,4065915.14
1590192000000,0.9999,1.0003,0.9993,0.9999,2979498.18
1590105600000,1.0009,1.0016,0.9996,1.0001,4236948.54
1590019200000,1.0005,1.0023,0.9972,1.0011,4616812.65
1589932800000,0.9997,1.0017,0.9992,1.0005,5146845.17
1589846400000,1.0006,1.0015,0.9996,0.9997,4471416.34
1589760000000,1.0003,1.0015,0.9995,1.0008,4295363.26
1589673600000,1.0002,1.0009,0.9994,1.0001,3426482.0
1589587200000,1.001,1.0012,0.9997,1.0002,2545578.75
1589500800000,0.9996,1.0018,0.9983,1.001,4506164.35
1589414400000,0.9988,1.0014,0.998,0.9996,6609857.37
1589328000000,0.9994,1.0,0.9982,0.9988,4160329.01
1589241600000,0.9996,1.0002,0.999,0.9994,3701548.47
1589155200000,0.9995,1.0005,0.9967,0.9996,7972977.45
1589068800000,1.0,1.0026,0.9986,0.9996,10188712.89
1588982400000,0.9997,1.0014,0.9991,1.0003,6143114.74
1588896000000,0.9986,1.0,0.9965,0.9997,6493367.34
1588809600000,0.9992,0.9996,0.9975,0.9986,6261539.41
1588723200000,0.9996,0.9999,0.998,0.9992,5786391.08
1588636800000,0.9987,1.0003,0.9985,0.9995,4651927.94
1588550400000,0.9989,1.0002,0.9982,0.9987,6281340.54
1588464000000,0.9992,1.0002,0.9984,0.9989,4022247.61
1588377600000,0.9995,0.9999,0.9983,0.999,3250120.88
1588291200000,0.9994,1.0005,0.9983,0.9996,5299885.33
1588204800000,0.9991,1.0006,0.9985,0.9992,8673439.91
1588118400000,0.9984,0.9995,0.9963,0.9991,8840245.41
1588032000000,0.9984,1.0,0.9981,0.9982,3141970.01
1587945600000,0.9987,1.0004,0.9981,0.9984,2835125.49
1587859200000,0.9992,1.0,0.9982,0.9987,2008825.72
1587772800000,0.9992,1.0002,0.9982,0.9992,2550647.42
