date,open,high,low,close,volume
1594022400000,1.0002,1.0002,0.9999,0.9999,27131.63
1594018800000,1.0002,1.0003,1.0,1.0002,107061.72
1594015200000,0.9999,1.0003,0.9998,1.0002,249687.28
1594011600000,0.9999,1.0,0.9997,0.9998,65694.3
1594008000000,0.9997,0.9999,0.9996,0.9997,106141.16
1594004400000,0.9997,0.9999,0.9997,0.9998,17906.86
1594000800000,0.9999,1.0,0.9996,0.9999,63637.11
1593997200000,0.9999,1.0,0.9997,0.9998,134679.61
1593993600000,0.9999,0.9999,0.9996,0.9999,77659.24
1593990000000,0.9998,0.9998,0.9995,0.9996,90198.5
1593986400000,1.0,1.0,0.9996,0.9998,243266.98
1593982800000,0.9999,1.0001,0.9997,1.0,184159.5
1593979200000,1.0,1.0003,0.9999,1.0001,82809.85
1593975600000,1.0,1.0002,0.9999,1.0,124255.27
1593972000000,1.0,1.0002,0.9999,0.9999,39587.52
1593968400000,1.0,1.0008,1.0,1.0,416945.01
1593964800000,0.9998,1.0,0.9997,1.0,70549.37
1593961200000,0.9999,1.0,0.9997,0.9998,76787.49
1593957600000,0.9998,1.0001,0.9998,0.9998,104403.17
1593954000000,0.9998,1.0001,0.9996,1.0,281244.81
1593950400000,1.0001,1.0001,0.9998,1.0,213259.44
1593946800000,1.0002,1.0002,1.0,1.0001,46964.97
1593943200000,0.9999,1.0003,0.9999,1.0,106794.93
1593939600000,0.9999,1.0002,0.9998,1.0002,145241.17
1593936000000,1.0001,1.0002,0.9998,0.9999,110220.1
1593932400000,1.0,1.0002,1.0,1.0001,21491.48
1593928800000,1.0003,1.0003,1.0,1.0,29840.65
1593925200000,0.9998,1.0003,0.9998,1.0003,223470.82
1593921600000,0.9997,0.9999,0.9997,0.9999,50595.1
1593918000000,0.9999,0.9999,0.9997,0.9997,18299.27
1593914400000,0.9998,1.0,0.9996,0.9999,41635.12
1593910800000,0.9998,1.0,0.9998,0.9998,12155.53
1593907200000,0.9999,1.0,0.9997,0.9998,152595.23
1593903600000,0.9999,1.0002,0.9999,0.9999,41990.58
1593900000000,1.0,1.0001,0.9999,0.9999,31082.04
1593896400000,0.9997,1.0,0.9997,0.9998,42142.9
1593892800000,1.0,1.0,0.9997,0.9999,97712.7
1593889200000,0.9996,1.0,0.9996,0.9998,58529.21
1593885600000,0.9998,0.9999,0.9996,0.9998,229198.84
1593882000000,1.0001,1.0002,0.9996,0.9998,297108.52
1593878400000,1.0,1.0001,0.9998,0.9999,42897.0
1593874800000,1.0,1.0001,0.9998,1.0,46197.41
1593871200000,1.0,1.0001,0.9997,0.9998,40122.39
1593867600000,0.9999,1.0,0.9997,1.0,50665.09
1593864000000,0.9997,0.9999,0.9997,0.9999,83834.37
1593860400000,0.9999,1.0001,0.9997,0.9997,74956.89
1593856800000,0.9998,1.0,0.9998,1.0,36866.76
1593853200000,0.9998,1.0,0.9998,1.0,48179.58
1593849600000,0.9999,1.0001,0.9998,0.9998,14318.41
1593846000000,1.0002,1.0002,0.9999,1.0001,72309.7
1593842400000,1.0002,1.0002,0.9999,1.0002,89108.22
1593838800000,1.0002,1.0002,1.0,1.0,45940.43
1593835200000,1.0,1.0002,1.0,1.0002,16517.63
1593831600000,1.0001,1.0003,1.0,1.0002,67613.9
1593828000000,1.0,1.0003,1.0,1.0002,154130.39
1593824400000,1.0001,1.0003,0.9999,1.0002,73569.4
1593820800000,0.9999,1.0001,0.9999,1.0001,108085.23
1593817200000,1.0001,1.0001,0.9998,1.0001,312096.49
1593813600000,0.9999,1.0001,0.9998,1.0001,139946.6
1593810000000,0.9999,1.0001,0.9998,1.0,51799.66
1593806400000,0.9999,1.0002,0.9999,0.9999,38461.85
1593802800000,0.9998,1.0002,0.9998,0.9999,94957.76
