date,open,high,low,close,volume
1593993600000,0.9997,1.0003,0.9994,1.0,3589460.36
1593907200000,0.9999,1.002,0.9992,0.9997,8630422.35
1593820800000,0.9999,1.0005,0.9994,0.9997,8882972.08
1593734400000,0.9998,1.0009,0.9996,0.9999,16502048.77
1593648000000,0.9995,1.0018,0.9993,0.9999,16251729.17
1593561600000,1.0001,1.0017,0.9992,0.9995,17106981.39
1593475200000,1.0004,1.002,0.9991,1.0001,8679056.28
1593388800000,1.0006,1.0027,0.9989,1.0004,10092976.86
1593302400000,1.0009,1.0018,1.0,1.0006,6445116.84
1593216000000,1.0008,1.0028,0.9999,1.001,11998452.8
1593129600000,1.0008,1.0026,1.0,1.001,11347671.11
1593043200000,1.0012,1.0025,1.0,1.0008,13516628.8
1592956800000,1.0005,1.0022,1.0,1.0012,15561446.38
1592870400000,0.9999,1.0012,0.9992,1.0005,10693608.65
1592784000000,1.0013,1.0016,0.9992,1.0,16242094.87
1592697600000,1.0005,1.0018,1.0002,1.0015,10418293.44
1592611200000,1.0017,1.002,1.0002,1.0004,11073008.95
1592524800000,1.0012,1.0022,1.0006,1.0017,14227888.83
1592438400000,1.001,1.0018,1.0005,1.0012,9937949.93
1592352000000,1.0003,1.0027,1.0,1.001,12560351.01
1592265600000,0.9996,1.0012,0.9992,1.0004,13428842.62
1592179200000,1.0009,1.0025,0.9992,0.9997,13218210.37
1592092800000,1.0,1.0013,0.9997,1.0009,4596560.87
1592006400000,1.0002,1.0009,0.9996,0.9998,5492348.08
1591920000000,1.0012,1.0021,0.999,1.0002,7183341.25
1591833600000,0.9995,1.003,0.999,1.0012,15477956.16
1591747200000,0.9993,1.0003,0.9979,0.9994,10387806.52
1591660800000,0.9995,1.0005,0.9987,0.9995,9287252.33
1591574400000,0.9994,1.0016,0.9986,0.9995,8651475.56
1591488000000,1.0002,1.001,0.9986,0.9995,9953941.17
1591401600000,1.0007,1.0016,0.9997,1.0001,5989606.17
1591315200000,1.0001,1.0009,0.9997,1.0007,7487958.8
1591228800000,0.9999,1.0011,0.9994,1.0001,9894049.12
1591142400000,1.0,1.0007,0.9995,1.0001,8913650.12
1591056000000,0.9991,1.0025,0.9981,1.0,23132723.58
1590969600000,1.0007,1.003,0.989,0.9992,14552967.37
1590883200000,0.9998,1.0017,0.9994,1.0007,8067729.29
1590796800000,1.0004,1.0008,0.9984,0.9998,15805536.81
1590710400000,0.9997,1.0012,0.9996,1.0003,7211268.3
1590624000000,1.0001,1.0014,0.998,0.9998,11769095.08
1590537600000,1.0003,1.0012,0.9992,1.0001,10625188.73
1590451200000,1.0002,1.001,0.9996,1.0003,7299825.11
1590364800000,1.0004,1.0015,0.9995,1.0002,7695770.76
1590278400000,0.9998,1.0014,0.9992,1.0005,7021503.34
1590192000000,1.0,1.0007,0.9989,0.9999,7375871.49
1590105600000,1.0008,1.0018,0.9996,1.0,10266091.32
1590019200000,1.0005,1.004,1.0002,1.0009,13142365.42
1589932800000,0.9997,1.003,0.9991,1.0004,9607222.47
1589846400000,1.0005,1.0044,0.9989,0.9997,10655053.67
1589760000000,1.0005,1.003,0.9994,1.0005,10708615.35
1589673600000,1.0002,1.001,0.9994,1.0004,6870523.11
1589587200000,1.0009,1.0011,0.9997,1.0002,6931548.92
1589500800000,0.9996,1.0017,0.9993,1.0009,9074878.17
1589414400000,0.9988,1.0001,0.9982,0.9996,14040840.7
1589328000000,0.9992,1.0,0.9982,0.9986,10925885.85
1589241600000,0.9992,1.003,0.9972,0.9993,9447241.75
1589155200000,0.9995,1.0016,0.998,0.9991,13300421.63
1589068800000,1.0,1.003,0.9981,0.9995,20914792.68
1588982400000,0.9992,1.0004,0.9987,1.0,12520864.55
1588896000000,0.9983,0.9995,0.9979,0.9994,17189763.4
1588809600000,0.9989,0.9999,0.9976,0.9983,13518279.3
1588723200000,0.9994,0.9996,0.9976,0.999,13392451.55
1588636800000,0.9986,0.9998,0.9983,0.9992,10093588.94
1588550400000,0.9989,1.0,0.9981,0.9984,11644919.12
1588464000000,0.999,1.0,0.9986,0.999,12531100.04
1588377600000,0.9991,0.9998,0.9982,0.9988,10795231.26
1588291200000,0.9994,1.0,0.998,0.9993,11075159.9
1588204800000,0.9991,1.0007,0.9974,0.9994,20425400.46
1588118400000,0.998,0.9993,0.9968,0.9991,20911048.29
1588032000000,0.9981,0.9994,0.998,0.998,7792248.15
1587945600000,0.9986,0.9992,0.9977,0.998,8364726.57
1587859200000,0.9991,1.0004,0.9982,0.9986,7784113.31
1587772800000,0.9992,0.9999,0.9984,0.9991,8554610.27
1587686400000,0.9992,1.0004,0.9984,0.9991,15394166.54
1587600000000,0.9988,0.9999,0.9977,0.999,16603821.01
1587513600000,0.9984,0.9992,0.998,0.999,14963569.94
1587427200000,0.9986,0.9993,0.997,0.9983,15406493.04
1587340800000,0.9986,1.0002,0.9977,0.9986,17916417.2
1587254400000,0.9985,0.9996,0.9979,0.9986,8067153.79
1587168000000,0.999,0.9999,0.9977,0.9984,10250363.11
