date,open,high,low,close,volume
1594022400000,1.0002,1.0002,0.9998,1.0,115010.96
1594018800000,1.0002,1.0003,0.9999,1.0,701529.96
1594015200000,0.9999,1.0003,0.9998,1.0001,663687.12
1594011600000,0.9999,0.9999,0.9997,0.9998,492383.06
1594008000000,0.9999,1.0,0.9997,0.9998,310348.31
1594004400000,0.9997,0.9999,0.9996,0.9999,183187.83
1594000800000,0.9999,1.0,0.9995,0.9997,292247.37
1593997200000,0.9997,0.9999,0.9996,0.9999,200468.31
1593993600000,0.9997,0.9998,0.9994,0.9996,583344.98
1593990000000,0.9998,0.9999,0.9995,0.9997,306840.96
1593986400000,1.0,1.0001,0.9996,0.9998,324820.65
1593982800000,0.9998,1.0007,0.9992,1.0,971928.44
1593979200000,1.0,1.0,0.9998,0.9998,313325.82
1593975600000,0.9999,1.0,0.9997,0.9999,217678.07
1593972000000,0.9999,1.0,0.9998,0.9999,163730.4
1593968400000,1.0001,1.0002,0.9993,0.9999,408964.23
1593964800000,0.9999,1.002,0.9997,1.0001,890252.27
1593961200000,0.9999,1.0,0.9997,0.9999,372923.61
1593957600000,0.9999,1.0002,0.9998,0.9998,599342.89
1593954000000,1.0,1.0001,0.9997,0.9999,377676.19
1593950400000,1.0001,1.0002,0.9998,1.0,559499.81
1593946800000,1.0,1.0003,1.0,1.0,271355.02
1593943200000,1.0,1.0002,0.9999,1.0001,369836.08
1593939600000,0.9999,1.0001,0.9998,0.9999,270646.77
1593936000000,1.0,1.0001,0.9997,1.0,303247.01
1593932400000,0.9999,1.0002,0.9998,1.0,235836.83
1593928800000,1.0001,1.0003,0.9998,0.9999,318125.3
1593925200000,0.9999,1.0002,0.9998,1.0002,363338.41
1593921600000,0.9998,1.0,0.9997,0.9999,172580.66
1593918000000,0.9998,0.9999,0.9997,0.9998,245343.36
1593914400000,0.9998,1.0,0.9997,0.9997,124167.34
1593910800000,1.0,1.0,0.9998,0.9999,126048.29
1593907200000,0.9999,1.0,0.9997,0.9999,322913.94
1593903600000,0.9999,1.0,0.9997,0.9997,250943.01
1593900000000,0.9999,1.0,0.9998,0.9999,268068.15
1593896400000,0.9997,1.0,0.9997,0.9999,438126.58
1593892800000,0.9999,1.0,0.9997,0.9999,261674.45
1593889200000,0.9997,0.9999,0.9997,0.9998,169628.53
1593885600000,0.9997,0.9999,0.9994,0.9997,1371607.31
1593882000000,0.9999,1.0,0.9996,0.9999,1137126.91
1593878400000,1.0,1.0,0.9998,0.9998,175484.03
1593874800000,1.0,1.0,0.9998,0.9999,316643.25
1593871200000,0.9999,1.0,0.9997,0.9999,419513.67
1593867600000,0.9998,0.9999,0.9997,0.9998,519163.37
1593864000000,0.9998,0.9999,0.9996,0.9998,595709.71
