date,open,high,low,close,volume
1594022400000,0.014471,0.014687,0.014412,0.014453,96685744.0
1594018800000,0.014453,0.014619,0.014251,0.014465,297878336.0
1594015200000,0.014824,0.014981,0.014214,0.014441,438830756.0
1594011600000,0.014882,0.015035,0.014415,0.014824,470513334.0
1594008000000,0.01554,0.015672,0.014834,0.014898,429986549.0
1594004400000,0.015266,0.01565,0.014911,0.01554,504827317.0
1594000800000,0.015397,0.015976,0.015132,0.01527,661937275.0
1593997200000,0.014584,0.01557,0.014331,0.015408,575565981.0
1593993600000,0.014307,0.01461,0.014065,0.014588,200714921.0
1593990000000,0.014599,0.014681,0.014266,0.014307,196004545.0
1593986400000,0.0143,0.014728,0.0143,0.014604,349766854.0
1593982800000,0.013872,0.01446,0.013502,0.0143,406485974.0
1593979200000,0.01392,0.014098,0.013768,0.01388,212126428.0
1593975600000,0.014218,0.014384,0.013888,0.013914,156504023.0
1593972000000,0.014396,0.0146,0.014033,0.014217,306684120.0
1593968400000,0.014326,0.014768,0.014311,0.014395,395457788.0
1593964800000,0.013786,0.014346,0.013673,0.014326,369321359.0
1593961200000,0.013764,0.014079,0.013633,0.013786,401165027.0
1593957600000,0.013585,0.013845,0.013446,0.013768,449944344.0
1593954000000,0.014214,0.014236,0.013378,0.013585,813703363.0
1593950400000,0.014463,0.014545,0.01401,0.014207,480048220.0
1593946800000,0.014874,0.015066,0.014332,0.014451,397943890.0
1593943200000,0.0144,0.0152,0.014287,0.014867,542430629.0
1593939600000,0.014255,0.014666,0.014032,0.014408,333830562.0
1593936000000,0.014312,0.014783,0.014146,0.014238,545116331.0
1593932400000,0.014321,0.014457,0.013907,0.014301,618493313.0
1593928800000,0.014345,0.015185,0.014132,0.014328,973972388.0
1593925200000,0.016302,0.01697,0.0129,0.014346,2044961046.0
1593921600000,0.013468,0.016809,0.013404,0.016305,1182424141.3
1593918000000,0.012108,0.013577,0.012108,0.01347,1062375328.1
1593914400000,0.012183,0.012229,0.011926,0.012098,203403677.0
1593910800000,0.01218,0.012281,0.012137,0.012183,122744971.0
1593907200000,0.012526,0.012528,0.012072,0.01218,272649797.0
1593903600000,0.012407,0.01257,0.012298,0.012525,155568504.0
1593900000000,0.012332,0.012443,0.0122,0.012407,204521702.0
1593896400000,0.012911,0.012929,0.011849,0.012334,503456034.0
1593892800000,0.012666,0.013,0.012572,0.012912,386267570.2
1593889200000,0.01235,0.012669,0.012315,0.012655,238891840.0
1593885600000,0.012032,0.012707,0.012021,0.012343,676673488.1
1593882000000,0.011671,0.012038,0.011652,0.012026,334979042.0
1593878400000,0.011584,0.011753,0.011484,0.011671,237659580.0
1593874800000,0.011523,0.011618,0.01136,0.011585,220768065.0
1593871200000,0.01154,0.011758,0.011505,0.011523,238647857.0
1593867600000,0.011286,0.011828,0.011285,0.011537,483284030.6
1593864000000,0.010892,0.0115,0.01083,0.011286,452668454.0
1593860400000,0.010726,0.010907,0.010685,0.010892,107848375.0
1593856800000,0.010766,0.01079,0.010693,0.010728,78011371.0
1593853200000,0.010898,0.010905,0.010716,0.010764,91757860.0
1593849600000,0.010941,0.010944,0.010773,0.010893,164405095.0
1593846000000,0.010648,0.010949,0.010648,0.01094,200364465.0
1593842400000,0.01064,0.010733,0.010608,0.010649,109654863.0
1593838800000,0.010371,0.010752,0.010371,0.010637,285990404.0
1593835200000,0.01025,0.01039,0.010241,0.010372,75518847.0
1593831600000,0.010269,0.010307,0.01021,0.010244,48432521.0
1593828000000,0.010185,0.01028,0.010166,0.010265,67970225.0
1593824400000,0.010273,0.010284,0.010172,0.010187,61119152.0
1593820800000,0.010221,0.010319,0.010188,0.010272,73412282.0
1593817200000,0.010331,0.01034,0.01012,0.010223,166897657.0
1593813600000,0.010407,0.010467,0.010313,0.010334,74152238.0
1593810000000,0.010403,0.010425,0.010285,0.010408,83807285.0
1593806400000,0.0102,0.010407,0.010136,0.010401,85369575.0
1593802800000,0.010219,0.010219,0.010085,0.010201,104403455.0
1593799200000,0.010208,0.010228,0.010116,0.010219,116108899.0
1593795600000,0.010341,0.0104,0.01017,0.010211,108181210.0
1593792000000,0.010397,0.010475,0.010322,0.010341,145518069.0
1593788400000,0.010381,0.01045,0.01032,0.010396,117560557.0
1593784800000,0.01031,0.01048,0.010306,0.010383,266798030.0
1593781200000,0.010126,0.01041,0.010126,0.010305,227833040.0
1593777600000,0.010154,0.010209,0.010033,0.010129,116176901.0
1593774000000,0.009922,0.010198,0.009893,0.010157,181410720.0
1593770400000,0.009935,0.00995,0.009864,0.009923,90255559.0
1593766800000,0.009963,0.010051,0.009828,0.009935,126050455.0
1593763200000,0.010039,0.010062,0.009913,0.009964,100221927.0
1593759600000,0.009938,0.010089,0.00987,0.01004,133021843.0
1593756000000,0.010038,0.010074,0.009913,0.009943,122078246.0
1593752400000,0.010149,0.010169,0.009939,0.010038,162444626.0
1593748800000,0.010115,0.010299,0.010051,0.010148,194693131.0
1593745200000,0.010052,0.01013,0.009973,0.010115,130522851.0
1593741600000,0.009855,0.010132,0.009851,0.010051,321354953.0
1593738000000,0.009664,0.00987,0.009648,0.009856,138830886.0
1593734400000,0.00956,0.009703,0.009493,0.009665,95758442.0
1593730800000,0.00958,0.009593,0.00951,0.009556,52811231.0
1593727200000,0.009612,0.009682,0.009525,0.009581,118792758.0
1593723600000,0.009433,0.009692,0.009371,0.009597,131948727.0
1593720000000,0.009333,0.009465,0.009275,0.009431,78900959.0
1593716400000,0.009385,0.009429,0.009296,0.009341,86006708.0
1593712800000,0.009419,0.009422,0.009274,0.009389,77646005.0
1593709200000,0.009307,0.009445,0.009232,0.009422,122067104.0
1593705600000,0.009395,0.00947,0.0091,0.009305,307152114.0
1593702000000,0.009692,0.009696,0.009323,0.009397,331220296.0
1593698400000,0.00972,0.009765,0.009624,0.009697,198079117.0
1593694800000,0.009477,0.009768,0.009439,0.009719,301044068.0
1593691200000,0.009258,0.009502,0.009238,0.009478,145154264.0
1593687600000,0.009276,0.009311,0.009222,0.009258,46595206.0
1593684000000,0.009289,0.009321,0.009232,0.009274,60986140.0
1593680400000,0.009324,0.00936,0.00927,0.009286,38493705.0
1593676800000,0.009375,0.00938,0.009212,0.009328,65024125.0
1593673200000,0.009307,0.0094,0.009289,0.009378,45115876.0
1593669600000,0.009248,0.009335,0.00923,0.00931,69124035.0
1593666000000,0.009383,0.00943,0.009233,0.009256,91956258.0
1593662400000,0.009441,0.009484,0.009353,0.009385,48851546.0
1593658800000,0.00949,0.009501,0.009409,0.009442,78308324.0
1593655200000,0.00948,0.009538,0.009467,0.00949,57636966.0
1593651600000,0.009411,0.00948,0.009374,0.00948,56163863.0
1593648000000,0.009437,0.009515,0.009354,0.00941,177849526.0
1593644400000,0.009442,0.009497,0.009288,0.009436,148167354.0
1593640800000,0.0094,0.009453,0.009327,0.009445,95197644.0
1593637200000,0.009255,0.009448,0.009223,0.009399,130794715.0
1593633600000,0.009258,0.009351,0.00924,0.009244,105143723.0
1593630000000,0.009354,0.009421,0.009209,0.009267,153637435.0
1593626400000,0.00941,0.009447,0.009319,0.009354,156483573.0
1593622800000,0.009366,0.009508,0.009308,0.009404,163828434.0
1593619200000,0.00914,0.009528,0.009078,0.009362,385184848.0
1593615600000,0.00894,0.009141,0.00892,0.00914,164920042.0
1593612000000,0.008887,0.008941,0.008877,0.008937,51549858.0
1593608400000,0.00882,0.008948,0.008799,0.008887,88008953.0
1593604800000,0.008756,0.00882,0.008745,0.00882,35390836.0
1593601200000,0.00875,0.008758,0.008713,0.008751,24091337.0
1593597600000,0.008784,0.0088,0.008757,0.008757,16802384.0
1593594000000,0.008782,0.0088,0.008765,0.008779,16380708.0
1593590400000,0.008701,0.008797,0.0087,0.008785,36304381.0
1593586800000,0.008719,0.00875,0.008697,0.008701,18089514.0
1593583200000,0.008731,0.008757,0.008668,0.008722,57278842.0
1593579600000,0.008748,0.008756,0.00872,0.008738,16999477.0
1593576000000,0.008762,0.008798,0.008743,0.008746,38374453.0
1593572400000,0.008799,0.00881,0.008715,0.008762,36183126.0
1593568800000,0.008763,0.008817,0.008748,0.008794,28567268.0
1593565200000,0.008746,0.008769,0.008689,0.008759,32847930.0
1593561600000,0.008842,0.008844,0.008721,0.00875,60025327.0
1593558000000,0.008778,0.008872,0.00877,0.008837,27062390.0
1593554400000,0.00881,0.008824,0.008764,0.008776,26700645.0
1593550800000,0.008788,0.008848,0.008782,0.008808,28881272.0
1593547200000,0.008761,0.008819,0.008759,0.008783,27059212.0
1593543600000,0.008762,0.008785,0.008717,0.008768,44904220.0
1593540000000,0.008763,0.008799,0.008758,0.008769,26685600.0
1593536400000,0.008794,0.008818,0.008726,0.008764,30053079.0
1593532800000,0.008839,0.00885,0.008757,0.008791,68494781.0
1593529200000,0.008851,0.00887,0.008809,0.008839,65312808.0
1593525600000,0.008719,0.008854,0.008704,0.008851,55732192.0
1593522000000,0.008687,0.008755,0.008613,0.008716,52127165.0
1593518400000,0.008748,0.00875,0.008672,0.008687,47474859.0
1593514800000,0.008763,0.008764,0.008743,0.008749,18796826.0
1593511200000,0.008773,0.008782,0.008736,0.008764,26507672.0
1593507600000,0.008769,0.008821,0.008748,0.008767,43081074.0
1593504000000,0.008794,0.008796,0.008724,0.008767,45333193.0
1593500400000,0.008671,0.008802,0.00865,0.008795,61724473.0
