date,open,high,low,close,volume
1594022400000,0.01464,0.01468,0.01464,0.01468,16762.6
1594018800000,0.01458,0.01466,0.01457,0.01457,266590.1
1594015200000,0.01451,0.01472,0.01449,0.01457,435732.6
1594011600000,0.01453,0.01454,0.01444,0.0145,149083.6
1594008000000,0.01451,0.01451,0.01451,0.01451,0.0
1594004400000,0.01457,0.01457,0.01451,0.01451,8875.5
1594000800000,0.01455,0.01459,0.01446,0.01457,105145.7
1593997200000,0.0146,0.0146,0.01453,0.01454,54914.4
1593993600000,0.01445,0.01456,0.01445,0.01453,38020.6
1593990000000,0.01445,0.01446,0.01441,0.01446,30054.3
1593986400000,0.01437,0.0145,0.01437,0.01447,26691.0
1593982800000,0.01446,0.01468,0.01414,0.01436,685046.3
1593979200000,0.01448,0.0145,0.01445,0.01445,19911.6
1593975600000,0.01456,0.01464,0.01449,0.0145,100739.0
1593972000000,0.01454,0.01468,0.01443,0.01446,136877.3
1593968400000,0.01455,0.01461,0.01451,0.01454,21663.6
1593964800000,0.01463,0.01465,0.01445,0.01445,109673.8
1593961200000,0.01454,0.01495,0.01454,0.01463,606952.7
1593957600000,0.01455,0.01466,0.01451,0.01454,267516.9
1593954000000,0.01448,0.01462,0.01446,0.01451,170833.0
1593950400000,0.01446,0.01453,0.01445,0.0145,120202.0
1593946800000,0.0145,0.0145,0.01445,0.01449,104462.9
1593943200000,0.01459,0.01459,0.01443,0.01443,475349.3
1593939600000,0.01468,0.01473,0.01461,0.01461,90416.0
1593936000000,0.0147,0.0147,0.0147,0.0147,432.8
1593932400000,0.01468,0.01487,0.01464,0.01469,119008.3
1593928800000,0.0147,0.01471,0.01465,0.01465,181308.7
1593925200000,0.01483,0.01485,0.01463,0.01463,663336.7
1593921600000,0.01485,0.01488,0.0148,0.01488,50795.8
1593918000000,0.01481,0.01495,0.01481,0.01485,59447.3
1593914400000,0.01469,0.01482,0.01469,0.01482,83735.0
1593910800000,0.01475,0.01482,0.01467,0.01467,140559.8
1593907200000,0.01474,0.01484,0.01474,0.01475,69495.3
1593903600000,0.01469,0.01482,0.01469,0.01475,69651.5
1593900000000,0.01478,0.01481,0.01457,0.01467,184960.2
1593896400000,0.0148,0.0148,0.01478,0.01478,4069.2
1593892800000,0.01473,0.01477,0.01469,0.01475,126230.4
1593889200000,0.01471,0.01477,0.01463,0.01469,101126.3
1593885600000,0.01476,0.01476,0.01456,0.01471,52390.8
1593882000000,0.01469,0.01479,0.01469,0.01477,62378.2
1593878400000,0.01458,0.01477,0.01458,0.01469,101251.1
1593874800000,0.01459,0.01464,0.01453,0.01456,63619.6
1593871200000,0.01459,0.01464,0.01453,0.01462,74100.4
1593867600000,0.01469,0.01469,0.0146,0.01461,18533.1
1593864000000,0.01456,0.01467,0.0145,0.01467,72627.2
1593860400000,0.0146,0.01466,0.01442,0.01456,518138.4
1593856800000,0.0147,0.01475,0.01452,0.01466,229769.7
1593853200000,0.0147,0.01475,0.01469,0.01472,28632.9
1593849600000,0.0146,0.01473,0.01444,0.01469,188540.3
1593846000000,0.01459,0.01459,0.01448,0.0145,95129.7
1593842400000,0.01455,0.01464,0.01452,0.01454,172961.9
1593838800000,0.01458,0.01467,0.01457,0.01458,49840.3
1593835200000,0.0146,0.0146,0.0144,0.01458,194949.3
1593831600000,0.01456,0.01468,0.01455,0.01467,13779.1
1593828000000,0.01472,0.01472,0.01452,0.01456,337903.2
1593824400000,0.01475,0.01475,0.01475,0.01475,18000.0
1593820800000,0.01481,0.01482,0.01472,0.01482,66077.8
1593817200000,0.01475,0.01489,0.01473,0.01474,222821.9
1593813600000,0.0148,0.0148,0.01475,0.01475,13544.9
1593810000000,0.01484,0.01492,0.01482,0.01482,278977.5
1593806400000,0.01482,0.01492,0.01482,0.01492,247853.9
1593802800000,0.01482,0.01482,0.01482,0.01482,315608.3
1593799200000,0.01483,0.01484,0.01482,0.01483,133054.4
1593795600000,0.01483,0.01483,0.01483,0.01483,9465.8
1593792000000,0.01485,0.01489,0.01485,0.01489,10774.8
1593788400000,0.01489,0.01498,0.01472,0.01484,257360.8
1593784800000,0.0149,0.01498,0.0149,0.01498,87564.9
1593781200000,0.01501,0.01507,0.0149,0.0149,253072.7
1593777600000,0.01503,0.01525,0.01501,0.01511,240319.9
1593774000000,0.01514,0.01525,0.01501,0.01506,448491.6
1593770400000,0.01489,0.01523,0.01489,0.01514,227290.8
1593766800000,0.015,0.01538,0.01487,0.01487,695641.1
1593763200000,0.01499,0.01508,0.01485,0.01501,363487.7
1593759600000,0.01462,0.01532,0.01452,0.015,2647787.4
1593756000000,0.01459,0.01474,0.01445,0.01474,538462.4
1593752400000,0.01451,0.01456,0.01446,0.01449,33349.7
1593748800000,0.01447,0.0146,0.01445,0.0146,152471.0
1593745200000,0.01455,0.01464,0.01443,0.01447,379837.8
1593741600000,0.01458,0.01466,0.01458,0.01466,73610.1
1593738000000,0.01458,0.01462,0.01454,0.01459,87207.2
1593734400000,0.0146,0.01469,0.01452,0.01458,52521.3
1593730800000,0.01463,0.0147,0.01459,0.0146,28598.4
1593727200000,0.01454,0.01465,0.01453,0.01465,15001.6
1593723600000,0.01452,0.01468,0.01448,0.01468,45051.1
1593720000000,0.01456,0.01456,0.01448,0.01454,37610.5
1593716400000,0.01452,0.01466,0.01451,0.01461,130170.3
1593712800000,0.01454,0.01464,0.01442,0.01462,112149.6
1593709200000,0.01435,0.01447,0.01426,0.01443,44783.8
1593705600000,0.01455,0.01455,0.01405,0.01424,388803.6
1593702000000,0.01502,0.01502,0.01418,0.01455,2196648.7
1593698400000,0.01512,0.01516,0.01477,0.01505,813658.4
1593694800000,0.01523,0.01535,0.01496,0.01498,1647174.8
1593691200000,0.01447,0.01602,0.01447,0.01523,6374868.7
1593687600000,0.01434,0.01447,0.01434,0.01447,51310.1
1593684000000,0.01438,0.01448,0.01435,0.01435,90659.2
1593680400000,0.01429,0.01445,0.01426,0.01438,69193.6
1593676800000,0.01444,0.01448,0.01429,0.01429,133988.8
1593673200000,0.01431,0.01445,0.0143,0.01445,153301.8
1593669600000,0.01431,0.01433,0.01423,0.01433,92565.1
1593666000000,0.01433,0.01438,0.01433,0.01435,119223.8
1593662400000,0.01433,0.01433,0.01433,0.01433,1979.6
1593658800000,0.01435,0.01436,0.01424,0.01433,13683.6
1593655200000,0.01426,0.01426,0.01426,0.01426,7000.0
