date,open,high,low,close,volume
1594022400000,0.2071,0.2094,0.2055,0.2069,54794.79
1594018800000,0.2069,0.2079,0.2059,0.207,12421.41
1594015200000,0.2019,0.2069,0.2017,0.206,67173.37
1594011600000,0.2019,0.202,0.2015,0.2019,3927.6
1594008000000,0.2021,0.2021,0.2014,0.2019,3486.5
1594004400000,0.2023,0.2031,0.2011,0.2016,27184.0
1594000800000,0.2006,0.2022,0.2006,0.2018,18518.09
1593997200000,0.2012,0.2021,0.2,0.2006,11384.24
1593993600000,0.2007,0.2017,0.2005,0.2006,22721.75
1593990000000,0.1995,0.2014,0.1994,0.2014,17565.83
1593986400000,0.1994,0.1995,0.1984,0.1995,65921.64
1593982800000,0.2001,0.2003,0.196,0.1992,58036.4
1593979200000,0.2013,0.2014,0.198,0.1992,84471.14
1593975600000,0.2019,0.202,0.2001,0.2014,27900.56
1593972000000,0.201,0.2018,0.2004,0.2018,4490.13
1593968400000,0.2006,0.2015,0.2,0.2014,8152.01
1593964800000,0.2006,0.2017,0.1999,0.2007,17212.99
1593961200000,0.2016,0.2021,0.2002,0.2006,5432.81
1593957600000,0.2013,0.2022,0.1994,0.2002,33959.56
1593954000000,0.2031,0.2053,0.2013,0.2023,19661.45
1593950400000,0.2033,0.204,0.2016,0.2031,14974.05
1593946800000,0.2044,0.2047,0.2031,0.2033,5831.71
1593943200000,0.202,0.205,0.202,0.2045,36436.8
1593939600000,0.2055,0.2064,0.2018,0.2024,31766.51
1593936000000,0.2053,0.2064,0.205,0.2056,9182.86
1593932400000,0.2058,0.2064,0.2051,0.2059,4518.93
1593928800000,0.2053,0.2071,0.2044,0.2058,24875.02
1593925200000,0.2064,0.207,0.2053,0.2053,20296.07
1593921600000,0.2068,0.2071,0.2058,0.2065,8497.11
1593918000000,0.2069,0.2073,0.2058,0.2068,4810.73
1593914400000,0.2073,0.2078,0.2067,0.2069,1818.25
1593910800000,0.2095,0.2099,0.2063,0.2073,50539.99
1593907200000,0.2097,0.2099,0.2095,0.2096,10322.38
1593903600000,0.2096,0.2099,0.2095,0.2097,2850.4
1593900000000,0.2089,0.2099,0.2089,0.2096,20711.22
1593896400000,0.2087,0.2093,0.2084,0.2089,3793.97
1593892800000,0.2087,0.2088,0.2086,0.2086,1692.41
1593889200000,0.2088,0.2088,0.2078,0.2087,18526.54
1593885600000,0.2086,0.2099,0.2073,0.2088,41345.07
1593882000000,0.2079,0.209,0.2062,0.2085,73065.15
1593878400000,0.205,0.2088,0.205,0.208,20071.75
1593874800000,0.2052,0.2053,0.2044,0.205,13280.79
1593871200000,0.2067,0.2067,0.2044,0.2053,24204.15
1593867600000,0.2052,0.2064,0.2044,0.2064,16369.39
1593864000000,0.2059,0.2059,0.2044,0.2045,8607.25
1593860400000,0.2068,0.2069,0.2039,0.2062,105905.31
1593856800000,0.21,0.2114,0.2065,0.2068,69703.36
1593853200000,0.2075,0.2107,0.2067,0.2099,93479.44
1593849600000,0.2079,0.2094,0.2068,0.2084,49627.53
1593846000000,0.2081,0.2086,0.2073,0.2075,12527.86
1593842400000,0.2083,0.2088,0.2072,0.208,9788.25
1593838800000,0.2076,0.2089,0.2072,0.2089,17807.72
1593835200000,0.2078,0.2083,0.2074,0.2075,8043.38
1593831600000,0.2079,0.2083,0.2072,0.2078,3952.71
1593828000000,0.2079,0.2085,0.2074,0.2079,8397.77
1593824400000,0.2079,0.2083,0.2073,0.208,3635.16
1593820800000,0.2078,0.2087,0.2069,0.2079,6168.35
1593817200000,0.2093,0.2095,0.2071,0.2078,40192.63
1593813600000,0.2123,0.2123,0.2094,0.2094,51168.89
1593810000000,0.2103,0.2122,0.2094,0.2122,44294.92
1593806400000,0.21,0.2108,0.2093,0.2095,18278.32
1593802800000,0.2105,0.2112,0.2094,0.2098,6781.31
1593799200000,0.2125,0.219,0.2094,0.2105,204328.58
1593795600000,0.2107,0.2133,0.2104,0.2125,20035.06
1593792000000,0.2111,0.2115,0.2105,0.2108,8913.97
1593788400000,0.2131,0.2131,0.21,0.211,39642.19
1593784800000,0.2144,0.2164,0.212,0.2131,30261.13
1593781200000,0.2143,0.216,0.2143,0.2147,39037.96
1593777600000,0.2118,0.215,0.2116,0.215,48478.65
1593774000000,0.2119,0.212,0.21,0.2117,73183.96
1593770400000,0.2155,0.22,0.2113,0.212,270384.8
1593766800000,0.2135,0.2167,0.2135,0.2155,20964.38
1593763200000,0.2131,0.2145,0.2126,0.2143,79312.66
1593759600000,0.2141,0.2179,0.2125,0.213,62639.6
1593756000000,0.2133,0.2143,0.2125,0.2136,56807.81
1593752400000,0.2088,0.2138,0.2088,0.2135,38246.16
1593748800000,0.2113,0.2113,0.2084,0.2088,28803.05
1593745200000,0.2101,0.2135,0.2095,0.211,38326.8
1593741600000,0.2156,0.2193,0.2091,0.2101,250329.42
1593738000000,0.2061,0.2148,0.2051,0.2148,71703.67
1593734400000,0.2062,0.2062,0.2054,0.2061,6143.55
1593730800000,0.2059,0.2065,0.2055,0.2061,8646.9
1593727200000,0.2056,0.2065,0.2054,0.2059,7299.72
1593723600000,0.2059,0.2061,0.2051,0.206,11563.61
1593720000000,0.207,0.207,0.205,0.206,10802.2
1593716400000,0.2044,0.2083,0.2043,0.2063,56695.42
1593712800000,0.2067,0.208,0.2044,0.205,10618.63
1593709200000,0.1964,0.2426,0.1964,0.2079,774384.53
1593705600000,0.1998,0.1998,0.1934,0.1964,191474.96
1593702000000,0.2065,0.207,0.2001,0.2001,244679.17
1593698400000,0.2084,0.2155,0.2065,0.207,137799.38
1593694800000,0.2057,0.2087,0.2055,0.2082,32559.95
1593691200000,0.2045,0.2066,0.204,0.2056,33449.79
1593687600000,0.2041,0.2056,0.2038,0.2045,26650.25
1593684000000,0.2029,0.211,0.2014,0.2033,84361.18
1593680400000,0.2002,0.2099,0.2002,0.2025,150934.55
1593676800000,0.2002,0.2008,0.1995,0.2001,29041.43
1593673200000,0.199,0.2013,0.1981,0.1998,11992.37
1593669600000,0.1996,0.2002,0.1986,0.1993,27590.12
1593666000000,0.2023,0.2027,0.1998,0.2002,24080.58
1593662400000,0.2031,0.2034,0.202,0.2033,19036.62
1593658800000,0.2025,0.2032,0.2025,0.2029,3026.92
1593655200000,0.1998,0.2033,0.1997,0.2024,51442.68
1593651600000,0.1993,0.2002,0.1992,0.1998,3901.36
1593648000000,0.1996,0.2002,0.1992,0.1993,14560.19
1593644400000,0.1993,0.2,0.1993,0.1996,3412.85
1593640800000,0.1996,0.2001,0.1989,0.1992,6286.5
1593637200000,0.1985,0.2001,0.198,0.1997,15921.77
1593633600000,0.1991,0.2009,0.1984,0.199,13175.09
1593630000000,0.2004,0.2009,0.1996,0.2004,3578.54
1593626400000,0.2016,0.202,0.1991,0.2001,8193.39
1593622800000,0.2009,0.2019,0.2008,0.2017,1800.28
1593619200000,0.202,0.202,0.2001,0.2008,12054.82
1593615600000,0.2009,0.202,0.2005,0.2011,17111.23
1593612000000,0.1992,0.2016,0.199,0.201,33179.7
1593608400000,0.1981,0.2002,0.198,0.1991,19451.94
1593604800000,0.1981,0.1996,0.1978,0.1993,18972.92
1593601200000,0.1973,0.1987,0.1965,0.1981,3385.25
1593597600000,0.1968,0.198,0.1958,0.1973,17781.46
1593594000000,0.1969,0.1979,0.196,0.1976,13816.24
1593590400000,0.1945,0.1978,0.1945,0.1969,21928.8
1593586800000,0.1941,0.1948,0.1941,0.1945,2265.61
1593583200000,0.195,0.1951,0.1942,0.1942,13338.66
1593579600000,0.1955,0.1956,0.1949,0.195,9357.43
1593576000000,0.195,0.1966,0.1949,0.1953,12389.52
1593572400000,0.1949,0.1958,0.1949,0.195,5342.1
1593568800000,0.1941,0.1955,0.1939,0.1948,1349.27
1593565200000,0.1951,0.1958,0.1935,0.194,9500.33
1593561600000,0.1957,0.1963,0.195,0.195,16857.86
1593558000000,0.1961,0.1967,0.1959,0.1963,4948.84
1593554400000,0.1965,0.1965,0.1959,0.1961,2992.23
1593550800000,0.1963,0.1964,0.1961,0.1964,1736.16
1593547200000,0.1957,0.1968,0.1951,0.1951,15134.17
1593543600000,0.1953,0.1959,0.1952,0.1959,5324.77
1593540000000,0.1956,0.196,0.1948,0.1956,12989.01
1593536400000,0.1966,0.1966,0.1948,0.1956,6547.11
1593532800000,0.1968,0.1973,0.1962,0.1966,3543.67
1593529200000,0.1965,0.1973,0.1957,0.196,2967.05
1593525600000,0.1956,0.1974,0.195,0.1964,30917.55
1593522000000,0.1955,0.1963,0.1938,0.1963,32088.92
1593518400000,0.1969,0.1975,0.1951,0.1954,14361.06
1593514800000,0.198,0.1981,0.1953,0.1965,31456.37
1593511200000,0.1983,0.1986,0.197,0.198,2860.07
1593507600000,0.1978,0.199,0.1954,0.1983,60512.61
1593504000000,0.1965,0.1981,0.1965,0.1978,24649.19
1593500400000,0.1962,0.1972,0.1954,0.1964,14979.05
1593496800000,0.1969,0.1976,0.1953,0.1962,23777.45
1593493200000,0.1987,0.1987,0.1959,0.197,33320.54
1593489600000,0.1986,0.199,0.1983,0.1985,7493.45
1593486000000,0.1985,0.199,0.1983,0.1985,5299.31
1593482400000,0.1985,0.1989,0.1985,0.1986,5740.31
1593478800000,0.1984,0.1991,0.1982,0.1984,5010.53
1593475200000,0.1976,0.1992,0.1976,0.1984,5721.34
1593471600000,0.1974,0.1984,0.1968,0.1976,7989.01
1593468000000,0.1986,0.2019,0.1973,0.1978,73352.03
1593464400000,0.1978,0.1991,0.1957,0.1986,44453.24
1593460800000,0.1985,0.1985,0.1973,0.1978,2336.22
1593457200000,0.1966,0.1986,0.1962,0.1982,16299.38
1593453600000,0.1978,0.1979,0.1951,0.1972,10661.47
1593450000000,0.1965,0.1977,0.1959,0.1977,11797.01
1593446400000,0.1964,0.1973,0.196,0.1965,7445.95
1593442800000,0.1954,0.1972,0.1954,0.197,20288.18
1593439200000,0.1942,0.1958,0.1935,0.1958,27212.17
1593435600000,0.1984,0.1984,0.192,0.1932,34812.98
1593432000000,0.1975,0.1995,0.1965,0.1977,48915.71
1593428400000,0.1992,0.1995,0.1675,0.1978,238617.93
1593424800000,0.2008,0.2009,0.1984,0.1992,47465.75
1593421200000,0.2006,0.2009,0.2006,0.2008,11826.73
1593417600000,0.2019,0.2019,0.1995,0.2006,5445.1
1593414000000,0.2014,0.2034,0.2008,0.2019,34086.58
1593410400000,0.2025,0.2033,0.2015,0.2015,15388.82
1593406800000,0.2018,0.2037,0.2017,0.2027,5143.66
1593403200000,0.2016,0.2028,0.201,0.2028,2933.79
1593399600000,0.2039,0.204,0.2,0.2018,7928.37
1593396000000,0.2047,0.2052,0.2037,0.2039,4415.61
1593392400000,0.2042,0.2058,0.2041,0.2047,6400.43
1593388800000,0.2034,0.209,0.2023,0.2042,35451.48
1593385200000,0.1993,0.2036,0.199,0.2033,30936.87
1593381600000,0.1991,0.1997,0.1987,0.1993,2620.75
1593378000000,0.1988,0.2,0.1971,0.1993,30395.57
1593374400000,0.1991,0.2005,0.1982,0.1988,29772.67
1593370800000,0.1993,0.2005,0.1985,0.1985,8704.45
1593367200000,0.1993,0.2005,0.1987,0.1993,29218.74
1593363600000,0.2007,0.2007,0.1995,0.2002,12329.45
1593360000000,0.2018,0.2018,0.1996,0.2008,67449.79
1593356400000,0.2041,0.2041,0.201,0.2017,28883.65
1593352800000,0.1996,0.2087,0.1996,0.2041,93375.07
1593349200000,0.1968,0.2074,0.1968,0.1989,110342.16
1593345600000,0.1977,0.1987,0.1953,0.1965,31743.35
1593342000000,0.1969,0.1979,0.1967,0.1972,25102.58
1593338400000,0.1972,0.1982,0.1961,0.1971,7187.85
1593334800000,0.1957,0.198,0.1957,0.1971,28601.12
1593331200000,0.1934,0.197,0.1927,0.1957,21372.86
1593327600000,0.1926,0.1946,0.1918,0.1934,12606.89
1593324000000,0.1889,0.1927,0.1885,0.1927,45026.02
1593320400000,0.1901,0.1916,0.1871,0.1887,65799.02
1593306000000,0.1894,0.1898,0.1879,0.1898,32417.76
1593302400000,0.1915,0.1919,0.1878,0.1894,45651.38
1593298800000,0.1944,0.196,0.1915,0.1915,100717.41
1593295200000,0.1955,0.1961,0.1935,0.1944,45012.99
1593291600000,0.1927,0.1976,0.1916,0.1956,38025.62
1593288000000,0.1846,0.1982,0.1835,0.1927,147022.7
1593284400000,0.1956,0.196,0.182,0.1846,236529.15
1593280800000,0.1955,0.1964,0.1935,0.1956,77144.39
1593277200000,0.1987,0.2003,0.1956,0.1956,168287.34
1593273600000,0.2076,0.2076,0.1952,0.1996,138112.85
1593270000000,0.2074,0.2088,0.2069,0.2069,46878.09
1593266400000,0.206,0.2074,0.2054,0.207,57145.36
1593262800000,0.2067,0.2068,0.2037,0.206,58376.28
1593259200000,0.2077,0.2079,0.2063,0.2067,22505.28
1593255600000,0.2066,0.2079,0.2063,0.2063,17130.83
1593252000000,0.2095,0.2096,0.2066,0.2075,44407.3
1593248400000,0.2101,0.2108,0.2086,0.2094,15819.12
1593244800000,0.2103,0.2111,0.2093,0.2101,10947.09
1593241200000,0.2092,0.2108,0.2089,0.2103,27363.91
1593237600000,0.2089,0.2096,0.2087,0.2092,8706.62
1593234000000,0.2076,0.2091,0.2072,0.2089,25518.64
