date,open,high,low,close,volume
1593993600000,1.116,1.1383,1.1139,1.1383,87384.97
1593907200000,1.1305,1.1309,1.1001,1.116,202686.56
1593820800000,1.119,1.134,1.0989,1.1305,143131.31
1593734400000,1.1289,1.1359,1.12,1.121,150254.82
1593648000000,1.1531,1.1875,1.1121,1.1258,772563.92
1593561600000,1.1212,1.1659,1.1156,1.1515,199224.25
1593475200000,1.144,1.145,1.1177,1.12,148610.14
1593388800000,1.1346,1.1498,1.1139,1.141,269004.63
1593302400000,1.1133,1.1395,1.1006,1.1339,185962.93
1593216000000,1.1542,1.1895,1.0701,1.1133,448811.69
1593129600000,1.1835,1.1835,1.1497,1.1542,354616.04
1593043200000,1.1845,1.191,1.15,1.1848,438687.52
1592956800000,1.239,1.2475,1.1615,1.1849,548775.31
1592870400000,1.228,1.263,1.2264,1.239,416893.36
1592784000000,1.2016,1.2348,1.1997,1.2258,360704.38
1592697600000,1.2024,1.2275,1.1961,1.1997,287048.23
1592611200000,1.2151,1.2328,1.1799,1.2023,422293.07
1592524800000,1.2335,1.2513,1.2005,1.2151,337658.23
1592438400000,1.2609,1.2646,1.214,1.2375,433993.44
1592352000000,1.2561,1.2924,1.212,1.2609,760729.36
1592265600000,1.1671,1.2999,1.161,1.2563,2548664.71
1592179200000,1.1751,1.1853,1.0912,1.1659,779627.52
1592092800000,1.2475,1.2571,1.1622,1.1748,473525.48
1592006400000,1.2121,1.261,1.1832,1.2489,628653.9
1591920000000,1.1312,1.2122,1.13,1.2103,544268.08
1591833600000,1.2433,1.2952,1.1,1.1335,1639581.6
1591747200000,1.1722,1.3197,1.168,1.2423,3169835.38
1591660800000,1.1852,1.1869,1.1576,1.1721,438412.21
1591574400000,1.1442,1.21,1.1348,1.1852,1350029.76
1591488000000,1.1487,1.1585,1.1131,1.1443,564304.66
1591401600000,1.1303,1.1918,1.1155,1.1487,1663412.96
1591315200000,1.1261,1.155,1.1173,1.1305,767613.45
1591228800000,1.1178,1.167,1.105,1.1256,862008.64
1591142400000,1.1182,1.1229,1.0924,1.1176,555258.14
1591056000000,1.1485,1.1579,1.058,1.118,927716.97
1590969600000,1.0922,1.1564,1.0901,1.1485,891661.4
1590883200000,1.1145,1.1344,1.0861,1.0945,710065.99
1590796800000,1.0861,1.1346,1.0762,1.1137,904922.98
1590710400000,1.0875,1.1099,1.055,1.0859,535076.94
1590624000000,1.065,1.094,1.0556,1.087,398456.91
1590537600000,1.0661,1.0872,1.0488,1.0653,776355.23
1590451200000,1.0576,1.1463,1.0438,1.0645,2775140.27
1590364800000,1.0103,1.0713,1.0056,1.0576,880167.06
1590278400000,1.0724,1.098,1.0108,1.0117,1013676.19
1590192000000,1.0693,1.1,1.0306,1.0699,913502.99
1590105600000,1.0177,1.088,1.003,1.0665,1036120.15
1590019200000,1.054,1.1653,0.9925,1.0167,2375379.45
1589932800000,1.0615,1.083,1.0309,1.0542,696417.01
1589846400000,1.0639,1.07,1.0385,1.0615,424002.04
1589760000000,1.051,1.075,1.041,1.0638,413610.6
1589673600000,1.0299,1.0936,1.0236,1.0497,651974.28
1589587200000,1.0287,1.0462,1.0144,1.0299,387524.1
1589500800000,1.0469,1.0631,1.0101,1.0298,655761.34
1589414400000,1.0614,1.0799,1.0391,1.0461,825120.63
1589328000000,1.0705,1.175,1.0512,1.06,4273422.92
1589241600000,0.9287,1.1165,0.9275,1.0699,3896486.23
1589155200000,0.9577,0.9765,0.895,0.931,980803.03
1589068800000,1.0406,1.0406,0.9,0.9552,1370450.56
1588982400000,1.0551,1.0683,1.0403,1.0406,401525.14
1588896000000,1.0424,1.0765,1.0114,1.0551,858559.36
1588809600000,1.0232,1.0627,1.0115,1.0444,766009.92
1588723200000,1.049,1.0584,1.02,1.024,529173.68
1588636800000,1.06,1.0685,1.0277,1.0517,737162.03
1588550400000,1.063,1.1062,1.0054,1.06,1238084.99
1588464000000,1.0897,1.0967,1.0493,1.0624,882692.29
1588377600000,1.0747,1.0913,1.0669,1.0884,487065.58
1588291200000,1.0513,1.0924,1.051,1.0751,623085.13
1588204800000,1.0989,1.145,1.0492,1.0552,1401511.78
1588118400000,1.0544,1.1433,1.0541,1.099,1876720.72
1588032000000,1.055,1.085,1.0385,1.0534,1374085.56
1587945600000,1.0541,1.199,1.0269,1.055,5614348.52
1587859200000,1.022,1.0552,1.0139,1.0522,1421971.79
1587772800000,1.012,1.034,1.0025,1.0221,1227625.47
1587686400000,1.014,1.0293,0.9961,1.0107,1093813.91
1587600000000,0.9983,1.042,0.9761,1.0074,1206331.77
1587513600000,0.9639,0.9987,0.961,0.998,592704.65
1587427200000,0.9711,0.9842,0.9454,0.9639,452637.85
1587340800000,1.0111,1.0469,0.9554,0.9731,587065.44
1587254400000,1.0411,1.0424,1.01,1.0138,506379.72
