date,open,high,low,close,volume
1594022400000,1.1273,1.135,1.1264,1.135,12901.05
1594018800000,1.1319,1.135,1.1247,1.1291,20269.9
1594015200000,1.1246,1.133,1.1194,1.1282,24298.96
1594011600000,1.12,1.1251,1.1195,1.124,7959.8
1594008000000,1.1184,1.1191,1.1174,1.1191,5246.07
1594004400000,1.118,1.1181,1.1179,1.1181,1794.96
1594000800000,1.1162,1.1201,1.1162,1.1178,4198.78
1593997200000,1.1143,1.1155,1.1139,1.1155,3746.85
1593993600000,1.116,1.1162,1.114,1.1144,5737.17
1593990000000,1.1131,1.1184,1.1116,1.116,3315.64
1593986400000,1.1084,1.1156,1.1073,1.1129,5213.04
1593982800000,1.11,1.1158,1.1001,1.1084,19931.76
1593979200000,1.1122,1.1146,1.1101,1.1121,4659.57
1593975600000,1.1122,1.1164,1.112,1.112,4447.12
1593972000000,1.1116,1.1141,1.111,1.1141,8110.87
1593968400000,1.1109,1.1133,1.1096,1.1102,4100.31
1593964800000,1.1087,1.112,1.1087,1.1091,7237.2
1593961200000,1.1117,1.1167,1.1086,1.1086,9259.89
1593957600000,1.11,1.1141,1.1072,1.1116,10795.6
1593954000000,1.1135,1.1135,1.11,1.11,947.63
1593950400000,1.113,1.1135,1.11,1.1135,6122.48
1593946800000,1.1141,1.1143,1.113,1.113,8615.61
1593943200000,1.1137,1.1162,1.1098,1.1139,28688.74
1593939600000,1.1183,1.1209,1.1087,1.1136,14052.34
1593936000000,1.1187,1.1219,1.1181,1.1215,3088.38
1593932400000,1.1204,1.1253,1.1181,1.1194,17477.14
1593928800000,1.1214,1.1214,1.119,1.1204,4625.0
1593925200000,1.1233,1.1264,1.1201,1.1232,12536.78
1593921600000,1.1243,1.1243,1.1205,1.1233,6402.8
1593918000000,1.1275,1.1287,1.12,1.123,12732.15
1593914400000,1.1288,1.1304,1.1279,1.1287,2210.37
1593910800000,1.1309,1.1309,1.1292,1.13,5605.55
1593907200000,1.1305,1.1309,1.1297,1.1297,2510.59
1593903600000,1.1309,1.1309,1.1289,1.1305,1570.86
1593900000000,1.1317,1.1329,1.1293,1.1301,1949.33
1593896400000,1.1309,1.134,1.1297,1.1298,4358.16
1593892800000,1.1295,1.1308,1.1285,1.1308,4267.32
1593889200000,1.1307,1.1307,1.1274,1.1295,2120.01
1593885600000,1.1305,1.1333,1.1298,1.13,9825.11
1593882000000,1.1233,1.1313,1.1187,1.1271,15552.43
1593878400000,1.1194,1.1229,1.1176,1.1211,9495.41
1593874800000,1.116,1.1188,1.116,1.1175,2374.57
1593871200000,1.1197,1.1197,1.1153,1.1153,2942.06
1593867600000,1.119,1.1208,1.1161,1.1202,2731.59
1593864000000,1.1205,1.1222,1.1181,1.12,3364.37
1593860400000,1.1174,1.1227,1.0989,1.1205,37269.2
1593856800000,1.1221,1.1227,1.1174,1.1174,6767.21
1593853200000,1.1217,1.1239,1.1209,1.1209,3726.9
1593849600000,1.1236,1.1259,1.1217,1.1243,2513.76
1593846000000,1.1255,1.127,1.122,1.1264,5305.71
1593842400000,1.1295,1.1295,1.1237,1.1255,2710.26
1593838800000,1.1273,1.1308,1.1255,1.1297,2970.2
1593835200000,1.1281,1.13,1.1261,1.127,2801.71
1593831600000,1.1305,1.1305,1.1277,1.1281,1585.59
1593828000000,1.1254,1.132,1.1254,1.1317,3657.32
1593824400000,1.1222,1.1273,1.1222,1.1253,6172.51
1593820800000,1.119,1.1265,1.117,1.1265,7099.72
1593817200000,1.1259,1.1259,1.12,1.121,7756.05
1593813600000,1.1286,1.1289,1.1264,1.128,6270.48
1593810000000,1.1297,1.1299,1.125,1.1288,4506.25
1593806400000,1.1272,1.1295,1.1249,1.1295,2290.73
1593802800000,1.128,1.128,1.1242,1.126,8892.42
1593799200000,1.1296,1.1297,1.127,1.128,5590.71
1593795600000,1.132,1.132,1.127,1.1284,6305.84
1593792000000,1.1307,1.1327,1.1274,1.132,14430.67
1593788400000,1.1302,1.133,1.1302,1.133,9658.31
1593784800000,1.1317,1.1332,1.128,1.1286,9503.76
1593781200000,1.1327,1.1329,1.1317,1.1317,1020.66
1593777600000,1.1298,1.1359,1.1288,1.1317,4688.95
1593774000000,1.1307,1.1308,1.1215,1.1298,11793.6
1593770400000,1.1293,1.1296,1.1268,1.129,2967.67
1593766800000,1.1302,1.1312,1.1258,1.1296,3559.9
1593763200000,1.1296,1.1325,1.1277,1.1301,13283.15
1593759600000,1.1296,1.1322,1.1271,1.1287,6254.75
1593756000000,1.1281,1.1297,1.1273,1.1295,2391.61
1593752400000,1.1297,1.1306,1.1261,1.1286,13822.21
1593748800000,1.1296,1.1296,1.127,1.129,2270.26
1593745200000,1.1322,1.1322,1.1282,1.1293,213.06
1593741600000,1.1332,1.1339,1.1317,1.1332,1584.63
1593738000000,1.1303,1.1343,1.1302,1.1343,2528.41
