date,open,high,low,close,volume
1594022400000,7.36e-05,7.36e-05,7.34e-05,7.35e-05,177452378.0
1594018800000,7.35e-05,7.38e-05,7.34e-05,7.35e-05,629686596.0
1594015200000,7.29e-05,7.36e-05,7.28e-05,7.35e-05,674618682.0
1594011600000,7.27e-05,7.3e-05,7.26e-05,7.29e-05,243484268.0
1594008000000,7.31e-05,7.31e-05,7.27e-05,7.28e-05,172911809.0
1594004400000,7.31e-05,7.31e-05,7.26e-05,7.3e-05,324068931.0
1594000800000,7.29e-05,7.32e-05,7.27e-05,7.31e-05,269704049.0
1593997200000,7.31e-05,7.33e-05,7.25e-05,7.29e-05,446843442.0
1593993600000,7.29e-05,7.34e-05,7.29e-05,7.31e-05,282977449.0
1593990000000,7.29e-05,7.31e-05,7.25e-05,7.29e-05,380918210.0
1593986400000,7.26e-05,7.31e-05,7.26e-05,7.29e-05,403284491.0
1593982800000,7.29e-05,7.3e-05,7.21e-05,7.26e-05,542944949.0
1593979200000,7.28e-05,7.3e-05,7.26e-05,7.29e-05,279958054.0
1593975600000,7.29e-05,7.31e-05,7.26e-05,7.28e-05,329907657.0
1593972000000,7.28e-05,7.3e-05,7.26e-05,7.29e-05,269803329.0
1593968400000,7.27e-05,7.3e-05,7.24e-05,7.28e-05,441587444.0
1593964800000,7.27e-05,7.31e-05,7.25e-05,7.28e-05,393828669.0
1593961200000,7.27e-05,7.29e-05,7.26e-05,7.26e-05,405493083.0
1593957600000,7.31e-05,7.31e-05,7.23e-05,7.27e-05,524442524.0
1593954000000,7.31e-05,7.33e-05,7.29e-05,7.3e-05,417293434.0
1593950400000,7.26e-05,7.32e-05,7.25e-05,7.31e-05,620598174.0
1593946800000,7.27e-05,7.28e-05,7.23e-05,7.25e-05,734208877.0
1593943200000,7.26e-05,7.31e-05,7.25e-05,7.27e-05,514862597.0
1593939600000,7.32e-05,7.35e-05,7.25e-05,7.26e-05,472482377.0
1593936000000,7.28e-05,7.33e-05,7.28e-05,7.32e-05,422188243.0
1593932400000,7.32e-05,7.34e-05,7.27e-05,7.29e-05,342987040.0
1593928800000,7.33e-05,7.35e-05,7.32e-05,7.33e-05,348199059.0
1593925200000,7.36e-05,7.38e-05,7.31e-05,7.32e-05,341862346.0
1593921600000,7.37e-05,7.38e-05,7.36e-05,7.36e-05,179086086.0
1593918000000,7.34e-05,7.39e-05,7.31e-05,7.36e-05,168422769.0
1593914400000,7.34e-05,7.38e-05,7.3e-05,7.34e-05,276494803.0
1593910800000,7.39e-05,7.39e-05,7.32e-05,7.34e-05,566895581.0
1593907200000,7.3e-05,7.4e-05,7.29e-05,7.39e-05,384248122.0
1593903600000,7.32e-05,7.33e-05,7.29e-05,7.3e-05,315485916.0
1593900000000,7.32e-05,7.36e-05,7.29e-05,7.33e-05,361682692.0
1593896400000,7.31e-05,7.35e-05,7.29e-05,7.32e-05,311749510.0
1593892800000,7.32e-05,7.35e-05,7.29e-05,7.31e-05,245823142.0
1593889200000,7.33e-05,7.33e-05,7.29e-05,7.32e-05,275843087.0
1593885600000,7.31e-05,7.38e-05,7.28e-05,7.33e-05,365826141.0
1593882000000,7.26e-05,7.35e-05,7.25e-05,7.31e-05,416164549.0
1593878400000,7.27e-05,7.28e-05,7.25e-05,7.26e-05,206280391.0
1593874800000,7.26e-05,7.28e-05,7.25e-05,7.27e-05,290849912.0
1593871200000,7.26e-05,7.27e-05,7.24e-05,7.25e-05,328569794.0
1593867600000,7.29e-05,7.29e-05,7.24e-05,7.26e-05,196837721.0
1593864000000,7.23e-05,7.3e-05,7.23e-05,7.29e-05,406865301.0
1593860400000,7.22e-05,7.24e-05,7.21e-05,7.23e-05,198855228.0
1593856800000,7.22e-05,7.26e-05,7.21e-05,7.23e-05,316481437.0
1593853200000,7.21e-05,7.25e-05,7.19e-05,7.23e-05,316707489.0
1593849600000,7.22e-05,7.23e-05,7.2e-05,7.21e-05,266103764.0
1593846000000,7.21e-05,7.24e-05,7.21e-05,7.22e-05,328977405.0
1593842400000,7.25e-05,7.25e-05,7.2e-05,7.21e-05,267505375.0
1593838800000,7.27e-05,7.29e-05,7.13e-05,7.25e-05,471478210.0
1593835200000,7.24e-05,7.39e-05,7.24e-05,7.27e-05,335157538.0
1593831600000,7.25e-05,7.26e-05,7.22e-05,7.25e-05,291612250.0
1593828000000,7.23e-05,7.26e-05,7.22e-05,7.25e-05,294224963.0
1593824400000,7.22e-05,7.24e-05,7.2e-05,7.23e-05,258669921.0
1593820800000,7.22e-05,7.24e-05,7.2e-05,7.22e-05,331101156.0
1593817200000,7.28e-05,7.29e-05,7.18e-05,7.22e-05,435002927.0
1593813600000,7.29e-05,7.31e-05,7.26e-05,7.28e-05,340414588.0
1593810000000,7.29e-05,7.3e-05,7.27e-05,7.29e-05,181029192.0
1593806400000,7.3e-05,7.32e-05,7.26e-05,7.29e-05,279455011.0
1593802800000,7.36e-05,7.38e-05,7.27e-05,7.3e-05,569568224.0
1593799200000,7.38e-05,7.39e-05,7.32e-05,7.36e-05,273205711.0
1593795600000,7.38e-05,7.45e-05,7.36e-05,7.38e-05,320888714.0
1593792000000,7.33e-05,7.39e-05,7.32e-05,7.37e-05,236555534.0
1593788400000,7.34e-05,7.38e-05,7.28e-05,7.33e-05,324307151.0
1593784800000,7.4e-05,7.43e-05,7.28e-05,7.34e-05,395400469.0
1593781200000,7.33e-05,7.44e-05,7.32e-05,7.4e-05,453789262.0
1593777600000,7.38e-05,7.41e-05,7.3e-05,7.32e-05,406077872.0
1593774000000,7.29e-05,7.4e-05,7.29e-05,7.38e-05,370608561.0
1593770400000,7.31e-05,7.34e-05,7.26e-05,7.29e-05,374758430.0
1593766800000,7.32e-05,7.39e-05,7.28e-05,7.31e-05,478715769.0
1593763200000,7.31e-05,7.34e-05,7.29e-05,7.31e-05,342438186.0
1593759600000,7.27e-05,7.32e-05,7.23e-05,7.29e-05,410380432.0
1593756000000,7.28e-05,7.29e-05,7.24e-05,7.27e-05,410090659.0
1593752400000,7.3e-05,7.3e-05,7.25e-05,7.28e-05,206346963.0
1593748800000,7.29e-05,7.31e-05,7.27e-05,7.3e-05,256865920.0
1593745200000,7.32e-05,7.33e-05,7.29e-05,7.29e-05,308533778.0
1593741600000,7.26e-05,7.33e-05,7.24e-05,7.32e-05,269273279.0
1593738000000,7.26e-05,7.31e-05,7.21e-05,7.26e-05,443652319.0
1593734400000,7.24e-05,7.28e-05,7.24e-05,7.26e-05,466261561.0
1593730800000,7.3e-05,7.31e-05,7.2e-05,7.24e-05,479737070.0
1593727200000,7.29e-05,7.32e-05,7.27e-05,7.3e-05,383967311.0
1593723600000,7.3e-05,7.31e-05,7.25e-05,7.29e-05,438142847.0
1593720000000,7.32e-05,7.33e-05,7.3e-05,7.3e-05,252987338.0
1593716400000,7.32e-05,7.37e-05,7.28e-05,7.32e-05,462463014.0
