date,open,high,low,close,volume
1594022400000,0.1392,0.13936,0.1386,0.13889,315532.5
1594018800000,0.14242,0.1425,0.13761,0.139,2649660.5
1594015200000,0.14499,0.1466,0.1355,0.14211,2336298.2
1594011600000,0.14486,0.146,0.14335,0.14499,638262.3
1594008000000,0.14194,0.145,0.14194,0.14486,792237.3
1594004400000,0.14331,0.144,0.14169,0.14169,222312.5
1594000800000,0.14395,0.14414,0.14191,0.1433,452509.9
1593997200000,0.14086,0.14397,0.14086,0.14384,844908.0
1593993600000,0.1408,0.1412,0.14,0.14086,257046.0
1593990000000,0.14155,0.14199,0.1393,0.14067,328933.1
1593986400000,0.14096,0.14324,0.14039,0.14158,679557.8
1593982800000,0.14296,0.1431,0.1365,0.14094,1470609.8
1593979200000,0.14184,0.144,0.14026,0.14339,1121946.9
1593975600000,0.14016,0.1437,0.13974,0.1419,1746680.8
1593972000000,0.1361,0.14139,0.13548,0.14015,1780947.8
1593968400000,0.13486,0.13644,0.1346,0.13623,223337.3
1593964800000,0.13483,0.1354,0.1341,0.13486,371676.2
1593961200000,0.1351,0.13565,0.13437,0.1345,248251.8
1593957600000,0.13559,0.13615,0.13421,0.13532,501443.2
1593954000000,0.1355,0.1372,0.13503,0.1359,315410.7
1593950400000,0.13511,0.13555,0.1341,0.13552,488049.2
1593946800000,0.13578,0.1375,0.13485,0.13511,637851.0
1593943200000,0.13499,0.136,0.1339,0.1358,887401.3
1593939600000,0.13801,0.1385,0.135,0.135,713606.1
1593936000000,0.1368,0.1389,0.1368,0.13795,775782.6
1593932400000,0.13482,0.13741,0.13461,0.1365,505035.7
1593928800000,0.13761,0.13761,0.13451,0.13478,821707.6
1593925200000,0.13829,0.13901,0.13625,0.13761,602665.7
1593921600000,0.13827,0.13851,0.13766,0.13841,287418.8
1593918000000,0.13948,0.13948,0.13824,0.13826,152343.7
1593914400000,0.13952,0.13962,0.139,0.13946,141386.7
1593910800000,0.13954,0.13963,0.13901,0.1393,76229.4
1593907200000,0.14023,0.1409,0.13932,0.13932,212820.2
1593903600000,0.14037,0.14038,0.139,0.14004,97564.5
1593900000000,0.14168,0.14168,0.14,0.14039,78148.6
1593896400000,0.13962,0.14202,0.13927,0.14145,479182.0
1593892800000,0.14106,0.1419,0.13958,0.13958,743579.2
1593889200000,0.14198,0.14199,0.13686,0.14097,1732124.1
1593885600000,0.1376,0.142,0.13729,0.1417,1571801.0
1593882000000,0.13624,0.13813,0.1356,0.13744,563578.0
1593878400000,0.13563,0.13757,0.13554,0.13609,458353.6
1593874800000,0.13792,0.13806,0.13555,0.13563,550815.4
1593871200000,0.13761,0.1388,0.13709,0.13792,379527.6
1593867600000,0.13585,0.138,0.13585,0.1376,558951.8
1593864000000,0.13515,0.13601,0.1348,0.13601,323246.3
1593860400000,0.13589,0.13812,0.13505,0.1352,735355.7
1593856800000,0.1374,0.13853,0.1348,0.136,922359.4
1593853200000,0.13386,0.14004,0.13302,0.1375,1087322.7
1593849600000,0.1345,0.13473,0.1336,0.1336,430719.7
1593846000000,0.13561,0.13561,0.13351,0.1345,491787.1
1593842400000,0.13625,0.13669,0.13535,0.13583,648871.8
1593838800000,0.13485,0.13622,0.13393,0.13622,770072.5
1593835200000,0.13601,0.13601,0.1323,0.13451,1776335.7
1593831600000,0.13632,0.13681,0.13545,0.13601,532997.8
1593828000000,0.1373,0.13772,0.13458,0.13633,1258963.3
1593824400000,0.14013,0.14044,0.13731,0.13756,678344.8
1593820800000,0.14169,0.14169,0.1401,0.14045,321051.1
1593817200000,0.14232,0.1442,0.13977,0.142,408913.2
1593813600000,0.14364,0.1445,0.1422,0.14232,383839.0
1593810000000,0.14045,0.1441,0.14023,0.14336,714577.3
1593806400000,0.14229,0.14232,0.13983,0.14047,185691.8
1593802800000,0.14161,0.14229,0.13813,0.14229,533566.9
1593799200000,0.1386,0.1416,0.1382,0.1412,500496.9
1593795600000,0.13949,0.14112,0.1382,0.1386,663949.5
1593792000000,0.14389,0.14406,0.13938,0.13976,1359600.2
1593788400000,0.14436,0.1445,0.14261,0.14343,848369.6
1593784800000,0.14347,0.1455,0.14292,0.14436,833843.1
1593781200000,0.14121,0.14379,0.14121,0.14378,580094.8
1593777600000,0.143,0.143,0.13862,0.1412,1285087.8
1593774000000,0.14242,0.1435,0.14115,0.14298,640024.7
1593770400000,0.145,0.145,0.14205,0.1423,709682.9
1593766800000,0.14492,0.14595,0.14242,0.14482,2327193.0
1593763200000,0.1443,0.149,0.1443,0.14524,2520379.5
1593759600000,0.14611,0.1466,0.14424,0.14424,1039160.3
1593756000000,0.14317,0.14749,0.14302,0.14611,2472459.3
1593752400000,0.14559,0.14559,0.14105,0.14317,1876326.5
1593748800000,0.14352,0.14615,0.14105,0.1456,2234101.6
1593745200000,0.14097,0.147,0.13954,0.1435,5196318.8
1593741600000,0.14078,0.14099,0.13817,0.14097,1594167.0
1593738000000,0.1385,0.14079,0.13616,0.14055,1090679.8
1593734400000,0.13888,0.13905,0.13644,0.1385,494794.6
1593730800000,0.13845,0.13978,0.13836,0.13904,345636.0
1593727200000,0.1351,0.14,0.13471,0.13861,3190079.4
1593723600000,0.13475,0.1351,0.1333,0.1351,349912.0
1593720000000,0.13449,0.13482,0.13292,0.13475,743091.5
1593716400000,0.13185,0.13484,0.13149,0.13419,1507234.9
1593712800000,0.13311,0.13479,0.13149,0.1315,709585.9
1593709200000,0.13053,0.135,0.12835,0.13311,1218335.8
1593705600000,0.1315,0.132,0.125,0.13053,3279275.9
1593702000000,0.13735,0.13736,0.13149,0.1315,2365506.1
1593698400000,0.13706,0.139,0.13586,0.1374,1468323.2
1593694800000,0.1366,0.13756,0.13565,0.13734,937797.3
1593691200000,0.1358,0.13666,0.13565,0.1366,697783.0
1593687600000,0.13494,0.13752,0.13487,0.13571,1030436.8
1593684000000,0.13659,0.1375,0.13435,0.13494,1467401.8
1593680400000,0.1342,0.139,0.13405,0.13659,4307601.0
1593676800000,0.1315,0.13572,0.13062,0.13405,1425616.1
1593673200000,0.13095,0.13172,0.13063,0.13148,299634.4
1593669600000,0.13146,0.13202,0.1296,0.13077,482155.6
1593666000000,0.13286,0.13304,0.13131,0.13153,429085.1
1593662400000,0.1308,0.1331,0.13009,0.13249,657408.7
1593658800000,0.12964,0.13146,0.12962,0.1309,318085.9
1593655200000,0.13294,0.13328,0.1295,0.12964,950097.7
1593651600000,0.13193,0.13412,0.13193,0.133,456440.7
1593648000000,0.13366,0.13595,0.13118,0.1317,1242981.1
1593644400000,0.13254,0.13394,0.13254,0.13358,321074.1
1593640800000,0.13334,0.13363,0.1323,0.13256,283982.8
1593637200000,0.13226,0.135,0.13203,0.13364,1810335.5
1593633600000,0.13151,0.13439,0.13136,0.1322,2139374.1
1593630000000,0.13249,0.1335,0.13,0.13151,2179967.8
1593626400000,0.12787,0.13356,0.1275,0.13248,3200961.3
1593622800000,0.12745,0.12811,0.12725,0.1275,260542.2
1593619200000,0.12679,0.12755,0.12645,0.12745,489911.9
1593615600000,0.12745,0.12777,0.12587,0.12676,324709.0
1593612000000,0.12636,0.12794,0.12566,0.12745,576165.7
1593608400000,0.12701,0.12752,0.12599,0.12601,318359.2
1593604800000,0.12635,0.12759,0.12613,0.12679,358150.6
1593601200000,0.12599,0.12669,0.12504,0.12636,232220.4
1593597600000,0.12507,0.12599,0.125,0.12599,96658.2
