date,open,high,low,close,volume
1594022400000,0.3587,0.359,0.3559,0.3588,5806.09
1594018800000,0.3579,0.3595,0.3567,0.3588,25006.17
1594015200000,0.3558,0.3586,0.3556,0.3586,21697.51
1594011600000,0.3599,0.3604,0.3549,0.3558,22068.59
1594008000000,0.3597,0.3629,0.3542,0.3585,37844.7
1594004400000,0.3656,0.3666,0.358,0.3585,35382.84
1594000800000,0.3554,0.3666,0.3548,0.3657,102500.46
1593997200000,0.3511,0.3553,0.3511,0.3524,33708.22
1593993600000,0.3506,0.3538,0.3499,0.3499,14968.0
1593990000000,0.3437,0.3524,0.3431,0.3503,32877.85
1593986400000,0.342,0.3435,0.3408,0.3435,9202.11
1593982800000,0.3435,0.345,0.3381,0.3406,16334.64
1593979200000,0.3438,0.3438,0.3421,0.3434,27407.72
1593975600000,0.3407,0.3448,0.3407,0.3439,23596.99
1593972000000,0.3399,0.341,0.3379,0.3407,9353.89
1593968400000,0.34,0.3403,0.3379,0.3403,619.78
1593964800000,0.3409,0.3411,0.3398,0.3398,3024.13
1593961200000,0.3388,0.3424,0.3385,0.3419,7058.46
1593957600000,0.3398,0.3399,0.3376,0.3383,3866.74
1593954000000,0.3393,0.3403,0.3389,0.3394,7753.97
1593950400000,0.342,0.3423,0.339,0.3393,10397.38
1593946800000,0.3416,0.3431,0.3403,0.3405,2798.69
1593943200000,0.3419,0.3429,0.341,0.341,5355.22
1593939600000,0.3469,0.3477,0.3419,0.3419,90668.2
1593936000000,0.3435,0.3469,0.3433,0.3461,4281.42
1593932400000,0.3452,0.3474,0.3435,0.3437,25718.98
1593928800000,0.345,0.3451,0.345,0.3451,2326.93
1593925200000,0.345,0.3467,0.345,0.345,4885.81
1593921600000,0.3484,0.3485,0.345,0.345,2861.45
1593918000000,0.3465,0.3485,0.3457,0.3457,6889.88
1593914400000,0.3484,0.3484,0.3465,0.3465,4582.83
1593910800000,0.3494,0.3502,0.3484,0.3502,5390.03
