date,open,high,low,close,volume
1594022400000,0.0683,0.06847,0.06817,0.06845,1375877.2
1594018800000,0.06786,0.06834,0.06778,0.0683,7659505.0
1594015200000,0.06702,0.06787,0.06655,0.06783,13364156.0
1594011600000,0.06662,0.067,0.06658,0.067,2086926.1
1594008000000,0.0667,0.06679,0.06654,0.06662,1875208.3
1594004400000,0.06708,0.06708,0.0665,0.06667,1705359.6
1594000800000,0.06696,0.06722,0.06695,0.06702,1707512.0
1593997200000,0.06694,0.06726,0.06682,0.06695,2412482.2
1593993600000,0.06716,0.06755,0.0668,0.06694,2614697.7
1593990000000,0.06712,0.06736,0.0668,0.06717,4097911.9
1593986400000,0.06624,0.06741,0.06624,0.06709,8482694.9
1593982800000,0.06591,0.06649,0.06488,0.06629,8252755.1
1593979200000,0.06627,0.0663,0.06587,0.06588,3898295.5
1593975600000,0.0664,0.06659,0.0662,0.06625,2741625.4
1593972000000,0.06632,0.06653,0.06624,0.06636,2441866.9
1593968400000,0.06605,0.0665,0.06603,0.06632,2145184.1
1593964800000,0.06652,0.0667,0.06587,0.06604,3929427.0
1593961200000,0.06656,0.06708,0.06638,0.06648,6142373.2
1593957600000,0.06612,0.06657,0.06604,0.06656,2795382.8
1593954000000,0.06653,0.06653,0.06598,0.06617,3056914.6
1593950400000,0.06617,0.06659,0.06562,0.06656,6031589.0
1593946800000,0.06634,0.06656,0.06597,0.06619,3759381.2
1593943200000,0.06612,0.0665,0.06582,0.06637,5928817.9
1593939600000,0.06692,0.06696,0.0657,0.06611,9619290.3
1593936000000,0.06688,0.06712,0.06672,0.06695,2031843.7
1593932400000,0.06691,0.06715,0.0667,0.06691,2229906.1
1593928800000,0.06687,0.06737,0.06674,0.06692,4051726.1
1593925200000,0.06763,0.06773,0.06663,0.06688,6976652.5
1593921600000,0.0673,0.06767,0.06706,0.06765,3464006.1
1593918000000,0.06725,0.0674,0.0671,0.0673,2447907.1
1593914400000,0.06785,0.0679,0.06711,0.06724,3078057.9
1593910800000,0.06762,0.06787,0.06753,0.06787,1886564.8
1593907200000,0.06795,0.06808,0.0676,0.0676,3300831.8
1593903600000,0.06758,0.06803,0.0674,0.06798,2572785.1
1593900000000,0.06747,0.0677,0.06725,0.06758,1545529.0
1593896400000,0.06762,0.06771,0.06731,0.06743,1780842.6
1593892800000,0.06786,0.068,0.06737,0.06759,2507973.2
1593889200000,0.06799,0.068,0.06754,0.06785,2500128.9
1593885600000,0.06822,0.06839,0.06777,0.06798,4579211.1
1593882000000,0.06739,0.0686,0.0673,0.06815,10534060.9
1593878400000,0.0671,0.06775,0.06695,0.06739,5282239.8
1593874800000,0.06718,0.0673,0.06656,0.06714,7997257.4
1593871200000,0.06722,0.06745,0.06708,0.06715,3698480.9
1593867600000,0.06676,0.06726,0.06666,0.06723,3051698.2
1593864000000,0.06668,0.06686,0.06643,0.06676,4301256.2
1593860400000,0.0666,0.06687,0.06644,0.06666,3697870.8
1593856800000,0.06701,0.06701,0.06654,0.06662,4068935.9
1593853200000,0.06701,0.0671,0.06695,0.067,1025209.5
1593849600000,0.06702,0.06709,0.06694,0.067,1342300.4
1593846000000,0.06706,0.06732,0.067,0.06702,1731705.0
1593842400000,0.06719,0.0672,0.06687,0.06706,1485293.3
1593838800000,0.06704,0.0674,0.06693,0.06719,2529686.6
1593835200000,0.06712,0.06725,0.06703,0.06708,1868001.8
1593831600000,0.06736,0.06758,0.0671,0.06712,2460550.7
1593828000000,0.06687,0.06751,0.06678,0.06733,7024810.4
1593824400000,0.06713,0.06725,0.06677,0.06682,5164024.1
1593820800000,0.06696,0.06754,0.06657,0.06713,8180919.7
1593817200000,0.06788,0.06788,0.06644,0.06698,10723039.4
1593813600000,0.06793,0.06817,0.06765,0.06787,1828549.2
1593810000000,0.06774,0.06796,0.06765,0.06791,1199862.1
1593806400000,0.06734,0.06783,0.06715,0.06774,2492439.9
1593802800000,0.06755,0.0676,0.06717,0.06736,4271465.8
1593799200000,0.06784,0.06814,0.06744,0.06758,4350964.7
1593795600000,0.06802,0.0684,0.06762,0.06787,2379254.2
1593792000000,0.06772,0.06873,0.06766,0.068,8229142.4
1593788400000,0.06742,0.06785,0.06731,0.06774,3311304.7
1593784800000,0.0678,0.06788,0.06686,0.06739,8504336.8
1593781200000,0.06692,0.06795,0.06681,0.06779,6590051.2
1593777600000,0.06699,0.06718,0.06666,0.06691,2721209.0
1593774000000,0.0669,0.06709,0.06653,0.06701,4403126.4
1593770400000,0.06668,0.06719,0.06644,0.0669,3864613.6
1593766800000,0.0674,0.06758,0.06622,0.0667,6389461.5
1593763200000,0.06721,0.06779,0.06721,0.06742,4521794.4
1593759600000,0.06688,0.06761,0.06684,0.06722,4094126.1
1593756000000,0.06707,0.06732,0.06677,0.0669,4602682.1
1593752400000,0.06702,0.06719,0.06646,0.06705,7769128.8
1593748800000,0.06729,0.06747,0.06683,0.06704,3240299.7
1593745200000,0.06737,0.06754,0.06702,0.06726,2746790.9
1593741600000,0.06794,0.06821,0.06716,0.06732,2630855.8
1593738000000,0.06728,0.06809,0.06728,0.06792,3782043.6
1593734400000,0.06762,0.06766,0.06707,0.06724,5894803.8
1593730800000,0.06767,0.06786,0.06733,0.06761,3743340.5
1593727200000,0.06798,0.0682,0.06743,0.06763,6234057.2
1593723600000,0.06791,0.06824,0.06765,0.068,4432244.5
1593720000000,0.0676,0.06804,0.06737,0.0679,2886639.2
1593716400000,0.06801,0.0684,0.06705,0.0676,10605589.5
1593712800000,0.06811,0.06842,0.06689,0.06797,9739355.6
1593709200000,0.06772,0.06821,0.06708,0.06815,4571912.4
1593705600000,0.06805,0.06859,0.06615,0.06776,17383725.1
1593702000000,0.06977,0.06979,0.06803,0.06805,12864895.3
1593698400000,0.07068,0.07097,0.0697,0.06975,6016505.3
1593694800000,0.06954,0.07081,0.0694,0.07066,9437262.6
1593691200000,0.06874,0.06973,0.06858,0.06949,7436425.7
1593687600000,0.06904,0.06916,0.06839,0.06877,2703019.1
1593684000000,0.06951,0.06951,0.06866,0.06904,4948586.6
1593680400000,0.06971,0.06989,0.06928,0.06948,5283505.2
1593676800000,0.06979,0.06991,0.0688,0.0697,5998635.2
1593673200000,0.06929,0.06983,0.0691,0.06981,4896332.1
1593669600000,0.06956,0.06956,0.06916,0.06934,3884778.0
1593666000000,0.06975,0.07034,0.06929,0.06961,9888085.8
1593662400000,0.06999,0.07028,0.06923,0.06975,6766990.7
1593658800000,0.06988,0.07003,0.06967,0.06997,3347319.1
1593655200000,0.0703,0.07046,0.06987,0.06991,4326053.5
1593651600000,0.06973,0.07045,0.06955,0.07031,12298981.6
1593648000000,0.0684,0.06989,0.06838,0.06971,12911544.0
1593644400000,0.06813,0.06866,0.06806,0.06837,4763521.6
1593640800000,0.06799,0.06824,0.06768,0.06813,3649880.4
1593637200000,0.06784,0.06816,0.06767,0.06794,3422745.7
1593633600000,0.06746,0.06807,0.06743,0.06783,5702323.3
1593630000000,0.06876,0.06877,0.06723,0.0675,8768070.5
1593626400000,0.06877,0.06889,0.06864,0.06878,3991567.2
1593622800000,0.0692,0.06923,0.06857,0.06875,6123017.9
1593619200000,0.06883,0.06943,0.06869,0.06922,7226479.3
1593615600000,0.06837,0.06886,0.06822,0.06883,4855699.5
1593612000000,0.06836,0.06855,0.06826,0.06833,4710150.9
1593608400000,0.06765,0.06869,0.06753,0.06836,9378497.6
1593604800000,0.06715,0.06771,0.06715,0.06765,3848422.3
1593601200000,0.06696,0.06716,0.06678,0.06713,1959305.7
1593597600000,0.06723,0.06733,0.06695,0.06695,1380729.7
1593594000000,0.06732,0.06735,0.06702,0.06723,2005728.1
1593590400000,0.06651,0.06749,0.06649,0.06726,6460137.8
1593586800000,0.06641,0.06669,0.06638,0.06648,1827750.7
1593583200000,0.06658,0.0667,0.06623,0.06642,4416118.9
1593579600000,0.06646,0.06675,0.06639,0.06662,2207093.4
1593576000000,0.06638,0.06651,0.06628,0.06646,2007296.7
1593572400000,0.06638,0.06672,0.066,0.06632,5068451.6
1593568800000,0.06634,0.0667,0.06626,0.06637,2406066.2
1593565200000,0.0664,0.06652,0.06607,0.06634,2553021.4
1593561600000,0.06688,0.06697,0.06625,0.06639,2875597.1
1593558000000,0.06673,0.06704,0.06671,0.06692,2216614.3
1593554400000,0.06708,0.06711,0.06663,0.06671,2202610.8
1593550800000,0.06703,0.06733,0.06695,0.06708,2226112.8
1593547200000,0.06662,0.06706,0.06648,0.06702,2717239.2
1593543600000,0.06611,0.06685,0.066,0.06666,3547626.9
1593540000000,0.06649,0.06651,0.06602,0.06611,1827845.4
1593536400000,0.06709,0.06716,0.06617,0.06643,4702152.9
1593532800000,0.06728,0.06741,0.06683,0.06708,3187638.2
1593529200000,0.06648,0.06736,0.06642,0.0673,6546325.9
1593525600000,0.06633,0.06673,0.06622,0.06648,5414308.0
1593522000000,0.0659,0.06643,0.0654,0.0663,6719812.1
1593518400000,0.06634,0.06699,0.06575,0.06595,10470137.2
1593514800000,0.06533,0.06646,0.06524,0.06634,5905435.9
1593511200000,0.06516,0.06544,0.06516,0.06536,2627067.9
1593507600000,0.06483,0.06529,0.06478,0.06517,2424229.8
1593504000000,0.06472,0.06486,0.06447,0.06484,2003291.9
1593500400000,0.0646,0.06471,0.0645,0.0647,1013433.6
1593496800000,0.06403,0.0646,0.06402,0.06459,1255879.6
