date,open,high,low,close,volume
1593993600000,63.23,64.49,62.8,63.98,27500.55837
1593907200000,64.23,64.64,61.34,63.33,115618.84926
1593820800000,62.62,64.85,62.46,64.22,87714.30112
1593734400000,65.2,67.5,62.41,62.66,109839.46029
1593648000000,64.51,66.72,62.38,65.2,99637.90342
1593561600000,63.5,64.86,63.22,64.52,53259.37691
1593475200000,64.18,64.6,63.27,63.48,48284.17093
1593388800000,63.31,64.87,62.47,64.19,42987.61591
1593302400000,62.14,63.62,61.76,63.29,40556.06977
1593216000000,64.02,64.34,60.26,62.08,56791.01934
1593129600000,64.28,64.62,63.0,64.0,48994.17029
1593043200000,64.88,65.12,63.08,64.3,43956.74942
1592956800000,66.87,67.41,63.98,64.83,56430.93555
1592870400000,66.16,67.33,65.36,66.87,60325.62158
1592784000000,64.48,66.93,64.46,66.16,59815.29234
1592697600000,64.09,65.06,63.84,64.48,32703.55262
1592611200000,64.13,64.64,63.38,64.06,38798.8949
1592524800000,64.86,65.34,63.44,64.09,50851.69336
1592438400000,65.1,65.93,58.06,64.93,53662.26687
1592352000000,66.01,66.96,64.63,65.09,40350.45225
1592265600000,64.52,66.0,64.27,66.0,30699.42907
1592179200000,65.4,65.66,61.87,64.53,60095.55967
1592092800000,66.54,66.6,64.5,65.39,32749.56722
1592006400000,65.7,66.58,65.03,66.58,26907.53083
1591920000000,63.72,66.58,62.91,65.69,42444.5269
1591833600000,69.69,70.07,63.0,63.71,66936.74356
1591747200000,68.06,69.71,67.42,69.67,60364.50507
1591660800000,68.28,68.79,67.08,67.99,38852.99283
1591574400000,66.4,68.34,66.22,68.28,44730.64637
1591488000000,67.65,68.14,64.64,66.39,66950.26871
1591401600000,67.43,68.12,66.96,67.7,38534.43775
1591315200000,68.13,69.21,67.17,67.45,37004.31975
1591228800000,67.17,68.75,65.58,68.14,61016.61846
1591142400000,66.59,68.21,66.03,67.16,37779.18493
1591056000000,67.72,70.31,63.61,66.66,78751.55303
1590969600000,64.92,68.47,63.3,67.72,79408.305
1590883200000,68.36,68.7,63.75,64.94,71165.38539
1590796800000,66.07,68.8,65.33,68.36,70693.19836
1590710400000,67.13,67.89,65.88,66.05,51959.2667
1590624000000,64.5,67.56,63.16,67.15,77866.95229
1590537600000,61.91,65.57,61.34,64.47,56913.08644
1590451200000,61.58,62.36,60.79,61.91,41870.14645
1590364800000,60.65,62.4,60.02,61.54,42997.96878
1590278400000,63.46,63.71,60.58,60.64,54021.43623
1590192000000,62.89,65.0,62.57,63.46,43248.60649
1590105600000,61.65,63.54,61.0,62.89,61318.05756
1590019200000,64.69,65.14,59.96,61.65,65248.26749
1589932800000,66.71,67.09,63.01,64.66,66764.83721
1589846400000,67.02,67.61,64.89,66.7,55491.29068
1589760000000,65.21,67.78,65.01,66.96,59379.1646
1589673600000,65.43,67.15,64.73,65.22,54596.30641
1589587200000,62.73,65.88,62.03,65.42,62814.41423
1589500800000,65.24,65.72,62.34,62.77,81238.96785
1589414400000,65.03,65.77,62.66,65.28,100135.35976
1589328000000,61.54,66.23,61.41,65.0,116846.55614
1589241600000,59.41,62.37,59.16,61.5,67381.49689
1589155200000,58.77,61.98,55.7,59.36,139601.77309
1589068800000,62.97,63.15,53.25,58.85,134564.75291
1588982400000,63.43,64.92,62.62,63.05,67357.01938
1588896000000,64.59,65.93,63.06,63.39,146156.29752
1588809600000,57.8,64.98,57.2,64.6,172064.24404
1588723200000,60.33,62.06,57.36,57.85,126465.45997
1588636800000,61.09,62.02,59.7,60.31,57308.97616
1588550400000,62.42,62.61,58.53,61.06,73522.35412
1588464000000,64.55,65.12,61.73,62.37,51250.93487
1588377600000,63.45,64.97,63.29,64.54,27670.26567
1588291200000,62.26,65.0,62.2,63.45,49802.91724
1588204800000,66.31,68.42,61.11,62.28,125526.44439
1588118400000,62.05,66.89,61.63,66.32,125685.27454
1588032000000,62.4,63.83,61.22,62.07,81842.32202
1587945600000,61.36,62.48,60.91,62.36,56186.86538
1587859200000,60.55,62.0,59.84,61.33,61648.23511
1587772800000,60.72,62.39,60.04,60.55,53175.29274
1587686400000,59.27,62.45,59.18,60.68,72897.21584
1587600000000,56.98,61.06,56.14,59.27,74876.13115
1587513600000,55.14,57.35,54.73,56.95,54030.38594
1587427200000,54.64,55.9,54.0,55.14,54194.16674
1587340800000,57.02,58.38,53.96,54.69,68620.33465
1587254400000,57.98,58.49,56.38,57.05,64000.51113
1587168000000,56.2,58.8,55.96,58.04,61439.81283
1587081600000,56.98,57.28,56.0,56.21,62431.75786
1586995200000,53.11,57.65,51.56,56.9,133570.03403
1586908800000,54.08,55.12,53.11,53.12,105132.30664
1586822400000,53.04,55.22,52.65,54.09,78544.54869
1586736000000,53.67,53.68,51.01,52.98,98275.0027
1586649600000,53.84,55.64,52.81,53.68,76041.20897
1586563200000,53.7,54.82,52.49,53.86,64901.31719
1586476800000,58.37,58.48,52.43,53.7,99510.99145
1586390400000,57.85,58.93,56.09,58.4,70792.84374
1586304000000,55.97,58.28,55.55,57.88,82257.55004
1586217600000,58.89,60.58,54.76,55.94,124691.67781
1586131200000,53.15,59.23,53.14,58.93,122788.8981
1586044800000,54.14,54.32,52.6,53.15,69488.98755
1585958400000,52.98,55.3,52.12,54.11,133614.30853
1585872000000,50.68,54.35,50.23,52.96,135822.79731
1585785600000,48.47,53.0,47.92,50.75,127460.02239
1585699200000,47.59,48.89,46.43,48.47,94140.72078
1585612800000,46.48,48.55,46.36,47.6,104684.11339
1585526400000,44.04,47.66,43.85,46.41,110255.71745
1585440000000,47.13,47.31,43.96,44.04,72229.07183
1585353600000,47.69,48.48,44.89,47.11,130406.93778
1585267200000,50.28,51.44,47.37,47.7,104502.64593
1585180800000,47.18,51.03,47.18,50.28,164697.75207
1585094400000,47.13,48.14,45.06,47.15,118935.52705
1585008000000,44.45,48.08,43.22,47.26,174599.77016
1584921600000,38.19,46.75,37.59,44.45,151242.69515
1584835200000,41.21,42.61,37.77,38.21,168994.43805
1584748800000,40.35,45.46,38.41,41.23,200887.51854
1584662400000,40.82,45.44,36.48,40.33,175376.25564
1584576000000,37.12,42.88,36.05,40.87,162254.59273
1584489600000,36.27,37.57,33.95,37.12,140960.94656
1584403200000,34.05,37.47,33.49,36.26,110119.7225
1584316800000,38.01,38.77,29.2,34.0,216900.34329
1584230400000,36.18,41.25,35.68,38.01,138659.77134
1584144000000,36.94,40.15,35.35,36.21,109242.17365
1584057600000,31.83,40.45,25.08,36.92,267765.28941
1583971200000,54.28,54.38,30.34,31.81,300131.3291
1583884800000,54.87,56.04,50.97,54.2,71365.42885
1583798400000,55.81,57.05,53.59,54.82,74260.92422
1583712000000,56.38,57.71,52.23,55.77,119547.55597
1583625600000,65.71,65.71,55.78,56.44,108856.47094
1583539200000,69.12,69.58,65.15,65.71,64801.88028
1583452800000,68.46,69.78,67.56,69.13,55041.31234
1583366400000,65.72,70.05,65.72,68.46,38793.22803
1583280000000,65.9,67.99,64.71,65.68,44799.42047
1583193600000,68.87,69.0,65.0,65.89,50168.48198
1583107200000,64.39,69.25,64.25,68.78,56632.41582
1583020800000,65.9,67.75,63.26,64.53,51748.53249
1582934400000,68.41,69.17,65.91,65.92,46744.02251
1582848000000,70.26,71.55,66.05,68.41,67880.891
1582761600000,70.62,72.66,66.71,70.26,102439.36647
1582675200000,76.48,77.94,68.38,70.61,94766.06591
1582588800000,79.19,82.07,75.34,76.49,70490.55843
1582502400000,85.13,86.3,76.89,79.2,80931.9311
1582416000000,78.89,85.59,78.82,85.05,64150.70253
1582329600000,80.27,82.82,78.0,78.9,90729.44324
1582243200000,76.53,82.13,75.65,80.29,64280.53192
1582156800000,77.71,79.13,74.97,76.39,109683.14036
1582070400000,86.34,86.81,76.04,77.69,58141.47534
1581984000000,82.65,87.26,81.12,86.34,67346.84381
1581897600000,87.77,89.03,79.19,82.59,86651.7667
1581811200000,89.17,92.15,79.51,87.8,89824.40075
1581724800000,95.12,96.86,86.42,89.1,69017.88285
1581638400000,92.25,95.2,90.75,95.16,49133.26383
1581552000000,94.37,95.2,89.44,92.25,87832.38479
1581465600000,89.45,94.67,89.1,94.29,103240.12183
1581379200000,84.53,89.52,82.65,89.36,67868.15486
1581292800000,87.63,87.9,83.22,84.53,61795.19253
1581206400000,80.64,87.82,80.44,87.59,77002.1441
1581120000000,79.47,81.59,76.85,80.64,48845.04025
1581033600000,78.26,80.96,78.21,79.48,57073.6271
1580947200000,77.83,80.11,76.38,78.3,52575.27104
1580860800000,75.22,79.19,74.58,77.84,60236.11875
1580774400000,76.77,77.39,73.7,75.17,51998.90241
1580688000000,74.86,78.23,74.28,76.74,105463.1231
1580601600000,73.25,77.86,70.99,74.89,89080.24342
1580515200000,72.16,73.9,71.2,73.22,45816.64286
1580428800000,74.9,76.02,69.37,72.16,95888.3118
1580342400000,69.93,75.02,68.44,74.83,76932.17855
1580256000000,67.87,70.84,67.34,70.02,55474.21068
1580169600000,65.48,67.9,65.13,67.71,42159.48327
1580083200000,64.02,66.32,63.41,65.44,38301.33204
1579996800000,61.25,64.82,60.79,63.97,27159.87227
1579910400000,61.65,62.57,59.87,61.35,20249.99616
1579824000000,62.57,62.99,58.0,61.67,56646.65159
1579737600000,65.09,65.09,61.15,62.55,24642.6579
1579651200000,65.97,66.55,64.35,65.0,25926.81677
1579564800000,64.98,66.88,64.07,65.87,25334.44886
1579478400000,65.23,66.53,62.17,64.96,32916.73105
1579392000000,67.0,69.47,62.74,65.17,48682.74962
1579305600000,68.92,70.94,66.15,67.0,56225.67664
1579219200000,65.65,72.0,64.05,68.95,90653.31089
1579132800000,68.48,69.0,62.58,65.63,68525.82618
1579046400000,62.47,69.36,61.81,68.47,176475.93404
1578960000000,57.79,63.05,57.69,62.55,124253.45431
1578873600000,59.21,59.22,56.66,57.72,53718.20923
1578787200000,58.17,59.99,57.26,59.19,43850.34602
1578700800000,58.43,64.25,57.9,58.25,144805.8889
1578614400000,58.68,59.65,56.77,58.42,84463.61102
1578528000000,59.46,59.53,56.76,58.68,62202.80563
1578441600000,58.36,60.33,55.23,59.44,67288.71434
1578355200000,58.89,60.17,55.4,58.36,76443.13328
1578268800000,53.68,59.27,53.67,58.91,68723.76894
1578182400000,50.35,54.26,50.34,53.69,54781.3655
1578096000000,50.96,51.37,49.74,50.37,35053.35816
1578009600000,45.54,51.77,45.45,50.93,156643.20919
1577923200000,45.82,46.14,44.31,45.5,25354.44426
1577836800000,44.67,45.89,44.54,45.82,18743.63854
1577750400000,46.21,46.26,44.57,44.69,25352.09538
1577664000000,46.53,46.72,45.62,46.17,31217.06684
1577577600000,45.44,47.13,45.23,46.5,40830.83508
1577491200000,45.11,45.85,44.92,45.43,32982.98393
1577404800000,45.34,46.1,44.53,45.11,43084.37401
1577318400000,45.99,46.55,44.85,45.31,44184.96061
1577232000000,45.81,46.78,45.1,45.99,52884.28497
1577145600000,47.18,47.94,45.55,45.82,80341.52655
1577059200000,47.39,48.61,46.89,47.18,95648.58438
1576972800000,44.99,47.97,44.96,47.34,109575.06435
1576886400000,46.69,46.71,44.91,44.97,54748.36588
1576800000000,47.4,47.54,46.48,46.64,40614.58241
1576713600000,47.94,49.85,46.05,47.45,61832.58416
1576627200000,45.08,49.19,43.75,47.76,63959.04777
1576540800000,49.15,49.4,44.51,45.04,44462.38259
1576454400000,50.81,51.1,48.28,49.11,23216.15568
1576368000000,51.23,52.09,50.64,50.8,21132.4551
1576281600000,52.44,52.72,50.9,51.31,22694.45701
1576195200000,52.98,53.34,52.21,52.49,24866.74845
1576108800000,53.0,53.97,51.01,52.93,34317.9408
1576022400000,52.68,53.48,52.48,52.95,21749.40657
