date,open,high,low,close,volume
1594022400000,64.37,64.49,63.37,63.99,7599.97584
1594018800000,64.18,64.37,64.01,64.35,3882.2169
1594015200000,63.34,64.25,63.34,64.18,6578.09709
1594011600000,62.92,63.43,62.92,63.34,2973.84459
1594008000000,62.92,63.0,62.82,62.93,1205.1766
1594004400000,62.91,62.93,62.8,62.9,548.1025
1594000800000,63.1,63.32,62.85,62.91,1741.46379
1593997200000,63.12,63.21,62.94,63.06,1578.44654
1593993600000,63.23,63.33,63.09,63.11,1285.84622
1593990000000,63.33,63.4,63.02,63.33,1786.05463
1593986400000,62.66,63.59,62.66,63.31,3309.34148
1593982800000,62.38,62.75,61.8,62.66,3685.07261
1593979200000,62.92,62.94,62.35,62.38,2640.57415
1593975600000,62.6,62.94,62.54,62.92,3294.87855
1593972000000,62.51,62.71,62.3,62.63,2640.69056
1593968400000,61.76,62.92,61.75,62.51,8867.98758
1593964800000,63.99,64.09,61.34,61.76,29284.70139
1593961200000,63.64,64.06,63.57,63.95,2353.01382
1593957600000,63.5,63.62,63.33,63.6,4933.80534
1593954000000,63.57,64.04,63.23,63.5,5853.51159
1593950400000,63.57,63.68,63.26,63.53,1458.42263
1593946800000,63.57,63.83,63.48,63.57,3636.51741
1593943200000,63.21,63.6,63.05,63.59,2987.82726
1593939600000,64.13,64.14,63.02,63.24,7738.15687
1593936000000,64.22,64.28,64.09,64.14,1598.55006
1593932400000,64.13,64.33,63.97,64.25,1707.64621
1593928800000,64.05,64.31,63.9,64.15,1300.67804
1593925200000,64.49,64.64,63.82,64.05,4371.24664
1593921600000,64.4,64.57,64.25,64.49,3569.10679
1593918000000,63.83,64.49,63.69,64.4,3944.6109
1593914400000,64.24,64.3,63.73,63.84,3118.07546
1593910800000,63.79,64.25,63.65,64.24,7902.97404
1593907200000,64.23,64.24,63.77,63.81,3635.40525
1593903600000,64.08,64.25,63.92,64.22,1122.26791
1593900000000,63.81,64.13,63.79,64.07,3259.07923
1593896400000,64.12,64.19,63.79,63.8,1269.07018
1593892800000,64.16,64.4,64.02,64.09,1797.55442
1593889200000,64.32,64.4,64.12,64.13,2879.8942
1593885600000,64.38,64.61,64.11,64.32,3328.9099
1593882000000,63.89,64.85,63.87,64.39,13154.89787
1593878400000,63.72,63.91,63.57,63.88,2500.534
1593874800000,63.09,63.87,62.89,63.7,11935.35718
1593871200000,63.28,63.29,62.97,63.08,2212.47764
1593867600000,62.89,63.32,62.84,63.28,2248.87977
1593864000000,62.9,63.0,62.63,62.89,3249.72592
1593860400000,63.19,63.19,62.85,62.86,5343.83225
1593856800000,63.21,63.31,62.91,63.19,2778.41687
1593853200000,63.02,63.22,62.94,63.22,3850.60665
1593849600000,62.97,63.09,62.81,63.02,3216.40871
1593846000000,63.47,63.58,62.86,62.98,4764.56683
1593842400000,63.63,63.64,63.27,63.45,2669.40283
1593838800000,63.3,63.72,63.26,63.64,3633.5456
1593835200000,63.24,63.36,63.14,63.31,1356.94864
1593831600000,63.02,63.34,62.9,63.23,2175.54158
1593828000000,62.79,63.2,62.73,63.02,3506.81736
1593824400000,62.81,62.9,62.62,62.79,2547.02208
1593820800000,62.62,62.99,62.46,62.85,2912.5435
1593817200000,62.98,62.98,62.41,62.66,4494.30873
1593813600000,63.1,63.22,62.89,62.98,1626.96597
1593810000000,63.07,63.18,62.97,63.1,2012.01322
1593806400000,62.97,63.09,62.82,63.07,1419.2492
1593802800000,62.73,62.97,62.62,62.95,2329.36777
1593799200000,63.43,63.43,62.71,62.74,5197.81272
1593795600000,63.81,63.97,63.11,63.43,4507.75508
1593792000000,64.23,65.3,62.99,63.82,18484.56867
1593788400000,64.22,64.72,64.11,64.19,9355.82428
1593784800000,64.45,64.57,63.86,64.19,6350.94901
1593781200000,64.19,64.7,64.19,64.48,4925.58789
1593777600000,64.6,64.8,64.11,64.19,4418.40542
1593774000000,64.63,64.8,63.95,64.58,5615.21357
1593770400000,64.72,64.85,64.55,64.62,2712.56066
1593766800000,65.47,65.61,64.34,64.73,8926.5187
1593763200000,65.39,65.81,65.33,65.47,6357.66013
1593759600000,64.95,67.5,64.88,65.39,5669.72007
1593756000000,65.36,65.44,64.89,64.92,5213.48328
1593752400000,65.03,65.37,64.77,65.32,1845.46581
1593748800000,64.95,65.09,64.81,65.02,1264.51113
1593745200000,65.0,65.14,64.94,64.95,493.26073
1593741600000,65.47,65.54,65.02,65.03,1081.0553
1593738000000,65.15,65.76,64.87,65.46,2151.23709
1593734400000,65.2,65.3,64.89,65.15,3385.96586
1593730800000,65.8,65.8,65.17,65.2,6008.01773
1593727200000,66.43,66.64,65.8,65.8,3375.59026
1593723600000,66.05,66.72,65.99,66.36,5601.40873
1593720000000,65.87,66.23,65.73,66.03,4343.32793
1593716400000,65.28,66.0,65.18,65.83,9179.67652
1593712800000,63.53,65.39,63.15,65.28,12551.25722
1593709200000,63.16,63.69,62.95,63.55,3295.32885
1593705600000,63.05,63.46,62.38,63.15,4978.97206
1593702000000,64.29,64.29,62.55,63.05,8939.38887
1593698400000,64.55,64.78,64.23,64.28,1682.75419
1593694800000,64.56,64.83,64.46,64.54,2607.17808
1593691200000,64.14,65.8,63.98,64.57,7216.69874
1593687600000,64.01,64.17,63.63,64.16,2394.92503
1593684000000,64.0,64.08,63.79,64.07,1322.84895
1593680400000,64.29,64.33,63.95,64.03,1559.95397
1593676800000,64.27,64.34,63.88,64.28,1942.41587
1593673200000,64.3,64.5,64.22,64.27,984.82563
1593669600000,64.29,64.47,62.87,64.38,5774.55972
1593666000000,64.74,64.81,64.24,64.32,2265.58353
1593662400000,64.72,64.8,64.29,64.79,3412.27363
1593658800000,64.33,64.8,64.24,64.76,2527.04976
1593655200000,64.31,64.67,64.31,64.33,1483.19987
1593651600000,64.1,64.37,63.95,64.31,2995.52805
1593648000000,64.51,64.69,64.05,64.12,3195.14023
1593644400000,64.64,64.86,64.51,64.52,1120.40957
1593640800000,64.47,64.72,64.32,64.71,1474.79131
1593637200000,64.22,64.68,64.1,64.46,1982.34386
1593633600000,63.85,64.21,63.81,64.19,3107.30177
1593630000000,64.27,64.6,63.74,63.85,3370.00367
1593626400000,64.58,64.66,64.27,64.27,2247.56198
1593622800000,64.31,64.59,64.27,64.55,2113.3159
1593619200000,64.31,64.4,64.1,64.3,2598.09367
1593615600000,63.95,64.28,63.9,64.28,1850.01989
1593612000000,63.97,64.24,63.89,63.89,972.65857
1593608400000,63.64,64.33,63.5,63.93,4536.13983
1593604800000,63.69,63.76,63.5,63.63,1055.6079
1593601200000,63.63,63.7,63.53,63.69,524.45425
1593597600000,63.91,63.97,63.63,63.65,1124.12952
1593594000000,63.96,64.15,63.85,63.9,2629.27714
1593590400000,63.82,64.1,63.43,63.95,4322.2208
1593586800000,63.93,64.4,63.72,63.78,5026.75879
1593583200000,64.1,64.1,63.76,63.94,2217.45952
1593579600000,63.99,64.09,63.73,64.04,1960.20117
1593576000000,63.73,64.07,63.64,63.99,2972.50784
1593572400000,63.64,63.79,63.5,63.7,1989.45786
1593568800000,63.67,64.02,63.62,63.64,1987.92895
1593565200000,63.52,63.73,63.46,63.68,1163.69012
1593561600000,63.5,63.52,63.22,63.52,913.04303
1593558000000,63.49,63.65,63.48,63.48,185.47084
1593554400000,63.89,63.93,63.43,63.5,602.72073
1593550800000,63.78,64.04,63.75,63.93,1328.39738
1593547200000,63.67,63.97,63.62,63.8,1493.31857
1593543600000,63.8,63.92,63.67,63.8,1412.27626
1593540000000,63.88,63.97,63.65,63.85,1266.24074
1593536400000,64.12,64.13,63.61,63.87,2435.44765
1593532800000,64.03,64.16,63.78,64.11,2671.88171
1593529200000,64.16,64.19,63.71,63.88,4117.10822
1593525600000,63.98,64.18,63.83,64.14,845.78192
1593522000000,63.81,64.02,63.52,63.97,5176.65051
1593518400000,64.12,64.15,63.51,63.86,3798.79694
1593514800000,64.04,64.19,63.94,64.16,2913.49897
1593511200000,63.7,64.05,63.68,64.03,3254.18064
1593507600000,63.5,63.79,63.45,63.67,1800.11254
1593504000000,63.61,63.62,63.42,63.5,767.4244
1593500400000,63.71,63.81,63.59,63.64,822.84613
1593496800000,63.34,63.73,63.32,63.71,914.18684
1593493200000,63.43,63.6,63.27,63.3,981.81306
1593489600000,63.89,63.96,63.41,63.41,2203.60192
1593486000000,63.96,64.04,63.84,63.89,1794.6009
