date,open,high,low,close,volume
1585645200000,540.97,554.54,538.65,548.55,110.10893
1585641600000,546.07,546.39,538.0,543.29,97.53065
1585638000000,550.0,550.75,546.07,546.07,16.67171
1585634400000,552.27,559.0,545.93,546.82,121.77686
1585630800000,562.02,566.23,546.77,552.27,71.48474
1585627200000,546.66,565.62,546.66,562.01,124.9169
1585623600000,549.87,559.19,545.0,545.01,62.4443
1585620000000,537.98,549.62,537.98,549.62,80.20814
1585616400000,550.58,552.86,538.64,540.01,128.86914
1585612800000,561.54,561.54,545.93,550.0,112.75791
1585609200000,543.0,563.92,541.93,562.47,131.12575
1585605600000,532.11,545.51,526.23,545.51,152.90862
1585602000000,537.06,540.51,520.0,537.23,207.81718
1585598400000,543.21,543.21,522.6,537.06,371.57964
1585594800000,538.89,543.7,531.23,540.4,63.5182
1585591200000,539.86,547.84,536.08,538.89,45.97036
1585587600000,537.0,544.26,536.22,542.37,74.71315
1585584000000,549.86,555.43,530.0,536.22,161.15944
1585580400000,549.56,554.2,527.35,549.86,286.02805
1585576800000,552.22,565.82,546.7,548.0,217.46777
1585573200000,543.7,553.2,537.0,553.2,169.69567
1585569600000,533.0,545.0,530.42,543.5,505.91697
1585566000000,545.05,545.34,520.0,531.78,407.1518
1585562400000,553.54,555.54,541.94,545.01,255.25784
1585558800000,546.97,555.0,541.55,555.0,184.02544
1585555200000,545.01,554.25,536.15,547.0,268.71247
1585551600000,579.39,579.39,525.0,544.0,460.63388
1585548000000,594.26,607.26,569.65,580.56,210.10487
1585544400000,616.61,616.61,582.0,594.8,247.41008
1585540800000,630.98,633.8,618.73,618.73,56.02325
1585537200000,632.78,639.66,623.11,631.2,52.53338
1585533600000,639.86,639.86,613.72,630.78,148.20938
1585530000000,647.1,665.54,631.5,641.69,78.12188
1585526400000,684.44,684.86,630.88,647.1,154.08222
1585522800000,671.46,684.44,668.4,684.44,138.45879
1585519200000,675.0,685.0,658.96,671.44,245.0821
1585515600000,660.0,685.0,658.25,674.99,187.98407
1585512000000,658.97,687.18,644.18,660.18,629.78163
1585508400000,614.26,659.0,605.64,656.45,761.24098
1585504800000,597.0,613.83,596.99,613.83,102.63431
1585501200000,598.59,605.0,593.68,593.68,135.07527
1585497600000,586.37,605.69,580.01,599.41,195.51991
1585494000000,577.34,588.05,577.34,585.48,132.69257
1585490400000,584.27,588.9,573.05,577.0,92.17264
1585486800000,594.11,597.78,576.87,582.9,141.82679
1585483200000,592.7,608.88,584.36,595.56,223.12049
1585479600000,589.93,595.73,586.02,593.0,210.70698
1585476000000,602.76,603.7,574.15,590.13,243.83356
1585472400000,585.0,606.99,580.0,601.74,145.26739
1585468800000,573.83,600.0,573.83,583.0,196.30422
1585465200000,577.0,588.0,570.9,579.0,104.6291
1585461600000,581.04,588.96,575.52,577.01,107.91678
1585458000000,567.73,582.51,566.05,580.05,58.77912
1585454400000,568.5,575.79,566.03,567.78,61.89488
1585450800000,579.0,584.58,565.58,566.4,132.46878
1585447200000,573.0,579.0,571.14,579.0,202.96677
1585443600000,566.47,613.99,565.95,573.0,644.12941
1585440000000,557.47,574.08,549.0,568.2,136.82256
1585436400000,557.99,569.07,549.02,558.77,482.1614
1585432800000,538.27,575.38,531.88,559.96,527.82543
1585429200000,544.73,562.75,523.0,538.27,365.10093
1585425600000,564.0,564.0,510.01,544.73,1348.13433
1585422000000,586.8,586.8,558.0,567.65,313.78316
1585418400000,613.09,613.09,566.44,587.74,598.51307
1585414800000,577.22,617.69,545.93,607.83,1300.03348
1585411200000,616.25,623.88,572.55,578.7,730.93476
1585407600000,620.01,624.98,588.42,618.75,305.2824
1585404000000,641.0,642.0,620.01,620.01,160.91885
1585400400000,635.58,660.0,635.0,642.99,151.13124
1585396800000,638.28,652.3,633.36,638.46,113.32509
1585393200000,630.91,644.26,620.07,635.72,146.89968
1585389600000,639.21,641.56,626.08,637.27,48.86658
1585386000000,627.0,654.0,620.75,638.0,303.95056
1585382400000,624.0,635.43,616.0,627.0,184.80522
1585378800000,634.6,634.6,615.36,619.41,124.30361
1585375200000,631.49,647.93,627.05,637.06,115.70726
1585371600000,626.73,640.0,621.0,631.0,129.72632
1585368000000,647.86,658.0,617.73,626.0,380.06805
1585364400000,613.09,666.0,609.73,644.64,743.36682
1585360800000,622.14,637.09,604.22,611.49,408.74557
1585357200000,589.34,625.0,589.34,622.15,698.29512
1585353600000,599.99,658.3,579.59,590.0,1885.88645
1585350000000,501.42,615.0,501.42,599.97,2026.69312
1585346400000,504.12,524.52,498.89,500.46,978.83751
1585342800000,502.0,513.47,466.0,504.12,1454.31989
1585339200000,523.77,530.0,495.0,503.7,943.75536
1585335600000,553.75,563.52,493.37,523.78,2778.09103
1585332000000,573.01,575.48,549.05,555.0,570.60689
1585328400000,571.0,583.0,566.0,573.0,402.7586
1585324800000,577.0,593.26,562.62,570.0,574.23548
1585321200000,594.85,595.88,566.0,577.01,517.29312
1585317600000,604.98,607.91,588.0,596.36,294.16432
1585314000000,585.32,610.0,573.0,603.0,954.22219
1585310400000,568.91,590.0,567.81,585.32,1314.96477
1585306800000,612.1,612.1,547.03,566.8,1123.39868
1585303200000,611.3,630.0,602.92,611.25,758.75441
1585299600000,614.0,616.43,605.0,611.3,355.42545
1585296000000,594.06,614.08,591.62,612.34,386.44693
1585292400000,612.52,612.52,589.53,593.34,415.41668
1585288800000,609.11,615.99,599.0,612.52,498.81706
1585285200000,584.87,622.77,584.87,609.11,1500.03655
1585281600000,560.43,588.55,555.0,585.59,2637.28934
1585278000000,573.2,579.5,560.0,560.43,1170.64739
1585274400000,576.58,586.18,570.69,573.2,1333.2112
1585270800000,559.44,590.55,547.86,576.62,1930.16079
1585267200000,567.72,570.0,525.51,559.45,1653.91845
1585263600000,616.1,616.1,554.0,566.21,2630.29251
1585260000000,622.33,645.61,613.35,615.25,1333.50187
1585256400000,720.0,720.22,588.9,624.55,1203.95672
1585252800000,749.56,749.56,721.02,721.48,436.09991
1585249200000,757.41,760.52,741.71,749.01,69.18533
1585245600000,763.86,765.77,755.79,756.99,31.53233
1585242000000,767.0,771.54,761.74,766.65,49.69751
1585238400000,772.61,777.79,765.17,768.69,95.24116
1585234800000,781.86,784.59,770.89,771.22,230.00897
1585231200000,775.38,782.85,767.33,779.05,147.6534
1585227600000,770.52,795.0,759.18,773.08,357.41184
1585224000000,781.82,785.7,772.0,772.0,213.74534
1585220400000,773.11,784.33,761.41,777.57,164.58276
1585216800000,770.27,782.05,770.27,773.73,58.66035
1585213200000,772.85,776.05,766.17,772.29,59.77363
1585209600000,777.0,790.87,772.82,775.84,127.4502
1585206000000,784.5,790.19,774.78,781.34,126.89826
1585202400000,790.16,795.0,776.65,779.15,179.08615
1585198800000,772.0,789.88,764.46,789.42,89.82934
1585195200000,768.07,774.02,761.0,770.0,70.69918
1585191600000,780.27,782.2,766.73,766.73,64.13974
1585188000000,774.66,790.32,773.89,780.88,116.04675
1585184400000,768.01,783.17,768.01,774.66,66.68487
1585180800000,769.34,777.52,755.0,777.25,174.33224
1585177200000,774.45,786.39,770.0,771.81,113.09965
1585173600000,812.55,812.97,775.75,776.63,164.42032
1585170000000,802.91,816.66,802.91,812.97,101.49382
1585166400000,797.33,804.61,794.75,804.16,102.67686
1585162800000,787.6,801.01,784.13,794.75,89.10754
1585159200000,793.89,805.0,787.6,789.62,43.25431
1585155600000,788.19,794.47,784.86,793.56,58.37516
1585152000000,806.23,809.11,785.71,786.84,82.69815
1585148400000,797.93,812.93,795.14,805.95,82.1208
1585144800000,811.87,825.0,796.12,802.0,143.75623
1585141200000,816.1,816.18,772.03,805.53,196.95471
1585137600000,829.11,840.84,810.31,814.81,235.76973
1585134000000,794.61,847.75,791.01,829.26,342.68294
1585130400000,737.02,806.39,729.49,794.95,414.07931
1585126800000,753.82,759.0,718.28,738.08,325.97488
1585123200000,763.34,777.51,752.66,753.35,97.92738
1585119600000,766.42,778.36,765.0,766.0,64.32143
1585116000000,762.42,779.48,762.31,766.42,31.0226
1585112400000,782.75,782.99,762.01,762.38,78.48852
1585108800000,800.0,801.46,783.75,783.75,83.34742
1585105200000,781.85,805.0,781.85,792.8,137.97344
1585101600000,779.15,792.77,771.76,781.85,108.4383
1585098000000,755.0,781.63,749.64,779.14,122.81623
1585094400000,764.8,793.39,752.84,755.0,238.22615
1585090800000,757.54,768.84,748.93,762.37,109.39391
1585087200000,783.92,784.45,754.72,759.98,67.337
1585083600000,773.88,798.61,773.49,781.31,16.29176
1585080000000,769.02,777.64,754.45,770.8,92.54341
1585076400000,793.56,798.48,768.12,773.06,104.72692
1585072800000,788.37,803.06,784.81,793.56,95.05989
1585069200000,790.0,794.18,775.22,786.71,86.8692
1585065600000,802.45,815.96,788.05,789.0,120.19508
1585062000000,790.22,825.0,784.93,798.46,125.10506
1585058400000,780.0,794.92,768.24,793.91,139.01427
1585054800000,785.44,785.92,761.34,779.52,151.8102
1585051200000,768.09,812.0,768.09,784.74,188.32068
1585047600000,770.8,788.23,761.46,764.18,106.76525
1585044000000,763.27,779.06,752.01,768.37,165.47179
1585040400000,772.13,779.04,742.42,766.0,149.17606
1585036800000,809.37,809.37,745.0,769.44,286.83353
1585033200000,812.76,824.64,797.93,809.37,91.10285
1585029600000,821.58,828.84,805.12,811.18,68.42774
1585026000000,833.31,839.69,819.82,821.57,92.03424
1585022400000,826.56,847.14,821.64,834.69,127.38062
1585018800000,801.29,827.82,798.06,827.81,94.50699
1585015200000,815.42,815.42,794.14,798.01,47.07126
1585011600000,809.14,820.4,788.36,810.81,150.96853
1585008000000,831.4,831.4,775.31,808.81,226.87833
1585004400000,842.74,850.78,827.0,828.89,132.80111
1585000800000,842.68,870.58,838.24,842.74,146.99221
1584997200000,844.48,856.82,824.91,844.07,51.01735
1584993600000,869.47,871.42,835.13,841.49,163.10067
1584990000000,866.79,880.0,856.08,864.8,53.54639
1584986400000,877.62,886.3,848.78,865.41,195.84046
1584982800000,845.96,881.39,844.74,877.62,172.9916
1584979200000,900.4,900.4,844.51,845.96,206.9217
1584975600000,890.32,922.64,881.51,903.59,123.63528
1584972000000,873.74,904.29,868.6,893.89,183.64033
1584968400000,848.0,934.0,767.88,875.0,1141.36609
1584964800000,1044.31,1047.01,825.0,849.96,357.8838
1584961200000,1037.76,1056.43,1014.55,1046.12,68.92392
1584957600000,1070.54,1072.83,1040.0,1040.0,85.49757
1584954000000,1071.3,1092.55,1051.03,1069.89,97.08645
1584950400000,1037.0,1081.89,1018.25,1073.47,105.87912
1584946800000,1007.97,1040.88,1000.42,1037.01,113.38812
1584943200000,1035.12,1035.12,1005.87,1005.87,48.39601
1584939600000,1029.08,1049.96,1015.19,1037.02,53.85292
1584936000000,1014.89,1045.91,996.03,1029.08,120.69166
1584932400000,1038.39,1045.15,992.02,1011.47,127.28999
1584928800000,1071.13,1079.76,1036.14,1038.39,111.3909
1584925200000,1073.14,1086.99,1051.02,1076.5,95.45504
1584921600000,1115.98,1158.26,1049.83,1071.75,132.58108
1584918000000,1089.73,1138.54,1079.48,1111.32,169.98718
1584914400000,1011.22,1098.34,1011.22,1091.4,199.87161
1584910800000,1052.14,1054.7,985.21,1005.3,292.59119
1584907200000,1078.13,1106.42,1042.54,1052.38,270.48268
1584903600000,1042.35,1078.0,1042.35,1072.57,189.54851
1584900000000,1020.2,1073.46,1012.07,1042.35,189.56641
1584896400000,1030.0,1051.01,1006.12,1022.0,248.92661
1584892800000,1017.52,1030.88,994.0,1027.91,175.19017
1584889200000,1001.63,1065.07,995.0,1010.14,294.22559
1584885600000,994.8,1025.82,990.62,997.43,77.8069
1584882000000,1010.96,1026.0,975.0,994.96,241.02893
1584878400000,973.57,1047.78,973.57,1007.26,460.98227
1584874800000,936.78,985.01,929.76,975.75,150.6096
1584871200000,919.72,952.5,914.37,936.78,101.74441
1584867600000,935.0,938.27,907.14,912.5,62.10374
1584864000000,907.13,948.17,904.63,933.38,79.23025
1584860400000,899.93,907.51,889.14,898.59,55.29947
1584856800000,880.0,902.48,862.4,901.54,87.20573
1584853200000,895.23,895.23,867.47,879.31,92.7214
1584849600000,878.53,898.79,871.42,897.09,111.39144
1584846000000,906.6,912.21,872.48,881.88,24.95438
1584842400000,900.86,907.14,883.3,903.02,52.35009
1584838800000,926.12,928.83,893.87,902.13,79.82466
1584835200000,927.84,955.0,917.23,926.28,113.2352
1584831600000,934.58,941.68,919.67,929.63,122.49228
1584828000000,947.17,974.14,912.37,938.41,129.97669
1584824400000,897.06,976.53,861.12,949.62,403.21951
1584820800000,948.31,954.59,869.92,893.87,155.3386
1584817200000,948.52,950.36,935.14,947.99,130.4002
1584813600000,1001.03,1005.43,944.79,948.52,222.42262
1584810000000,975.03,1006.24,965.93,997.48,135.66539
1584806400000,943.05,980.0,924.95,977.49,189.44151
1584802800000,964.65,966.43,938.84,941.08,97.22597
1584799200000,973.79,986.56,950.07,964.65,82.4888
1584795600000,986.01,988.09,938.06,972.12,142.88166
1584792000000,970.0,986.61,947.58,986.61,563.75359
1584788400000,1030.82,1052.09,970.0,972.0,282.44691
1584784800000,1030.53,1034.26,1008.41,1027.19,167.46736
1584781200000,989.94,1056.13,979.72,1028.57,284.23141
1584777600000,980.35,1011.22,976.53,994.9,164.72453
1584774000000,953.13,991.22,953.13,980.61,84.34655
1584770400000,998.57,1016.7,953.47,953.47,149.26942
1584766800000,968.4,1003.97,962.49,998.58,157.16553
1584763200000,917.66,976.53,902.4,968.4,203.35129
1584759600000,922.89,953.34,916.02,930.1,162.1689
1584756000000,920.18,936.98,873.36,921.28,222.96245
1584752400000,992.25,992.25,922.0,926.25,161.7162
1584748800000,960.95,1009.97,960.95,989.86,203.8061
1584745200000,992.44,1009.83,956.0,967.18,143.23804
1584741600000,996.52,1027.45,933.59,994.0,524.40785
1584738000000,1040.0,1070.0,969.27,992.0,291.11625
1584734400000,948.91,1150.0,948.91,1039.04,757.43003
1584730800000,946.76,953.28,909.76,946.44,226.25478
1584727200000,848.17,976.53,848.17,946.06,344.42451
1584723600000,848.83,868.49,837.0,844.82,230.20919
1584720000000,780.9,889.78,765.54,849.98,486.22027
1584716400000,780.65,800.56,773.37,784.23,291.36155
1584712800000,817.84,821.14,755.01,780.39,359.4179
1584709200000,781.83,851.86,781.83,820.8,238.80979
1584705600000,778.43,810.25,775.91,779.33,237.59937
1584702000000,696.54,804.88,688.98,777.95,466.28659
1584698400000,715.0,739.1,680.0,697.24,372.91872
1584694800000,749.01,759.18,696.33,718.99,317.5919
1584691200000,844.52,844.52,710.57,752.77,505.87401
1584687600000,869.19,871.33,831.15,847.39,73.28263
1584684000000,869.5,884.65,865.7,865.86,160.54477
1584680400000,883.45,883.45,847.22,866.8,134.78707
1584676800000,928.34,936.0,870.55,880.94,154.61913
1584673200000,884.77,945.0,884.77,924.04,127.66126
1584669600000,882.2,892.11,860.71,883.48,108.9446
1584666000000,833.22,904.82,831.8,882.72,227.58309
1584662400000,837.75,837.75,804.08,832.08,214.76234
1584658800000,779.33,846.77,771.42,833.41,309.43325
1584655200000,867.76,873.02,721.0,782.59,356.58513
1584651600000,881.14,907.14,868.78,868.78,286.81474
1584648000000,932.96,941.6,877.98,881.36,126.50427
1584644400000,937.08,957.91,920.5,926.85,159.19213
1584640800000,865.0,932.85,865.0,932.85,203.37581
1584637200000,906.17,922.34,855.0,865.0,399.1181
1584633600000,1040.0,1080.61,768.37,905.48,643.87857
1584630000000,1085.8,1098.84,1041.3,1044.33,185.44988
1584626400000,1070.99,1113.81,1054.34,1089.13,157.95269
1584622800000,1050.0,1115.3,1027.0,1069.02,277.94717
1584619200000,1174.08,1179.81,1053.89,1053.89,246.35468
1584615600000,1183.86,1195.18,1168.71,1178.11,100.00462
1584612000000,1162.41,1183.86,1135.66,1180.25,148.48105
1584608400000,1251.6,1259.28,1162.41,1171.33,148.72862
1584604800000,1248.61,1260.5,1233.75,1254.75,59.32996
1584601200000,1293.33,1296.0,1240.0,1248.08,132.49141
1584597600000,1275.01,1290.01,1272.51,1290.0,24.01218
1584594000000,1314.0,1320.2,1278.33,1278.33,14.99735
1584590400000,1311.12,1323.46,1310.56,1323.46,17.61526
1584586800000,1328.72,1350.0,1303.93,1311.4,23.53702
1584583200000,1289.51,1340.81,1288.32,1331.08,48.76204
1584579600000,1271.76,1289.51,1260.28,1289.5,28.59797
1584576000000,1272.05,1280.31,1220.02,1280.16,330.65792
1584572400000,1306.12,1314.91,1269.06,1272.0,31.65781
1584568800000,1302.8,1352.98,1284.38,1310.45,53.79558
1584565200000,1319.31,1319.33,1292.13,1302.8,37.54926
1584561600000,1348.16,1348.16,1288.77,1316.15,68.48108
1584558000000,1343.58,1356.09,1337.97,1349.81,66.45277
1584554400000,1374.99,1385.19,1340.82,1342.91,89.83289
1584550800000,1375.54,1415.0,1371.84,1379.03,298.51631
1584547200000,1340.81,1418.0,1323.53,1386.01,72.42102
1584543600000,1334.53,1368.83,1306.12,1340.22,73.04388
1584540000000,1297.17,1354.18,1254.0,1338.77,55.58624
1584536400000,1413.0,1469.0,1280.01,1297.17,142.4217
1584532800000,1386.63,1440.0,1386.63,1404.46,64.20442
1584529200000,1386.68,1391.36,1366.0,1386.54,29.90138
1584525600000,1392.61,1439.99,1370.84,1385.12,103.29352
1584522000000,1366.01,1392.85,1342.5,1385.0,47.52086
1584518400000,1388.18,1427.16,1367.99,1389.23,30.37686
1584514800000,1319.2,1423.85,1319.2,1382.23,74.23329
1584511200000,1304.41,1355.66,1288.77,1316.3,40.64846
1584507600000,1238.16,1307.77,1238.16,1300.0,30.10599
1584504000000,1246.15,1252.38,1229.82,1236.52,40.16063
1584500400000,1272.63,1275.2,1242.15,1242.15,17.71618
1584496800000,1278.15,1304.32,1272.19,1277.51,30.23265
1584493200000,1287.78,1291.25,1266.66,1283.42,21.80722
1584489600000,1285.41,1313.55,1260.48,1296.37,64.01213
1584486000000,1236.73,1289.64,1219.38,1289.64,10.68466
1584482400000,1257.02,1261.28,1226.64,1234.75,21.88929
1584478800000,1252.79,1274.4,1209.76,1249.27,68.17716
1584475200000,1293.9,1310.57,1246.52,1258.5,98.09781
1584471600000,1291.33,1320.0,1281.68,1294.28,129.0921
1584468000000,1292.55,1304.34,1263.59,1291.33,128.40902
1584464400000,1288.77,1325.75,1280.69,1298.18,259.76654
1584460800000,1254.11,1315.28,1208.77,1299.9,52.29905
1584457200000,1326.44,1326.44,1254.08,1261.06,66.63632
1584453600000,1385.93,1403.38,1309.11,1311.82,42.85479
1584450000000,1328.83,1400.0,1245.03,1385.93,84.88363
1584446400000,1287.14,1340.81,1244.68,1321.0,120.76997
1584442800000,1271.42,1296.32,1253.31,1292.01,37.40792
1584439200000,1301.32,1305.0,1268.8,1285.5,24.68115
1584435600000,1263.31,1339.39,1254.08,1307.05,36.81849
1584432000000,1233.27,1287.28,1158.44,1265.0,92.99912
1584428400000,1318.39,1318.39,1179.75,1223.67,206.15093
1584424800000,1329.38,1364.62,1305.52,1320.54,37.40076
1584421200000,1379.76,1379.76,1314.21,1320.0,112.79014
1584417600000,1345.92,1404.54,1329.72,1379.76,192.83482
1584414000000,1328.04,1385.64,1288.77,1341.0,282.40307
1584410400000,1395.0,1430.12,1321.39,1345.65,42.9495
1584406800000,1463.11,1479.59,1215.27,1396.08,134.3788
1584403200000,1531.63,1583.67,1467.9,1467.9,62.17958
1584399600000,1619.79,1626.24,1548.97,1548.97,27.20995
1584396000000,1553.06,1625.35,1514.29,1610.45,83.80425
1584392400000,1615.27,1632.0,1558.3,1563.86,27.87762
1584388800000,1585.19,1635.71,1502.81,1615.27,92.62682
1584385200000,1462.24,1632.9,1462.24,1585.19,92.05165
1584381600000,1507.5,1516.63,1445.0,1469.6,95.78003
1584378000000,1520.0,1548.67,1484.63,1496.92,36.07971
1584374400000,1485.07,1570.41,1420.24,1535.06,72.014
1584370800000,1565.07,1565.07,1457.92,1465.28,75.73494
1584367200000,1615.23,1653.06,1440.28,1562.21,227.86245
1584363600000,1663.85,1837.18,1577.55,1610.59,104.24735
1584360000000,1784.77,1791.83,1557.38,1665.0,153.47615
1584356400000,1900.0,1911.0,1756.0,1774.48,89.60269
1584352800000,1653.06,1910.0,1650.0,1882.23,181.85752
1584349200000,1577.26,1665.88,1559.15,1626.51,68.53019
1584345600000,1680.0,1680.0,1550.0,1572.38,111.18527
1584342000000,1512.0,1670.4,1502.0,1669.1,157.6961
1584338400000,1410.95,1580.0,1410.95,1507.67,282.87117
1584334800000,1323.0,1450.0,1319.1,1415.44,52.35599
1584331200000,1312.12,1332.68,1282.91,1323.0,18.09466
1584327600000,1249.03,1319.98,1249.03,1306.38,40.44313
1584324000000,1291.18,1291.18,1236.73,1252.62,34.98226
1584320400000,1330.0,1354.5,1284.57,1284.57,31.8728
1584316800000,1250.06,1368.23,1250.06,1325.0,109.62696
1584313200000,1258.0,1271.41,1207.19,1249.75,134.33429
1584309600000,1001.96,1320.01,1001.96,1243.17,223.95215
1584306000000,1357.97,1357.97,977.94,993.47,201.44483
1584302400000,1268.0,1358.16,1268.0,1357.97,50.7695
1584298800000,1283.99,1283.99,1239.81,1277.31,14.09574
1584295200000,1279.04,1286.0,1265.56,1274.54,19.44749
1584291600000,1254.84,1288.77,1227.82,1288.77,56.10352
1584288000000,1256.41,1286.37,1236.73,1257.71,48.06279
1584284400000,1281.0,1281.0,1230.0,1263.4,47.10898
