date,open,high,low,close,volume
1585645200000,8.91,8.94,8.74,8.74,8035.22995
1585641600000,8.83,8.97,8.78,8.9,6433.97421
1585638000000,8.83,8.83,8.73,8.82,2894.09981
1585634400000,8.71,8.83,8.65,8.8,3796.19169
1585630800000,8.52,8.76,8.5,8.73,11890.66419
1585627200000,8.73,8.73,8.51,8.52,3060.02426
1585623600000,8.76,8.79,8.6,8.73,6757.79528
1585620000000,8.96,8.96,8.77,8.77,6563.87134
1585616400000,8.73,8.97,8.73,8.97,3506.40448
1585612800000,8.63,8.78,8.59,8.78,7368.55212
1585609200000,8.87,8.87,8.56,8.58,41905.11097
1585605600000,9.02,9.1,8.82,8.86,9586.24417
1585602000000,8.94,9.23,8.89,9.01,9334.76827
1585598400000,8.88,9.17,8.85,8.94,21793.64714
1585594800000,8.92,9.03,8.85,8.85,4897.94995
1585591200000,8.89,8.95,8.8,8.93,29711.77728
1585587600000,8.96,8.96,8.85,8.9,6119.97018
1585584000000,8.75,9.06,8.71,8.95,14529.443
1585580400000,8.79,9.08,8.68,8.74,18892.46779
1585576800000,8.75,8.78,8.52,8.78,14792.97595
1585573200000,8.78,8.89,8.75,8.75,15318.00201
1585569600000,8.92,8.96,8.76,8.76,13113.17942
1585566000000,8.79,9.1,8.78,8.9,17732.69297
1585562400000,8.7,8.85,8.65,8.8,7121.95875
1585558800000,8.84,8.84,8.65,8.7,18377.78402
1585555200000,8.78,8.9,8.69,8.84,14390.81963
1585551600000,8.48,9.08,8.48,8.73,89430.41378
1585548000000,8.42,8.57,8.22,8.5,23391.76662
1585544400000,8.11,8.49,8.08,8.37,28486.28854
1585540800000,8.02,8.12,8.0,8.11,12593.49615
1585537200000,8.0,8.09,7.9,7.98,8303.78649
1585533600000,7.89,8.16,7.89,8.0,46821.52231
1585530000000,7.83,7.96,7.63,7.89,24779.13125
1585526400000,7.45,7.95,7.44,7.81,36449.10089
1585522800000,7.55,7.69,7.44,7.45,13946.93598
1585519200000,7.45,7.74,7.26,7.55,35819.16711
1585515600000,7.77,7.77,7.33,7.48,28839.44402
1585512000000,7.71,7.75,7.21,7.75,205393.71022
1585508400000,8.61,8.74,7.71,7.71,90231.80301
1585504800000,8.9,8.91,8.61,8.61,8033.74102
1585501200000,8.85,8.97,8.77,8.95,18644.52843
1585497600000,9.17,9.25,8.75,8.88,31837.18039
1585494000000,9.29,9.29,9.05,9.17,10909.87556
1585490400000,9.17,9.33,9.12,9.29,21597.17433
1585486800000,9.0,9.25,8.94,9.18,13391.45184
1585483200000,8.99,9.15,8.76,9.02,16550.45158
1585479600000,9.09,9.12,8.95,8.98,6554.82345
1585476000000,8.83,9.29,8.81,9.09,11769.33985
1585472400000,9.15,9.17,8.73,8.82,10562.86167
1585468800000,9.28,9.31,8.86,9.17,10514.33773
1585465200000,9.26,9.36,9.07,9.29,6353.47211
1585461600000,9.17,9.33,9.04,9.25,12536.38606
1585458000000,9.49,9.49,9.15,9.18,25584.72134
1585454400000,9.43,9.5,9.32,9.5,12214.26349
1585450800000,9.23,9.5,9.15,9.43,5821.15254
1585447200000,9.33,9.38,9.22,9.23,7345.71736
1585443600000,9.43,9.47,8.49,9.34,38757.79421
1585440000000,9.61,9.88,9.35,9.37,18835.27472
1585436400000,9.66,9.79,9.53,9.67,29943.84857
1585432800000,9.95,10.0,9.43,9.62,23676.62436
1585429200000,9.9,10.16,9.57,9.89,27522.54752
1585425600000,9.55,10.31,9.55,9.87,43748.92397
1585422000000,9.23,9.67,9.23,9.55,12309.58304
1585418400000,8.97,9.55,8.9,9.22,41011.92639
