date,open,high,low,close,volume
1594022400000,2.346,2.3475,2.3372,2.3372,27947.93
1594018800000,2.3492,2.3521,2.3203,2.3443,529313.04
1594015200000,2.338,2.3508,2.3305,2.3462,231790.29
1594011600000,2.2959,2.3382,2.2953,2.3381,211480.67
1594008000000,2.2831,2.2949,2.2813,2.294,29299.51
1594004400000,2.2925,2.2942,2.281,2.2833,33082.75
1594000800000,2.2932,2.2999,2.2876,2.2899,83000.43
1593997200000,2.2692,2.294,2.2675,2.2913,50135.1
1593993600000,2.2864,2.2892,2.2656,2.267,118239.89
1593990000000,2.2847,2.2905,2.2735,2.2844,83673.0
1593986400000,2.2753,2.29,2.2627,2.2848,106654.55
1593982800000,2.2417,2.28,2.208,2.2753,333231.21
1593979200000,2.2616,2.2618,2.2411,2.2431,78172.51
1593975600000,2.2586,2.2694,2.2568,2.2611,51207.57
1593972000000,2.2568,2.263,2.2531,2.2585,95986.97
1593968400000,2.2489,2.2588,2.2424,2.2553,83092.84
1593964800000,2.2529,2.2599,2.2292,2.2475,473936.12
1593961200000,2.2622,2.2733,2.2525,2.2536,139695.25
1593957600000,2.2569,2.2638,2.2542,2.2609,69068.63
1593954000000,2.2728,2.2728,2.2565,2.2584,139085.23
1593950400000,2.2834,2.2851,2.2665,2.2736,61122.43
1593946800000,2.2774,2.2882,2.2688,2.283,82472.85
1593943200000,2.2707,2.2872,2.2632,2.2783,116203.4
1593939600000,2.2875,2.2961,2.2624,2.273,138128.62
1593936000000,2.2834,2.2931,2.2763,2.2875,79904.1
1593932400000,2.2834,2.2877,2.2775,2.2852,46506.56
1593928800000,2.2824,2.2916,2.2797,2.2823,144637.94
1593925200000,2.2987,2.303,2.2801,2.2843,194103.76
1593921600000,2.3024,2.3051,2.2889,2.297,104305.95
1593918000000,2.3027,2.3065,2.3002,2.304,71404.3
1593914400000,2.3216,2.3216,2.3005,2.3039,75788.87
1593910800000,2.3266,2.3291,2.3213,2.3215,51783.31
1593907200000,2.3283,2.3296,2.3243,2.3251,27305.33
1593903600000,2.3274,2.3294,2.3202,2.3294,23986.5
1593900000000,2.3157,2.3333,2.3154,2.3269,49192.64
1593896400000,2.3283,2.3309,2.3154,2.3168,63309.51
1593892800000,2.3299,2.3428,2.3267,2.3283,55415.88
1593889200000,2.3307,2.332,2.3236,2.3283,45274.39
1593885600000,2.3441,2.3486,2.3275,2.3325,81538.88
1593882000000,2.333,2.3546,2.3275,2.3427,189021.05
1593878400000,2.3245,2.3345,2.322,2.3335,139633.52
1593874800000,2.3182,2.3246,2.3106,2.3246,59171.02
1593871200000,2.3273,2.328,2.3142,2.3158,28848.59
1593867600000,2.3108,2.3275,2.3085,2.3261,69463.34
1593864000000,2.3085,2.3162,2.2972,2.3095,129782.04
1593860400000,2.2961,2.31,2.2924,2.3087,57910.32
1593856800000,2.3076,2.3086,2.2927,2.2958,43983.53
1593853200000,2.3102,2.3186,2.306,2.3091,78725.21
1593849600000,2.3249,2.3259,2.3102,2.312,54212.41
1593846000000,2.3342,2.3449,2.3188,2.3262,82234.74
1593842400000,2.3188,2.3356,2.312,2.3345,62715.7
1593838800000,2.3227,2.3368,2.3098,2.318,135136.45
1593835200000,2.2936,2.3229,2.2922,2.3214,120299.97
1593831600000,2.2907,2.298,2.288,2.2951,31728.45
1593828000000,2.2737,2.2958,2.2724,2.2914,61624.13
1593824400000,2.2801,2.2802,2.2714,2.2743,55170.98
1593820800000,2.2746,2.2912,2.27,2.281,96900.15
1593817200000,2.283,2.2872,2.2716,2.2764,96408.93
1593813600000,2.2907,2.2907,2.2796,2.283,66986.22
1593810000000,2.2949,2.2964,2.2849,2.2911,45694.57
1593806400000,2.2899,2.3,2.2804,2.2943,82204.52
1593802800000,2.294,2.2956,2.2843,2.2908,58593.87
1593799200000,2.2923,2.304,2.2856,2.2937,77827.43
1593795600000,2.3122,2.3143,2.29,2.2944,128741.31
1593792000000,2.2978,2.3161,2.293,2.3122,196894.77
1593788400000,2.2852,2.3032,2.283,2.2968,87616.11
1593784800000,2.3,2.3039,2.2773,2.2862,292614.66
1593781200000,2.3037,2.3241,2.2986,2.3004,136921.97
1593777600000,2.3116,2.314,2.2972,2.3037,151605.0
1593774000000,2.3085,2.3145,2.3,2.3101,94626.47
1593770400000,2.31,2.3121,2.298,2.3097,114432.06
1593766800000,2.3282,2.3331,2.3003,2.3103,98220.96
1593763200000,2.3294,2.3517,2.3259,2.3293,121832.55
1593759600000,2.316,2.3311,2.3156,2.3278,48769.69
1593756000000,2.3261,2.3365,2.3083,2.3168,66476.9
1593752400000,2.3034,2.3324,2.2903,2.3256,226368.17
1593748800000,2.3049,2.3106,2.2954,2.3041,84528.9
1593745200000,2.3047,2.3138,2.3009,2.305,39644.91
1593741600000,2.3305,2.3314,2.3018,2.3058,178219.87
1593738000000,2.317,2.3333,2.3114,2.3307,103087.29
1593734400000,2.3332,2.335,2.3093,2.3179,98146.12
1593730800000,2.3343,2.3412,2.3237,2.3347,50061.59
1593727200000,2.3348,2.3396,2.3225,2.336,156746.4
1593723600000,2.3245,2.3431,2.3211,2.3318,45936.94
1593720000000,2.3174,2.3319,2.3097,2.3248,47748.16
1593716400000,2.3243,2.3329,2.3049,2.3177,79878.97
1593712800000,2.3278,2.3346,2.3064,2.326,127127.93
1593709200000,2.3115,2.3347,2.3,2.3284,112414.41
1593705600000,2.3045,2.3267,2.2712,2.3114,643267.04
1593702000000,2.3678,2.3685,2.305,2.305,411388.91
1593698400000,2.3887,2.3925,2.3654,2.369,115087.08
1593694800000,2.3812,2.3933,2.3702,2.3879,131370.63
1593691200000,2.3594,2.3832,2.3559,2.3814,115733.36
1593687600000,2.3669,2.3679,2.35,2.3594,104493.87
1593684000000,2.363,2.3665,2.3574,2.3665,37058.35
1593680400000,2.3694,2.3737,2.3601,2.3629,44225.5
1593676800000,2.3717,2.3719,2.35,2.3679,119175.84
1593673200000,2.3681,2.3757,2.3622,2.3718,78142.12
1593669600000,2.3529,2.3724,2.3471,2.3682,167323.7
1593666000000,2.392,2.4014,2.3505,2.3529,274956.3
1593662400000,2.3953,2.3961,2.3855,2.3911,56904.59
1593658800000,2.3953,2.3998,2.3897,2.3953,37666.8
1593655200000,2.3985,2.4035,2.3953,2.3958,55523.18
1593651600000,2.3901,2.4,2.3849,2.3985,65908.38
1593648000000,2.4002,2.4071,2.3842,2.3911,103623.73
1593644400000,2.4019,2.4075,2.3957,2.3985,43815.05
1593640800000,2.398,2.4066,2.3909,2.4036,77604.2
1593637200000,2.3913,2.4018,2.3813,2.4,97491.8
1593633600000,2.3938,2.4017,2.3895,2.3922,108370.21
1593630000000,2.4085,2.4221,2.39,2.394,206322.42
1593626400000,2.4312,2.433,2.4051,2.4078,129305.3
1593622800000,2.4316,2.4348,2.4256,2.4298,54643.86
1593619200000,2.4362,2.4463,2.4202,2.4318,216485.84
1593615600000,2.4151,2.4374,2.4125,2.4374,135431.63
