date,open,high,low,close,volume
1594022400000,4.264,4.28,4.258,4.274,1443.344
1594018800000,4.21,4.255,4.196,4.23,1393.295
1594015200000,4.157,4.21,4.156,4.194,4681.781
1594011600000,4.133,4.157,4.121,4.156,750.483
1594008000000,4.151,4.168,4.129,4.14,2077.32
1594004400000,4.161,4.17,4.149,4.149,40.217
1594000800000,4.14,4.159,4.134,4.159,200.792
1593997200000,4.144,4.144,4.121,4.125,369.951
1593993600000,4.142,4.146,4.125,4.125,832.612
1593990000000,4.126,4.142,4.124,4.129,248.792
1593986400000,4.115,4.142,4.115,4.142,323.174
1593982800000,4.118,4.129,4.114,4.116,1703.974
1593979200000,4.119,4.12,4.119,4.12,30.687
1593975600000,4.132,4.132,4.119,4.119,57.965
1593972000000,4.131,4.138,4.115,4.132,266.517
1593968400000,4.118,4.135,4.114,4.133,214.843
1593964800000,4.116,4.116,4.116,4.116,0.0
1593961200000,4.136,4.151,4.116,4.116,837.737
1593957600000,4.14,4.143,4.12,4.12,520.374
1593954000000,4.133,4.139,4.122,4.139,95.379
1593950400000,4.126,4.133,4.12,4.133,424.302
1593946800000,4.145,4.152,4.124,4.146,394.79
1593943200000,4.128,4.155,4.12,4.155,450.2
1593939600000,4.141,4.156,4.13,4.13,421.795
1593936000000,4.17,4.17,4.135,4.141,1222.787
1593932400000,4.165,4.17,4.149,4.17,189.288
1593928800000,4.161,4.178,4.161,4.161,135.894
1593925200000,4.19,4.19,4.161,4.161,255.156
1593921600000,4.192,4.192,4.19,4.19,24.27
1593918000000,4.198,4.215,4.196,4.215,1693.325
1593914400000,4.198,4.199,4.198,4.198,135.307
1593910800000,4.2,4.2,4.198,4.198,6.502
1593907200000,4.216,4.222,4.2,4.219,518.154
1593903600000,4.215,4.216,4.199,4.216,154.33
1593900000000,4.21,4.215,4.2,4.215,232.099
1593896400000,4.197,4.21,4.197,4.21,191.194
1593892800000,4.19,4.204,4.179,4.18,953.659
1593889200000,4.184,4.208,4.158,4.19,777.745
1593885600000,4.199,4.202,4.157,4.187,723.917
1593882000000,4.176,4.194,4.119,4.194,3334.281
1593878400000,4.162,4.176,4.161,4.176,190.125
1593874800000,4.187,4.196,4.128,4.159,944.998
1593871200000,4.19,4.194,4.166,4.191,3959.782
1593867600000,4.211,4.223,4.189,4.189,1244.799
1593864000000,4.211,4.218,4.192,4.192,100.018
1593860400000,4.216,4.216,4.19,4.19,522.602
1593856800000,4.224,4.224,4.19,4.204,312.52
1593853200000,4.194,4.24,4.19,4.206,3278.385
1593849600000,4.213,4.223,4.194,4.194,94.492
1593846000000,4.196,4.213,4.19,4.196,98.381
1593842400000,4.198,4.219,4.195,4.195,223.663
1593838800000,4.207,4.207,4.181,4.198,151.432
1593835200000,4.186,4.211,4.186,4.187,290.501
1593831600000,4.18,4.201,4.18,4.198,149.345
1593828000000,4.197,4.209,4.179,4.197,111.227
1593824400000,4.188,4.197,4.188,4.197,153.172
1593820800000,4.176,4.201,4.176,4.188,15.447
1593817200000,4.192,4.192,4.176,4.176,183.802
1593813600000,4.196,4.196,4.192,4.192,23.154
1593810000000,4.197,4.209,4.189,4.209,57.91
1593806400000,4.2,4.219,4.179,4.194,749.119
1593802800000,4.19,4.193,4.19,4.193,132.097
1593799200000,4.19,4.19,4.178,4.19,252.877
1593795600000,4.184,4.19,4.176,4.181,146.922
1593792000000,4.202,4.207,4.184,4.184,166.965
1593788400000,4.183,4.2,4.183,4.2,1138.69
1593784800000,4.19,4.197,4.18,4.197,396.409
1593781200000,4.175,4.193,4.173,4.173,59.574
1593777600000,4.172,4.197,4.172,4.173,107.557
1593774000000,4.2,4.204,4.17,4.17,1648.03
1593770400000,4.19,4.206,4.18,4.203,223.152
1593766800000,4.192,4.192,4.19,4.19,381.375
1593763200000,4.185,4.209,4.175,4.207,752.38
1593759600000,4.203,4.203,4.188,4.19,106.227
1593756000000,4.207,4.211,4.17,4.208,1162.224
1593752400000,4.237,4.237,4.18,4.205,1038.486
1593748800000,4.239,4.239,4.218,4.239,196.504
1593745200000,4.292,4.3,4.239,4.257,940.667
1593741600000,4.203,4.313,4.201,4.286,1566.09
1593738000000,4.211,4.221,4.203,4.204,191.635
1593734400000,4.205,4.205,4.205,4.205,2.379
1593730800000,4.205,4.211,4.19,4.19,547.551
1593727200000,4.202,4.217,4.19,4.205,189.74
1593723600000,4.156,4.19,4.156,4.19,175.539
1593720000000,4.159,4.165,4.154,4.156,558.989
1593716400000,4.16,4.177,4.159,4.175,247.419
1593712800000,4.139,4.161,4.139,4.16,111.669
1593709200000,4.138,4.16,4.126,4.151,1240.9
1593705600000,4.206,4.206,4.116,4.148,2896.551
1593702000000,4.31,4.31,4.2,4.222,6131.499
1593698400000,4.343,4.364,4.331,4.347,271.228
1593694800000,4.302,4.365,4.302,4.355,959.706
1593691200000,4.279,4.321,4.279,4.321,1475.296
1593687600000,4.29,4.294,4.279,4.279,172.182
1593684000000,4.312,4.321,4.279,4.279,270.918
1593680400000,4.281,4.338,4.281,4.317,4862.45
1593676800000,4.254,4.296,4.25,4.28,2868.294
1593673200000,4.25,4.275,4.25,4.254,199.819
1593669600000,4.255,4.269,4.242,4.269,541.45
1593666000000,4.233,4.258,4.233,4.255,1648.188
1593662400000,4.241,4.256,4.234,4.234,419.071
1593658800000,4.226,4.242,4.221,4.242,1136.088
1593655200000,4.244,4.244,4.242,4.244,392.823
1593651600000,4.24,4.248,4.228,4.244,228.166
1593648000000,4.251,4.255,4.219,4.219,175.001
1593644400000,4.232,4.254,4.232,4.254,74.302
1593640800000,4.256,4.256,4.222,4.232,253.617
1593637200000,4.242,4.256,4.239,4.256,163.122
1593633600000,4.239,4.239,4.239,4.239,4.798
1593630000000,4.251,4.265,4.239,4.258,135.796
1593626400000,4.267,4.267,4.251,4.251,231.596
1593622800000,4.24,4.271,4.24,4.271,54.563
1593619200000,4.266,4.27,4.226,4.252,1454.246
1593615600000,4.254,4.267,4.241,4.266,170.476
1593612000000,4.23,4.253,4.222,4.242,709.571
1593608400000,4.229,4.242,4.201,4.229,493.201
1593604800000,4.214,4.214,4.214,4.214,10.812
1593601200000,4.221,4.228,4.213,4.214,807.353
1593597600000,4.248,4.249,4.22,4.221,575.679
1593594000000,4.213,4.248,4.213,4.248,310.401
1593590400000,4.2,4.234,4.2,4.213,597.205
1593586800000,4.217,4.217,4.217,4.217,5.408
