date,open,high,low,close,volume
1594022400000,53.19,53.29,53.07,53.07,853.6996
1594018800000,53.36,53.5,52.98,53.2,7768.61893
1594015200000,52.82,53.54,52.62,53.35,24591.13217
1594011600000,52.47,52.97,52.12,52.82,6263.82473
1594008000000,51.84,52.47,51.84,52.47,5696.60761
1594004400000,51.93,51.99,51.57,51.83,6933.94257
1594000800000,51.5,52.21,51.5,51.91,12778.21555
1593997200000,51.35,51.59,51.35,51.49,2133.32886
1593993600000,51.2,51.43,51.16,51.32,2372.74062
1593990000000,51.08,51.33,50.99,51.16,3289.6032
1593986400000,50.89,51.25,50.8,51.07,4336.57468
1593982800000,50.44,50.91,50.04,50.88,4224.33063
1593979200000,50.84,50.96,50.47,50.47,4099.31292
1593975600000,50.89,50.96,50.75,50.84,1671.34822
1593972000000,50.82,50.94,50.8,50.88,513.80487
1593968400000,50.78,50.96,50.76,50.82,1533.41189
1593964800000,50.74,51.07,50.66,50.77,2317.10895
1593961200000,50.72,51.0,50.7,50.73,1587.4408
1593957600000,50.66,50.79,50.47,50.7,3333.01513
1593954000000,50.82,51.06,50.67,50.67,4856.31447
1593950400000,50.67,50.85,50.4,50.85,5794.24227
1593946800000,50.53,50.74,50.53,50.68,3585.25028
1593943200000,50.5,50.67,50.31,50.55,4847.25594
1593939600000,50.81,50.86,50.26,50.49,3965.89952
1593936000000,50.78,50.87,50.68,50.81,1402.48157
1593932400000,50.72,50.83,50.59,50.81,1860.38892
1593928800000,50.78,50.94,50.68,50.71,2029.09036
1593925200000,51.21,51.25,50.64,50.74,7238.70782
1593921600000,51.42,51.42,51.08,51.22,1196.03189
1593918000000,51.29,51.48,51.21,51.41,2542.06085
1593914400000,51.44,51.54,51.19,51.28,3059.59213
1593910800000,51.39,51.63,51.33,51.44,3699.03671
1593907200000,51.42,51.58,51.21,51.39,4612.15384
1593903600000,51.45,51.47,51.32,51.43,347.00727
1593900000000,51.36,51.51,51.32,51.47,1408.2909
1593896400000,51.41,51.47,51.32,51.38,1405.45638
1593892800000,51.53,51.62,51.4,51.41,2398.42082
1593889200000,51.54,51.57,51.33,51.5,2182.48936
1593885600000,51.56,51.73,51.32,51.56,8848.26558
1593882000000,50.8,51.84,50.74,51.54,23704.1734
1593878400000,50.78,50.86,50.64,50.8,2741.5324
1593874800000,50.86,50.92,50.65,50.78,3351.53565
1593871200000,51.11,51.19,50.84,50.87,2992.20733
1593867600000,50.91,51.24,50.85,51.09,10672.79623
1593864000000,51.09,51.09,50.66,50.92,8880.4963
1593860400000,51.07,51.18,50.98,51.11,1248.93504
1593856800000,51.11,51.18,51.0,51.09,1261.81569
1593853200000,51.22,51.23,51.01,51.15,1323.09137
1593849600000,51.24,51.3,51.09,51.24,1517.55249
1593846000000,51.23,51.33,51.19,51.24,737.37587
1593842400000,51.37,51.37,51.14,51.21,884.39828
1593838800000,51.29,51.4,51.24,51.38,1299.16457
1593835200000,51.29,51.36,51.23,51.3,591.50943
1593831600000,51.38,51.51,51.28,51.3,1712.25811
1593828000000,51.16,51.51,51.11,51.35,4475.40842
1593824400000,51.13,51.22,51.06,51.15,2401.41139
1593820800000,51.1,51.29,50.96,51.15,3381.7149
1593817200000,51.15,51.28,50.97,51.11,3995.01885
1593813600000,51.4,51.53,51.05,51.18,7910.14171
1593810000000,51.25,51.61,51.25,51.41,5962.88704
1593806400000,51.29,51.35,51.06,51.25,1778.83306
1593802800000,51.38,51.43,51.1,51.29,2659.20227
1593799200000,51.41,51.65,51.3,51.39,3532.02853
1593795600000,51.24,51.65,51.16,51.41,5770.37942
1593792000000,51.62,51.72,51.17,51.27,2415.58103
1593788400000,51.05,51.68,51.03,51.61,6990.0467
1593784800000,51.07,51.21,50.95,51.05,2792.77969
1593781200000,51.1,51.37,51.03,51.09,3026.89333
1593777600000,51.16,51.29,51.01,51.09,2373.18044
1593774000000,51.14,51.19,50.98,51.15,2065.31755
1593770400000,51.05,51.25,50.89,51.15,3716.29882
1593766800000,51.26,51.51,50.6,51.04,6117.17513
1593763200000,51.21,51.6,51.21,51.25,6342.00677
1593759600000,51.1,51.44,50.79,51.17,16367.36665
1593756000000,51.46,51.88,51.05,51.12,4709.69111
1593752400000,51.12,51.53,50.88,51.46,4336.36041
1593748800000,51.13,51.14,50.8,51.09,1672.25082
1593745200000,51.19,51.28,50.96,51.12,2271.63804
1593741600000,51.59,51.64,50.98,51.17,4770.96966
1593738000000,51.27,51.66,51.27,51.61,2618.78397
1593734400000,51.16,51.4,50.99,51.28,6041.88178
1593730800000,51.31,51.39,51.1,51.18,3503.08968
1593727200000,51.5,51.64,51.17,51.31,5970.01665
1593723600000,51.16,51.79,51.16,51.52,4723.78642
1593720000000,50.96,51.37,50.73,51.15,6147.49958
1593716400000,51.04,51.27,50.7,50.95,7117.80097
1593712800000,51.02,51.25,50.58,51.06,5267.52806
1593709200000,50.74,51.15,50.43,51.05,12713.18434
1593705600000,50.55,50.95,49.64,50.76,33560.65353
1593702000000,52.07,52.07,50.41,50.56,31548.73599
1593698400000,52.62,52.8,52.04,52.08,4748.61539
1593694800000,52.4,52.64,52.23,52.59,2958.61626
1593691200000,51.87,52.47,51.82,52.4,7149.42781
1593687600000,52.12,52.12,51.68,51.87,6695.58288
1593684000000,52.59,52.59,52.0,52.14,5954.80864
1593680400000,52.77,52.97,52.55,52.58,3064.06009
1593676800000,52.88,52.91,52.23,52.73,3721.51767
1593673200000,52.43,52.93,52.4,52.86,2817.71725
1593669600000,52.64,52.78,52.28,52.47,9993.71709
1593666000000,52.12,53.69,52.04,52.65,37526.93233
1593662400000,52.01,52.16,51.95,52.1,2628.64561
1593658800000,51.97,52.19,51.87,52.01,4791.77975
1593655200000,51.96,52.09,51.9,51.97,2762.46261
1593651600000,51.7,52.03,51.47,51.98,5129.95937
1593648000000,51.85,52.09,51.64,51.7,5731.22854
1593644400000,51.86,51.93,51.65,51.86,1815.35687
1593640800000,51.61,51.91,51.47,51.88,3648.17708
1593637200000,51.73,51.97,51.53,51.59,2361.22121
1593633600000,51.7,51.99,51.63,51.74,4233.48474
1593630000000,52.15,52.29,51.61,51.74,4300.8326
1593626400000,52.36,52.41,52.12,52.15,1945.56162
1593622800000,52.35,52.5,52.3,52.34,6837.70836
1593619200000,52.27,52.37,52.0,52.32,3768.08819
1593615600000,51.88,52.26,51.88,52.26,2470.05396
1593612000000,51.85,52.08,51.8,51.86,3690.55304
1593608400000,51.61,52.12,51.46,51.8,7077.65489
1593604800000,51.65,51.7,51.39,51.58,2513.81749
1593601200000,51.69,51.84,51.58,51.65,2710.15366
1593597600000,51.97,52.05,51.69,51.7,1241.12851
1593594000000,51.82,52.06,51.81,51.97,3926.85625
1593590400000,51.5,52.12,51.5,51.82,4625.95921
1593586800000,51.51,51.73,51.48,51.51,1816.45529
1593583200000,52.04,52.12,51.25,51.5,21779.02132
1593579600000,51.71,52.39,51.71,52.04,8597.18325
1593576000000,51.47,51.83,51.47,51.69,1653.49309
1593572400000,51.56,51.63,51.25,51.45,3232.87568
1593568800000,51.49,51.66,51.4,51.56,1346.93067
1593565200000,51.58,51.58,51.2,51.5,3404.60344
1593561600000,51.43,51.68,51.17,51.58,8715.70637
1593558000000,51.59,51.83,51.43,51.44,3171.83374
1593554400000,51.86,51.86,51.4,51.57,9105.74708
1593550800000,51.85,51.9,51.78,51.87,962.68309
1593547200000,51.67,51.9,51.64,51.85,1311.32191
1593543600000,51.61,51.89,51.47,51.68,2757.52669
1593540000000,51.95,51.95,51.57,51.61,8573.54841
1593536400000,52.35,52.5,51.71,51.94,7274.13623
1593532800000,52.19,52.64,52.01,52.38,4948.61442
1593529200000,52.0,52.73,51.91,52.2,13280.41519
1593525600000,51.44,52.11,51.42,51.98,8090.45625
1593522000000,51.45,51.95,50.92,51.45,17889.22396
1593518400000,51.98,51.98,51.4,51.47,5537.50509
1593514800000,52.11,52.17,51.96,51.98,1617.42548
1593511200000,52.23,52.26,51.97,52.11,1271.91408
1593507600000,52.0,52.39,51.95,52.24,4422.638
1593504000000,51.88,52.17,51.68,52.01,2318.10898
1593500400000,51.99,52.19,51.83,51.89,2329.84394
1593496800000,51.86,52.19,51.82,51.98,2991.73509
1593493200000,51.95,52.05,51.7,51.86,3713.02143
1593489600000,52.26,52.32,51.93,51.94,2993.08807
1593486000000,52.46,52.46,52.13,52.28,2394.88427
1593482400000,52.56,52.58,52.34,52.46,2796.9816
1593478800000,52.65,52.72,52.38,52.6,2251.29027
1593475200000,52.44,52.73,52.42,52.7,5474.68086
