date,open,high,low,close,volume
1593993600000,0.4163,0.4239,0.3953,0.4048,11366808.94
1593907200000,0.3875,0.4203,0.3599,0.4164,23319410.7
1593820800000,0.38,0.4293,0.3738,0.3875,27455856.85
1593734400000,0.3438,0.4013,0.3426,0.3808,25664656.0
1593648000000,0.336,0.3594,0.3322,0.3444,8573947.91
1593561600000,0.3352,0.3442,0.3311,0.336,3293569.19
1593475200000,0.3459,0.3468,0.333,0.3352,3178696.9
1593388800000,0.3318,0.3472,0.3261,0.3459,4104444.8
1593302400000,0.3325,0.3426,0.3187,0.3312,5476091.89
1593216000000,0.3528,0.3684,0.3149,0.3325,14003894.0
1593129600000,0.3347,0.363,0.3324,0.3526,14657759.28
1593043200000,0.3444,0.3479,0.3301,0.3353,5434540.62
1592956800000,0.3654,0.3744,0.333,0.3447,10941763.2
1592870400000,0.3547,0.3675,0.3493,0.3653,7483323.78
1592784000000,0.3466,0.3646,0.3466,0.3543,7306498.31
1592697600000,0.3499,0.3581,0.3428,0.3467,4700181.45
1592611200000,0.3306,0.362,0.3304,0.3499,7051196.18
1592524800000,0.3311,0.3439,0.3251,0.3306,4552487.54
1592438400000,0.3425,0.3432,0.3281,0.3311,2950526.22
1592352000000,0.344,0.3478,0.3337,0.3426,4471313.21
1592265600000,0.3444,0.3551,0.3378,0.344,4721817.52
1592179200000,0.3562,0.3581,0.3196,0.3441,10941090.88
1592092800000,0.3622,0.3847,0.3523,0.3566,8825562.43
1592006400000,0.3557,0.3844,0.3555,0.3627,11494175.64
1591920000000,0.3339,0.3779,0.3294,0.3557,13069080.76
1591833600000,0.3871,0.4025,0.3251,0.3339,24236115.09
1591747200000,0.3486,0.4282,0.3481,0.3877,34977233.66
1591660800000,0.3194,0.3532,0.315,0.349,13058149.65
1591574400000,0.3219,0.323,0.317,0.3193,1835660.92
1591488000000,0.3245,0.3289,0.3097,0.322,3116227.57
1591401600000,0.3206,0.3293,0.3185,0.3246,2624989.64
1591315200000,0.3264,0.3291,0.3205,0.3206,1964403.34
1591228800000,0.3299,0.3348,0.3193,0.3263,4046905.71
1591142400000,0.3258,0.3355,0.3248,0.3298,2833974.7
1591056000000,0.3333,0.3578,0.3084,0.3257,13157321.7
1590969600000,0.3162,0.3359,0.3137,0.3337,4562938.99
1590883200000,0.337,0.3389,0.3107,0.3164,4767012.66
1590796800000,0.3325,0.3419,0.329,0.3373,3965530.43
1590710400000,0.3332,0.3434,0.3287,0.3327,3666892.99
1590624000000,0.3359,0.349,0.3303,0.3328,4714406.84
1590537600000,0.3473,0.3544,0.3281,0.3364,6310394.01
1590451200000,0.3202,0.3611,0.3173,0.3474,17201245.17
1590364800000,0.301,0.3282,0.2998,0.3197,5949827.13
1590278400000,0.3264,0.3363,0.3005,0.3005,6871194.16
1590192000000,0.3338,0.341,0.3229,0.3262,5541625.43
1590105600000,0.3226,0.3498,0.3157,0.3337,9608273.09
1590019200000,0.3603,0.3668,0.3082,0.3232,11268422.46
1589932800000,0.3587,0.3843,0.35,0.3608,12646630.57
1589846400000,0.3718,0.3719,0.3551,0.3588,6109995.12
1589760000000,0.3729,0.3859,0.3645,0.3711,11740844.29
1589673600000,0.3829,0.393,0.3705,0.3729,10662212.21
1589587200000,0.3823,0.4125,0.38,0.3834,16438784.44
1589500800000,0.3429,0.425,0.3395,0.3825,42228435.75
