date,open,high,low,close,volume
1594022400000,0.3995,0.4079,0.3989,0.4046,362606.45
1594018800000,0.3996,0.4002,0.3971,0.3988,505204.7
1594015200000,0.3968,0.4013,0.3962,0.3989,570704.08
1594011600000,0.4059,0.4074,0.396,0.3968,747733.14
1594008000000,0.4048,0.4107,0.4034,0.4058,776274.32
1594004400000,0.3992,0.4052,0.3961,0.4043,976551.98
1594000800000,0.4058,0.4119,0.3953,0.3992,1720939.84
1593997200000,0.4138,0.4239,0.3991,0.4055,3624440.71
1593993600000,0.4163,0.4198,0.404,0.4137,2055818.11
1593990000000,0.3931,0.4203,0.3926,0.4164,1979412.31
1593986400000,0.3911,0.4,0.388,0.3925,1235158.58
1593982800000,0.3854,0.3932,0.3735,0.3906,2564598.76
1593979200000,0.3932,0.4068,0.385,0.3853,3943518.22
1593975600000,0.3789,0.3933,0.3787,0.3932,2384408.1
1593972000000,0.3727,0.3791,0.3724,0.3788,289642.22
1593968400000,0.3734,0.3755,0.3713,0.3727,283585.74
1593964800000,0.3657,0.377,0.3655,0.3736,456880.6
1593961200000,0.364,0.3695,0.3635,0.3658,369887.32
1593957600000,0.3614,0.3672,0.3599,0.3636,591766.2
1593954000000,0.3674,0.3674,0.3615,0.3615,380441.69
1593950400000,0.372,0.3729,0.3645,0.3675,574822.98
1593946800000,0.3758,0.376,0.3706,0.3719,488398.79
1593943200000,0.3694,0.3773,0.3672,0.3758,949305.19
1593939600000,0.3694,0.3767,0.3663,0.3703,982742.11
1593936000000,0.3681,0.3698,0.3655,0.3694,346672.84
1593932400000,0.3664,0.3681,0.3615,0.368,531604.85
1593928800000,0.3655,0.3699,0.365,0.3669,408121.37
1593925200000,0.3693,0.3712,0.3653,0.366,780141.14
1593921600000,0.3701,0.3702,0.3645,0.3693,628289.58
1593918000000,0.3687,0.3714,0.3681,0.3702,307411.14
1593914400000,0.3684,0.372,0.3665,0.3683,492499.11
1593910800000,0.3805,0.3805,0.3671,0.3685,1753739.72
1593907200000,0.3875,0.3899,0.3787,0.3805,596362.14
1593903600000,0.3867,0.3904,0.386,0.3875,558357.62
1593900000000,0.3842,0.388,0.3842,0.3868,262638.89
1593896400000,0.3836,0.3845,0.3823,0.3838,171547.42
1593892800000,0.382,0.388,0.382,0.3838,614821.91
1593889200000,0.3824,0.3833,0.3801,0.3815,386351.62
1593885600000,0.3834,0.3852,0.3797,0.382,546355.43
1593882000000,0.3789,0.3851,0.377,0.3831,930960.56
1593878400000,0.3797,0.3845,0.3778,0.3782,475025.79
1593874800000,0.3815,0.3834,0.3738,0.3797,1275022.06
1593871200000,0.3922,0.3941,0.3796,0.3815,822071.91
1593867600000,0.3911,0.3924,0.3853,0.3922,1011531.04
1593864000000,0.395,0.3969,0.3863,0.3906,1814172.78
1593860400000,0.4035,0.4049,0.3919,0.395,1062218.01
1593856800000,0.4018,0.4064,0.3975,0.4035,1122656.37
1593853200000,0.4133,0.4139,0.4019,0.4024,773196.44
1593849600000,0.4063,0.4187,0.406,0.4126,878306.52
1593846000000,0.4046,0.4094,0.4028,0.4061,522280.52
1593842400000,0.4048,0.4114,0.3998,0.4044,1266856.02
1593838800000,0.4075,0.4105,0.4045,0.4052,879399.98
1593835200000,0.4139,0.4161,0.407,0.4075,607676.59
1593831600000,0.4091,0.4181,0.4048,0.414,1080164.52
1593828000000,0.4147,0.4212,0.4055,0.4092,2766219.41
1593824400000,0.3865,0.4293,0.3863,0.414,6746689.65
1593820800000,0.38,0.3873,0.3759,0.3864,881335.79
1593817200000,0.3847,0.385,0.3753,0.3808,1204743.6
1593813600000,0.393,0.3937,0.3847,0.3847,573088.07
1593810000000,0.3925,0.3974,0.3919,0.393,681492.81
1593806400000,0.3858,0.3926,0.384,0.3916,455218.84
1593802800000,0.3844,0.394,0.3825,0.3859,1191971.38
1593799200000,0.3895,0.3899,0.3835,0.3845,828507.78
1593795600000,0.3877,0.3962,0.3856,0.3895,1175756.95
1593792000000,0.3975,0.3976,0.383,0.3877,2086331.32
1593788400000,0.3877,0.4013,0.3872,0.3974,3347884.04
1593784800000,0.3776,0.3949,0.3753,0.3877,1594387.91
1593781200000,0.3754,0.3806,0.3705,0.3776,822296.03
1593777600000,0.376,0.3837,0.3745,0.3759,1843617.33
1593774000000,0.3639,0.3759,0.3634,0.3759,874384.06
1593770400000,0.3629,0.3663,0.3585,0.3639,684019.88
1593766800000,0.3629,0.3688,0.3617,0.3631,782989.89
1593763200000,0.3671,0.3699,0.3617,0.3629,1178461.73
1593759600000,0.3689,0.3727,0.3665,0.3672,1175587.97
1593756000000,0.364,0.3742,0.3604,0.3692,2421572.5
